FIR code,FIR name
LQSB,SARAJEVO FIR
LRBB,BUCURESTI FIR
LPPO,SANTA MARIA OCEANIC FIR
LYBA,BEOGRAD FIR
LSAS,SWITZERLAND FIR
LFRR,BREST FIR
LIMM,MILANO FIR
LIBB,BRINDISI FIR
EHAA,AMSTERDAM FIR
LTBB,ISTANBUL FIR
LFMM,MARSEILLE FIR
EGTT,LONDON FIR
EGPX,SCOTTISH FIR
EDWW,BREMEN FIR
LAAA,TIRANA FIR
LWSS,SKOPJE FIR
LTAA,ANKARA FIR
UKDV,DNIPRO FIR
EISN,SHANNON FIR
LZBB,BRATISLAVA FIR
LDZO,ZAGREB FIR/UIR
UDDD,YEREVAN FIR
EPWW,WARSZAWA FIR
UKLV,LVIV FIR
LFFF,PARIS FIR
LECM,MADRID FIR
GCCC,CANARIAS FIR
LIRR,ROMA FIR
EVRR,RIGA FIR
LECB,BARCELONA FIR
LCCC,NICOSIA FIR
LOVV,WIEN FIR
ESAA,SWEDEN FIR
LMMM,MALTA FIR
EDGG,LANGEN FIR
LPPC,LISBOA FIR
UKBV,KYIV FIR
LUUU,CHISINAU FIR
UGGG,TBILISI FIR
LFEE,REIMS FIR
EBBU,BRUSSELS FIR
EDMM,MUENCHEN FIR
UKFV,SIMFEROPOL' FIR
LHCC,BUDAPEST FIR
LJLA,LJUBLJANA FIR
UKOV,ODESA FIR
LFBB,BORDEAUX FIR
EETT,TALLINN FIR
EYVL,VILNIUS FIR
LGGG,ATHINAI FIR
EFIN,HELSINKI FIR
EGGX,SHANWICK OCEANIC FIR
LKAA,PRAHA FIR
EKDK,KOEBENHAVN FIR
BIRD,REYKJAVIK FIR
ENOB,BODO OCEANIC FIR
ENOR,POLARIS FIR
LBSR,SOFIA FIR
