hour,total_flight_dist,contrail_ef,contrail_ef_initial_loc,contrail_ef_overlap_initial_loc,timestamp,file
0,5787346000.0,1.2597942e+17,1.3733531e+17,1.2941298939303027e+17,2019-01-01 00:00:00,20190101.pq
1,1450134800.0,482124640000000.0,1.341794e+16,1.3192979062861652e+16,2019-01-01 01:00:00,20190101.pq
2,3146975700.0,7667999500000000.0,4.2640375e+16,4.1610501219588136e+16,2019-01-01 02:00:00,20190101.pq
3,3946527700.0,2.3191861e+16,4.5712505e+16,4.427695071218708e+16,2019-01-01 03:00:00,20190101.pq
4,4366321700.0,3.606251e+16,4.550247e+16,4.3740951872500664e+16,2019-01-01 04:00:00,20190101.pq
5,4388924400.0,4.090344e+16,3.3265845e+16,3.2278697635754972e+16,2019-01-01 05:00:00,20190101.pq
6,4322882000.0,3.4837732e+16,3.7016506e+16,3.640598835864231e+16,2019-01-01 06:00:00,20190101.pq
7,4565463000.0,3.146245e+16,3.991971e+16,3.934004785072272e+16,2019-01-01 07:00:00,20190101.pq
8,4783829000.0,3.225848e+16,3.4672857e+16,3.4031862848420508e+16,2019-01-01 08:00:00,20190101.pq
9,4979111400.0,2.7211764e+16,2.8614215e+16,2.8509683673892884e+16,2019-01-01 09:00:00,20190101.pq
10,5278998500.0,2.6980912e+16,3.6814196e+16,3.700136490792686e+16,2019-01-01 10:00:00,20190101.pq
11,5461669400.0,3.2112337e+16,4.5862103e+16,4.647712216367479e+16,2019-01-01 11:00:00,20190101.pq
12,5522029000.0,4.0218847e+16,4.307078e+16,4.493574693050111e+16,2019-01-01 12:00:00,20190101.pq
13,5970069000.0,4.100085e+16,5.291996e+16,5.407776468172761e+16,2019-01-01 13:00:00,20190101.pq
14,6274227000.0,4.1088127e+16,7.68932e+16,7.627908584871677e+16,2019-01-01 14:00:00,20190101.pq
15,6657932000.0,5.376243e+16,7.947614e+16,7.796074317939376e+16,2019-01-01 15:00:00,20190101.pq
16,6739902000.0,7.504943e+16,6.8964745e+16,6.81656305671436e+16,2019-01-01 16:00:00,20190101.pq
17,6603697000.0,7.711204e+16,6.1631552e+16,6.0585693138474696e+16,2019-01-01 17:00:00,20190101.pq
18,6676494000.0,7.1387416e+16,5.4221248e+16,5.412090302655684e+16,2019-01-01 18:00:00,20190101.pq
19,6715305000.0,5.612054e+16,6.090313e+16,6.098158351267914e+16,2019-01-01 19:00:00,20190101.pq
20,6633378300.0,5.157756e+16,8.616527e+16,8.533132841129882e+16,2019-01-01 20:00:00,20190101.pq
21,6442979300.0,5.4545617e+16,8.883856e+16,8.652647760738206e+16,2019-01-01 21:00:00,20190101.pq
22,5976518000.0,6.7402425e+16,1.1023484e+17,1.0566778951189294e+17,2019-01-01 22:00:00,20190101.pq
23,5634819600.0,1.0079389e+17,1.469646e+17,1.3941162419100454e+17,2019-01-01 23:00:00,20190101.pq
0,6359024000.0,1.1124634e+17,1.2146231e+17,1.1725954289231696e+17,2019-01-02 00:00:00,20190102.pq
1,6078674000.0,1.31178695e+17,1.4705674e+17,1.3821419283953235e+17,2019-01-02 01:00:00,20190102.pq
2,6355937300.0,1.3895356e+17,1.2613314e+17,1.1839482634667264e+17,2019-01-02 02:00:00,20190102.pq
3,6352775000.0,1.3178211e+17,1.2061464e+17,1.1270794542058448e+17,2019-01-02 03:00:00,20190102.pq
4,6241038000.0,1.29616195e+17,1.24436644e+17,1.1838446933457504e+17,2019-01-02 04:00:00,20190102.pq
5,5800242700.0,1.2693981e+17,8.75065e+16,8.413846191873072e+16,2019-01-02 05:00:00,20190102.pq
6,5533880300.0,1.1203104e+17,6.9524916e+16,6.815597208447584e+16,2019-01-02 06:00:00,20190102.pq
7,5704027000.0,8.807712e+16,7.53936e+16,7.419183545242027e+16,2019-01-02 07:00:00,20190102.pq
8,5687657000.0,7.696705e+16,5.1356255e+16,5.0748347514740744e+16,2019-01-02 08:00:00,20190102.pq
9,5828067300.0,6.5914893e+16,5.9717346e+16,5.874057979722368e+16,2019-01-02 09:00:00,20190102.pq
10,6051798000.0,5.203403e+16,8.545551e+16,8.473167101167963e+16,2019-01-02 10:00:00,20190102.pq
11,6043115500.0,5.8604816e+16,8.751723e+16,8.698293309561754e+16,2019-01-02 11:00:00,20190102.pq
12,6251405300.0,7.400122e+16,8.153738e+16,8.152498353249912e+16,2019-01-02 12:00:00,20190102.pq
13,6653336600.0,7.598462e+16,9.196906e+16,9.121107145119203e+16,2019-01-02 13:00:00,20190102.pq
14,7062915600.0,6.2317373e+16,7.1520203e+16,7.161807663339902e+16,2019-01-02 14:00:00,20190102.pq
15,7470933000.0,5.474967e+16,7.359492e+16,7.282164492162614e+16,2019-01-02 15:00:00,20190102.pq
16,7756321300.0,5.52505e+16,8.155682e+16,7.940205290928384e+16,2019-01-02 16:00:00,20190102.pq
17,7550696400.0,6.2472017e+16,6.2079075e+16,6.145706755097561e+16,2019-01-02 17:00:00,20190102.pq
18,7533031000.0,7.541232e+16,7.550572e+16,7.521606449877032e+16,2019-01-02 18:00:00,20190102.pq
19,7524838000.0,8.575345e+16,8.2732e+16,8.215291860890389e+16,2019-01-02 19:00:00,20190102.pq
20,7258986000.0,8.4066125e+16,1.0215067e+17,9.996413165143749e+16,2019-01-02 20:00:00,20190102.pq
21,7025675300.0,9.398543e+16,9.5435324e+16,9.259276943652731e+16,2019-01-02 21:00:00,20190102.pq
22,6602949000.0,1.0181631e+17,9.723528e+16,9.331667907946613e+16,2019-01-02 22:00:00,20190102.pq
23,6237637600.0,1.0950896e+17,9.324388e+16,8.931615736919048e+16,2019-01-02 23:00:00,20190102.pq
0,6426850000.0,1.1797698e+17,1.273261e+17,1.2538476001034829e+17,2019-01-03 00:00:00,20190103.pq
1,6497030700.0,1.1638023e+17,1.1900892e+17,1.1481631021476669e+17,2019-01-03 01:00:00,20190103.pq
2,6674577400.0,1.1858282e+17,1.0216649e+17,9.845562925236317e+16,2019-01-03 02:00:00,20190103.pq
3,6627955700.0,1.1753719e+17,8.835287e+16,8.514092305524178e+16,2019-01-03 03:00:00,20190103.pq
4,6582655000.0,1.0701027e+17,1.0596526e+17,1.021354401323202e+17,2019-01-03 04:00:00,20190103.pq
5,6351612000.0,1.0562164e+17,1.0764096e+17,1.0432597152235952e+17,2019-01-03 05:00:00,20190103.pq
6,5925829000.0,9.982532e+16,8.56337e+16,8.359918030564224e+16,2019-01-03 06:00:00,20190103.pq
7,5956417000.0,8.9824955e+16,6.33773e+16,6.223041731759429e+16,2019-01-03 07:00:00,20190103.pq
8,5996555000.0,8.276284e+16,7.5855e+16,7.39927898708165e+16,2019-01-03 08:00:00,20190103.pq
9,5969119700.0,7.428346e+16,7.0662838e+16,6.9429583070400536e+16,2019-01-03 09:00:00,20190103.pq
10,6173320700.0,5.854267e+16,7.7783885e+16,7.628441101995658e+16,2019-01-03 10:00:00,20190103.pq
11,6248104400.0,5.4937146e+16,8.6110005e+16,8.355227567688981e+16,2019-01-03 11:00:00,20190103.pq
12,6328324600.0,6.299422e+16,1.019263e+17,9.871578826484544e+16,2019-01-03 12:00:00,20190103.pq
13,6748179000.0,6.8333248e+16,1.3286859e+17,1.2823692273916224e+17,2019-01-03 13:00:00,20190103.pq
14,7101030400.0,7.788495e+16,1.2149408e+17,1.1618837364806952e+17,2019-01-03 14:00:00,20190103.pq
15,7587096000.0,8.584602e+16,1.34823e+17,1.28314416215764e+17,2019-01-03 15:00:00,20190103.pq
16,7705667000.0,1.0181553e+17,1.11303e+17,1.0565287963192742e+17,2019-01-03 16:00:00,20190103.pq
17,7544890000.0,1.1720789e+17,1.0567392e+17,1.0110332438017176e+17,2019-01-03 17:00:00,20190103.pq
18,7514073000.0,1.3106678e+17,1.0471977e+17,1.0082565704256794e+17,2019-01-03 18:00:00,20190103.pq
19,7617265700.0,1.3086323e+17,1.0336927e+17,1.0033121728065456e+17,2019-01-03 19:00:00,20190103.pq
20,7359454700.0,1.3042277e+17,8.317346e+16,8.165528840176677e+16,2019-01-03 20:00:00,20190103.pq
21,7020371000.0,1.1983615e+17,1.0178929e+17,9.905060363602774e+16,2019-01-03 21:00:00,20190103.pq
22,6623659500.0,1.1489695e+17,9.448199e+16,9.211973726518114e+16,2019-01-03 22:00:00,20190103.pq
23,6309383700.0,1.1872782e+17,9.707349e+16,9.53820776673922e+16,2019-01-03 23:00:00,20190103.pq
0,6317340700.0,1.4794326e+17,1.2359398e+17,1.2006860906303976e+17,2019-01-04 00:00:00,20190104.pq
1,6581500400.0,1.25602565e+17,1.3061155e+17,1.287788256705773e+17,2019-01-04 01:00:00,20190104.pq
2,6779269000.0,1.31568876e+17,1.1563675e+17,1.1486845675897368e+17,2019-01-04 02:00:00,20190104.pq
3,6823976000.0,1.2611322e+17,1.09353716e+17,1.0792299541658478e+17,2019-01-04 03:00:00,20190104.pq
4,6847022600.0,1.2354306e+17,1.2856946e+17,1.2676990622893875e+17,2019-01-04 04:00:00,20190104.pq
5,6383426600.0,1.2362006e+17,1.1670138e+17,1.1465998780508373e+17,2019-01-04 05:00:00,20190104.pq
6,5887922700.0,1.1339467e+17,1.0352242e+17,1.0373871980982075e+17,2019-01-04 06:00:00,20190104.pq
7,5975661000.0,1.12376565e+17,6.98426e+16,7.779259868147878e+16,2019-01-04 07:00:00,20190104.pq
8,5948444700.0,1.0930199e+17,5.549872e+16,6.273219835568319e+16,2019-01-04 08:00:00,20190104.pq
9,6007411000.0,6.927836e+16,3.6784827e+16,4.3747271575520824e+16,2019-01-04 09:00:00,20190104.pq
10,6195966500.0,4.675151e+16,2.389594e+16,3.2774976732072184e+16,2019-01-04 10:00:00,20190104.pq
11,6213456000.0,3.2407933e+16,2.2580365e+16,3.2859428687119068e+16,2019-01-04 11:00:00,20190104.pq
12,6321210000.0,2.6498127e+16,3.3816479e+16,4.3558147599967864e+16,2019-01-04 12:00:00,20190104.pq
13,6672213000.0,2.6640763e+16,7.069268e+16,7.820890967272118e+16,2019-01-04 13:00:00,20190104.pq
14,7100947000.0,2.642026e+16,9.8357955e+16,1.0275725504507267e+17,2019-01-04 14:00:00,20190104.pq
15,7498969000.0,2.188432e+16,1.2744339e+17,1.2611723333814133e+17,2019-01-04 15:00:00,20190104.pq
16,7618439700.0,4.2806122e+16,1.3804136e+17,1.3084914103440296e+17,2019-01-04 16:00:00,20190104.pq
17,7504113700.0,1.2813528e+17,1.35165215e+17,1.253375520697871e+17,2019-01-04 17:00:00,20190104.pq
18,7496771000.0,1.3620145e+17,1.4315869e+17,1.346691553776549e+17,2019-01-04 18:00:00,20190104.pq
19,7573701600.0,1.4101238e+17,1.3432264e+17,1.28946908306021e+17,2019-01-04 19:00:00,20190104.pq
20,7227205600.0,1.3920258e+17,1.3567964e+17,1.2963665142278798e+17,2019-01-04 20:00:00,20190104.pq
21,7036963300.0,1.4499835e+17,1.4126342e+17,1.3411444637333112e+17,2019-01-04 21:00:00,20190104.pq
22,6709547000.0,1.6723424e+17,1.2646548e+17,1.2111889695312464e+17,2019-01-04 22:00:00,20190104.pq
23,6237192700.0,1.6642488e+17,1.2743029e+17,1.2303123222557853e+17,2019-01-04 23:00:00,20190104.pq
0,6158076400.0,8.960907e+16,9.68958e+16,9.627846869022966e+16,2019-01-05 00:00:00,20190105.pq
1,6513575000.0,1.3915864e+17,1.1843377e+17,1.1543421909318642e+17,2019-01-05 01:00:00,20190105.pq
2,6726897700.0,1.3090487e+17,1.04430695e+17,1.0217827727386771e+17,2019-01-05 02:00:00,20190105.pq
3,6642268000.0,1.2523884e+17,9.428263e+16,9.225709819809902e+16,2019-01-05 03:00:00,20190105.pq
4,6588046300.0,1.1690521e+17,9.4333786e+16,9.296113026604562e+16,2019-01-05 04:00:00,20190105.pq
5,6203796500.0,1.0028605e+17,7.427882e+16,7.366293320094138e+16,2019-01-05 05:00:00,20190105.pq
6,5771856000.0,8.659818e+16,4.9081606e+16,4.881027481703524e+16,2019-01-05 06:00:00,20190105.pq
