,origin_airport,total_fuel_burn,total_contrail_energy_forcing,total_co2,total_co2_forcing_20,total_co2_forcing_100,gwp20,gwp100,contrail_co2_eq_20,contrail_co2_eq_100,contrail_impact_category,id,name,city,country,iata,lat,lon,altitude,tz_offset,dst,tz,type,source
0,BIAR,914620.8076096879,1215758692012561.2,2897518.7185074915,1114002285089455.5,4101765735894229.5,0.458364096267785,0.1244875216000007,0.0006640592744138384,0.00018035246202830385,Low contrail climate impact,11.0,Akureyri Airport,Akureyri,Iceland,AEY,65.66000366210938,-18.07270050048828,6.0,0,N,Atlantic/Reykjavik,airport,OurAirports
1,BIEG,557332.8406058261,187212561222190.75,1765630.4390392571,678827829877277.6,2499449750175750.5,0.11583095484982571,0.03145863432853221,0.00010225732983291706,2.777216117053088e-05,Low contrail climate impact,12.0,Egilsstaðir Airport,Egilsstadir,Iceland,EGS,65.2833023071289,-14.401399612426758,76.0,0,N,Atlantic/Reykjavik,airport,OurAirports
2,BIHN,43735.455002047514,-179359640621955.78,138553.92144648652,53269504046205.47,196138759668036.88,-1.414149622941486,-0.3840701816852445,-9.796798788530659e-05,-2.6607214891577587e-05,Low contrail climate impact,13.0,Hornafjörður Airport,Hofn,Iceland,HFN,64.295601,-15.2272,24.0,0,N,Atlantic/Reykjavik,airport,OurAirports
3,BIIS,154804.59822547899,1967850411400.0605,490420.9671783174,188551009041915.84,694246393125045.9,0.004383414212354021,0.0011904954508552396,1.0748591187829208e-06,2.9192196521490683e-07,Low contrail climate impact,15.0,Ísafjörður Airport,Isafjordur,Iceland,IFJ,66.05809783935547,-23.135299682617188,8.0,0,N,Atlantic/Reykjavik,airport,OurAirports
4,BIKF,308086618.0282808,2.0524256085259517e+18,976018405.9135936,3.7524752731784634e+17,1.3816645357309824e+18,2.2972003619646584,0.6238987346699469,1.121054917674438,0.30446832423203485,High contrail climate impact,16.0,Keflavik International Airport,Keflavik,Iceland,KEF,63.985000610352,-22.605600357056,171.0,0,N,Atlantic/Reykjavik,airport,OurAirports
5,BIRK,2437585.5366746956,324477717946531.06,7722270.980185436,2968963569780756.5,1.0931748708816174e+16,0.0459017560621691,0.012466499657793654,0.00017723289938921966,4.81348442659358e-05,Low contrail climate impact,18.0,Reykjavik Airport,Reykjavik,Iceland,RKV,64.1299972534,-21.9405994415,48.0,0,N,Atlantic/Reykjavik,airport,OurAirports
6,BIRL,111.3810814628583,0.0,352.85526607433513,135661443773.22021,499506571215.20416,0.0,0.0,0.0,0.0,Low contrail climate impact,6867.0,Reykjahlíð Airport,Myvatn,Iceland,MVA,65.65579986572266,-16.918100357055664,1030.0,0,N,Atlantic/Reykjavik,airport,OurAirports
7,BISI,202.6017971221685,0.0,641.8424932830299,246767691134.4033,908600703758.4724,0.0,0.0,0.0,0.0,Low contrail climate impact,19.0,Siglufjörður Airport,Siglufjordur,Iceland,SIJ,66.133301,-18.9167,10.0,0,N,Atlantic/Reykjavik,airport,OurAirports
8,BIVM,3978.772352122346,0.0,12604.750811523592,4846119238965.029,17843451591168.31,0.0,0.0,0.0,0.0,Low contrail climate impact,20.0,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,63.42430114746094,-20.27890014648437,326.0,0,N,Atlantic/Reykjavik,airport,OurAirports
9,EBAW,4574843.229587707,6029894134417265.0,14493103.351333855,5572129749601760.0,2.051662836673451e+16,0.4545040496654359,0.12343916803413543,0.003293587082700469,0.0008945083099606956,Low contrail climate impact,299.0,Antwerp International Airport (Deurne),Antwerp,Belgium,ANR,51.1893997192,4.46027994156,39.0,1,E,Europe/Brussels,airport,OurAirports
