Week,Region,Cooling,Persistent contrails,Warming,Very warming,Extremely warming
1,European Airspace,0.017155,0.105309,0.088154,0.029552,0.006522
1,North Atlantic,0.013338,0.115039,0.101701,0.032081,0.005288
1,Continental Europe,0.023164,0.129328,0.106165,0.030531,0.005184
1,Global,0.019722,0.082893,0.063171,0.023763,0.006015
1,USA,0.01786,0.070928,0.053068,0.014729,0.001849
1,East Asia,0.004186,0.014679,0.010493,0.00281,0.000414
1,Southeast Asia,0.039686,0.145483,0.105796,0.044901,0.015989
1,Latin America,0.023255,0.095355,0.072101,0.030023,0.010023
1,Africa & Middle East,0.012637,0.052067,0.03943,0.014699,0.004303
1,China,0.013533,0.052727,0.039194,0.011832,0.001714
1,India,0.007343,0.027446,0.020103,0.007102,0.002137
1,North Pacific,0.021131,0.123022,0.101892,0.035923,0.00637
1,Arctic,5.8e-05,0.156968,0.15691,0.068727,0.018891
1,Reykjavik FIR,0.002026,0.125566,0.123539,0.056028,0.018592
1,Brussels FIR,0.015815,0.099248,0.083434,0.019333,0.005411
1,Langen FIR,0.017594,0.122526,0.104932,0.034525,0.005518
1,Munchen FIR,0.027425,0.163161,0.135736,0.034835,0.004818
1,Bremen FIR,0.017857,0.135809,0.117952,0.029479,0.006657
1,Tallinn FIR,0.006712,0.059608,0.052896,0.008516,0.000728
1,Helsinki FIR,0.00078,0.044949,0.044169,0.007944,0.001318
1,Shanwick FIR,0.016214,0.159841,0.143627,0.050344,0.009292
1,Scottish FIR,0.005606,0.138163,0.132557,0.043003,0.008129
1,London FIR,0.012824,0.094859,0.082035,0.023258,0.007367
1,Amsterdam FIR,0.009417,0.090365,0.080948,0.021327,0.005678
1,Shannon FIR,0.014709,0.126135,0.111426,0.034131,0.009721
1,Copenhagen FIR,0.010629,0.179714,0.169084,0.049326,0.009978
1,Bodo Oceanic FIR,0.000399,0.138458,0.138059,0.070849,0.027456
1,Polaris FIR,0.006246,0.127585,0.121339,0.031532,0.00799
1,Warszawa FIR,0.027787,0.205782,0.177995,0.053719,0.008302
1,Sweden FIR,0.006757,0.080774,0.074017,0.018703,0.005388
1,Riga FIR,0.02216,0.162328,0.140169,0.036867,0.007808
1,Vilnius FIR,0.030189,0.216766,0.186577,0.057742,0.013414
1,Canarias FIR,0.014035,0.04333,0.029295,0.010716,0.002167
1,Tirana FIR,0.042952,0.146018,0.103066,0.024378,0.002522
1,Sofia FIR,0.046751,0.152604,0.105852,0.035418,0.007171
1,Nicosia FIR,0.016843,0.045453,0.02861,0.007457,0.000567
1,Zagreb FIR,0.031678,0.201417,0.16974,0.058087,0.009106
1,Barcelona FIR,0.03201,0.110138,0.078128,0.02534,0.006027
1,Madrid FIR,0.024274,0.113221,0.088947,0.021968,0.002362
1,Bordeaux FIR,0.02581,0.112113,0.086303,0.021652,0.0027
1,Reims FIR,0.027413,0.136501,0.109087,0.036851,0.002098
1,Paris FIR,0.021819,0.110441,0.088622,0.013126,0.000735
1,Marseille FIR,0.03295,0.153147,0.120198,0.040543,0.006722
1,Brest FIR,0.014304,0.082848,0.068544,0.017402,0.003084
1,Athinai FIR,0.029207,0.08081,0.051603,0.013394,0.001425
1,Budapest FIR,0.021978,0.182423,0.160446,0.05991,0.011236
1,Brindisi FIR,0.032589,0.150947,0.118358,0.034983,0.003331
1,Milano FIR,0.036101,0.198719,0.162618,0.049419,0.004067
1,Roma FIR,0.038198,0.143518,0.10532,0.031011,0.003317
1,Ljubljana FIR,0.032773,0.198611,0.165838,0.065179,0.013089
1,Praha FIR,0.03341,0.173383,0.139973,0.033632,0.003575
1,Malta FIR,0.026914,0.072902,0.045988,0.008619,0.000961
1,Wien FIR,0.031549,0.172811,0.141262,0.03792,0.005735
1,Lisboa FIR,0.029533,0.120014,0.090481,0.025763,0.005355
1,Santa Maria FIR,0.02927,0.127411,0.098142,0.029805,0.005641
1,Sarajevo FIR,0.035624,0.195412,0.159788,0.055145,0.008848
1,Bucarest FIR,0.041182,0.180805,0.139623,0.054595,0.013179
1,Switzerland FIR,0.032544,0.166346,0.133802,0.035605,0.001264
1,Ankara FIR,0.029903,0.131805,0.101902,0.028456,0.002353
