Hour,Region,Very warming,Extremely warming,Cooling,Persistent contrails,Warming
01-01 00,Africa & Middle East,0.027023,0.006272,0.001708,0.067473,0.065765
01-01 00,Amsterdam FIR,0.034789,0.00236,0.0,0.047033,0.047033
01-01 00,Ankara FIR,0.036069,0.003033,4.5e-05,0.105551,0.105506
01-01 00,Arctic,0.057538,0.017739,2.1e-05,0.140644,0.140623
01-01 00,Athinai FIR,0.058993,0.003672,0.0,0.188119,0.188119
01-01 00,Barcelona FIR,0.18619,0.034286,0.0,0.355345,0.355345
01-01 00,Beograd FIR,0.04387,0.003729,0.003431,0.131394,0.127962
01-01 00,Bodo Oceanic FIR,0.102103,0.042809,0.0,0.206394,0.206394
01-01 00,Bordeaux FIR,0.213048,0.051098,0.0,0.421731,0.421731
01-01 00,Bratislava  FIR,0.37532,0.075989,0.0,0.617813,0.617813
01-01 00,Bremen FIR,0.037073,0.003244,0.0,0.107571,0.107571
01-01 00,Brest FIR,0.095922,0.018847,9.8e-05,0.307797,0.307699
01-01 00,Brindisi FIR,0.078704,0.014469,0.0,0.215136,0.215136
01-01 00,Brussels FIR,0.003752,0.001501,0.0,0.024185,0.024185
01-01 00,Bucarest FIR,0.003101,0.0,0.003519,0.113877,0.110358
01-01 00,Budapest FIR,0.142719,0.011362,0.006695,0.594689,0.587993
01-01 00,Canarias FIR,0.053967,0.031148,0.00011,0.093123,0.093013
01-01 00,China,0.000813,0.0,0.051422,0.080209,0.028787
01-01 00,Chisinau FIR,0.0,0.0,0.0,0.046501,0.046501
01-01 00,Continental Europe,0.087847,0.015323,0.0004,0.219262,0.218862
01-01 00,Copenhagen FIR,0.014224,0.00161,0.0,0.160241,0.160241
01-01 00,Dnipro FIR,0.0,0.0,0.0,0.0,0.0
01-01 00,East Asia,0.000633,4.1e-05,0.041956,0.049798,0.007842
01-01 00,European Airspace,0.055068,0.013127,0.000414,0.153783,0.15337
01-01 00,Global,0.022252,0.00526,0.02033,0.080068,0.059738
01-01 00,Helsinki FIR,0.0,0.0,0.0,0.013151,0.013151
01-01 00,India,0.001454,0.0,0.001881,0.013932,0.012052
01-01 00,Istanbul FIR,0.092277,0.012736,0.0,0.208698,0.208698
01-01 00,Kiev FIR,0.009534,0.0,0.0,0.216852,0.216852
01-01 00,Langen FIR,0.024122,0.004662,0.0,0.033988,0.033988
01-01 00,Latin America,0.045908,0.018467,0.001905,0.096001,0.094096
01-01 00,Lisboa FIR,0.016029,0.000831,0.0,0.07495,0.07495
01-01 00,Ljubljana FIR,0.171176,0.079885,0.0,0.225154,0.225154
01-01 00,London FIR,0.031873,0.009303,0.0,0.059259,0.059259
01-01 00,Lvov FIR,0.117901,0.010247,0.040782,0.691533,0.650751
01-01 00,Madrid FIR,0.118868,0.013823,5e-05,0.274878,0.274827
01-01 00,Malta FIR,0.000179,0.0,0.0,0.017699,0.017699
01-01 00,Marseille FIR,0.148664,0.066771,0.0,0.254999,0.254999
01-01 00,Milano FIR,0.020172,0.009603,0.0,0.038625,0.038625
01-01 00,Munchen FIR,0.0467,0.0,0.0,0.135772,0.135772
01-01 00,Nicosia FIR,0.015381,0.000205,0.0,0.124387,0.124387
01-01 00,North Atlantic,0.026222,0.001699,0.0,0.094363,0.094363
01-01 00,North Pacific,0.043173,0.004712,0.028475,0.155391,0.126915
01-01 00,Odessa FIR,0.0,0.0,0.0,0.068567,0.068567
01-01 00,Paris FIR,0.0,0.0,0.0,0.035726,0.035726
01-01 00,Polaris FIR,0.08249,0.034654,0.0,0.392475,0.392475
01-01 00,Praha FIR,0.157131,0.036799,0.0,0.38629,0.38629
01-01 00,Reims FIR,0.0,0.0,0.0,0.0,0.0
01-01 00,Reykjavik FIR,0.148405,0.051735,0.0,0.280538,0.280538
01-01 00,Riga FIR,0.080152,0.012533,0.0,0.459688,0.459688
01-01 00,Roma FIR,0.01445,0.000152,0.0,0.115558,0.115558
01-01 00,Santa Maria FIR,0.024968,0.001659,0.0,0.10989,0.10989
01-01 00,Sarajevo FIR,0.201671,0.020579,0.028272,0.525872,0.497599
01-01 00,Scottish FIR,0.002238,0.0,0.0,0.026145,0.026145
01-01 00,Shannon FIR,0.060786,0.024583,0.0,0.08091,0.08091
01-01 00,Shanwick FIR,0.029387,0.000653,0.0,0.142955,0.142955
01-01 00,Simferopol FIR,0.0,0.0,0.0,0.018922,0.018922
01-01 00,Skopje FIR,0.0,0.0,0.0,0.005033,0.005033
01-01 00,Sofia FIR,0.007382,0.001792,0.002227,0.041693,0.039465
01-01 00,Southeast Asia,0.008583,0.000214,0.068598,0.107033,0.038435
01-01 00,Sweden FIR,0.081337,0.02199,0.0,0.303633,0.303633
01-01 00,Switzerland FIR,0.0,0.0,0.0,0.0,0.0
01-01 00,Tallinn FIR,0.003287,0.0,0.0,0.050159,0.050159
01-01 00,Tibilisi FIR,0.0,0.0,0.0,0.00144,0.00144
01-01 00,Tirana FIR,0.0,0.0,0.0,0.0,0.0
01-01 00,USA,0.018519,0.001058,0.001866,0.054692,0.052827
01-01 00,Vilnius FIR,0.29397,0.021376,0.0,0.823295,0.823295
01-01 00,Warszawa FIR,0.30486,0.014636,0.0,0.679563,0.679563
01-01 00,Wien FIR,0.148196,0.057053,0.0,0.175405,0.175405
01-01 00,Yerevan FIR,0.084276,0.049469,0.006682,0.113297,0.106615
01-01 00,Zagreb FIR,0.148328,0.013061,0.00741,0.433847,0.426437
01-01 01,Africa & Middle East,0.022175,0.00335,0.003407,0.067306,0.063899
01-01 01,Amsterdam FIR,0.040061,0.001474,0.0,0.047221,0.047221
01-01 01,Ankara FIR,0.038448,0.000444,0.000309,0.117958,0.117649
01-01 01,Arctic,0.060586,0.018694,3.2e-05,0.146574,0.146543
01-01 01,Athinai FIR,0.043025,0.001123,0.000188,0.174872,0.174684
01-01 01,Barcelona FIR,0.18649,0.024695,0.0,0.347389,0.347389
01-01 01,Beograd FIR,0.062853,0.001129,0.020343,0.21849,0.198147
01-01 01,Bodo Oceanic FIR,0.114744,0.043179,0.0,0.21461,0.21461
01-01 01,Bordeaux FIR,0.221855,0.041485,0.000731,0.4259,0.425169
01-01 01,Bratislava  FIR,0.445727,0.094459,0.0,0.634234,0.634234
01-01 01,Bremen FIR,0.04309,0.005056,0.0,0.100939,0.100939
01-01 01,Brest FIR,0.085182,0.005765,0.000296,0.289508,0.289212
01-01 01,Brindisi FIR,0.077484,0.010347,0.0,0.189423,0.189423
01-01 01,Brussels FIR,0.003002,0.0,0.0,0.021138,0.021138
01-01 01,Bucarest FIR,0.001855,0.0,0.00487,0.10805,0.10318
01-01 01,Budapest FIR,0.180908,0.019661,0.007988,0.578776,0.570788
01-01 01,Canarias FIR,0.05036,0.027549,0.000355,0.084276,0.083921
01-01 01,China,0.001281,0.0,0.056784,0.078794,0.02201
01-01 01,Chisinau FIR,0.0,0.0,0.006498,0.103767,0.097269
01-01 01,Continental Europe,0.083515,0.012723,0.000947,0.213439,0.212491
01-01 01,Copenhagen FIR,0.022139,0.002886,0.0,0.151619,0.151619
01-01 01,Dnipro FIR,0.0,0.0,0.0,0.0,0.0
01-01 01,East Asia,0.001194,0.000161,0.042325,0.049474,0.007149
01-01 01,European Airspace,0.054031,0.011408,0.000802,0.157089,0.156287
01-01 01,Global,0.02214,0.005228,0.021425,0.081016,0.059592
01-01 01,Helsinki FIR,3.7e-05,0.0,0.0,0.015526,0.015526
01-01 01,India,0.000846,0.0,0.006729,0.015626,0.008898
01-01 01,Istanbul FIR,0.085727,0.007673,0.001985,0.221084,0.219099
01-01 01,Kiev FIR,0.008358,0.0,0.001814,0.313859,0.312045
01-01 01,Langen FIR,0.018514,0.001865,0.0,0.022967,0.022967
01-01 01,Latin America,0.047199,0.018476,0.000626,0.098171,0.097545
01-01 01,Lisboa FIR,0.009819,0.000664,0.0,0.064865,0.064865
01-01 01,Ljubljana FIR,0.068272,0.030914,0.0,0.094438,0.094438
01-01 01,London FIR,0.033069,0.014677,0.0,0.060745,0.060745
01-01 01,Lvov FIR,0.072349,0.003075,0.057771,0.695453,0.637682
01-01 01,Madrid FIR,0.099016,0.006459,0.000338,0.250906,0.250568
01-01 01,Malta FIR,0.0,0.0,0.0,0.013995,0.013995
01-01 01,Marseille FIR,0.191624,0.070314,0.000102,0.307776,0.307673
01-01 01,Milano FIR,0.025282,0.011689,0.0,0.051615,0.051615
01-01 01,Munchen FIR,0.03967,0.000272,0.0,0.110033,0.110033
01-01 01,Nicosia FIR,0.03745,0.0,0.0,0.196056,0.196056
01-01 01,North Atlantic,0.026105,0.001477,0.0,0.093307,0.093307
01-01 01,North Pacific,0.0406,0.004361,0.034626,0.155598,0.120972
01-01 01,Odessa FIR,0.0,0.0,0.0,0.009522,0.009522
01-01 01,Paris FIR,0.0,0.0,0.0,0.081633,0.081633
01-01 01,Polaris FIR,0.07608,0.030404,0.0,0.397191,0.397191
01-01 01,Praha FIR,0.137222,0.019101,0.0,0.456274,0.456274
01-01 01,Reims FIR,0.0,0.0,0.0,0.0,0.0
01-01 01,Reykjavik FIR,0.142705,0.047856,0.0,0.276081,0.276081
01-01 01,Riga FIR,0.150905,0.007786,0.0,0.534064,0.534064
01-01 01,Roma FIR,0.027628,0.004595,0.0,0.124837,0.124837
01-01 01,Santa Maria FIR,0.024536,0.001119,0.0,0.111603,0.111603
01-01 01,Sarajevo FIR,0.203636,0.011155,0.052333,0.568574,0.516241
01-01 01,Scottish FIR,0.003913,0.0,0.0,0.031466,0.031466
01-01 01,Shannon FIR,0.055938,0.022897,0.0,0.072898,0.072898
01-01 01,Shanwick FIR,0.029582,0.000396,0.0,0.148002,0.148002
01-01 01,Simferopol FIR,0.0,0.0,0.0,0.01286,0.01286
01-01 01,Skopje FIR,0.0,0.0,0.0,0.0,0.0
01-01 01,Sofia FIR,0.011184,0.003134,0.004447,0.043731,0.039283
01-01 01,Southeast Asia,0.009468,0.000372,0.066372,0.10863,0.042258
01-01 01,Sweden FIR,0.072357,0.016751,0.0,0.287381,0.287381
01-01 01,Switzerland FIR,0.0,0.0,0.0,0.0,0.0
01-01 01,Tallinn FIR,0.006881,0.0,0.0,0.071897,0.071897
01-01 01,Tibilisi FIR,0.0,0.0,0.0,0.01445,0.01445
01-01 01,Tirana FIR,0.0,0.0,0.0,0.0,0.0
01-01 01,USA,0.017719,0.001284,0.0,0.056372,0.056372
01-01 01,Vilnius FIR,0.330469,0.021767,0.0,0.854966,0.854966
01-01 01,Warszawa FIR,0.241922,0.006812,0.0,0.630864,0.630864
01-01 01,Wien FIR,0.078218,0.022555,0.0,0.160429,0.160429
