Week,Region,FL270-290,FL300-320,FL330-350,FL360-380,FL390-410,FL420-440
1,European Airspace,0.035945,0.051934,0.055938,0.035064,0.005537,0.000229
1,North Atlantic,0.027488,0.044435,0.065695,0.050616,0.004098,0.000155
1,Continental Europe,0.035272,0.052266,0.055335,0.035855,0.00445,9e-06
1,Global,0.019893,0.022575,0.021511,0.021857,0.02616,0.030582
1,USA,0.02179,0.028598,0.021402,0.010892,0.004642,0.001048
1,East Asia,0.005423,0.00462,0.002083,0.000187,0.001675,0.002874
1,Southeast Asia,0.0,0.0,0.0,0.012742,0.088415,0.168251
1,Latin America,0.001368,0.009794,0.016414,0.023573,0.054681,0.074306
1,Africa & Middle East,0.000468,0.003299,0.006439,0.016335,0.027129,0.034525
1,China,0.022039,0.025165,0.016424,0.00531,0.001784,0.000272
1,India,0.000225,0.001204,0.001015,0.004691,0.012994,0.02248
1,North Pacific,0.057646,0.068926,0.054463,0.028946,0.005182,0.000377
1,Arctic,0.175505,0.134066,0.067896,0.027227,0.007063,0.000605
1,Reykjavik FIR,0.10797,0.104896,0.077497,0.038427,0.007296,8.5e-05
1,Brussels FIR,0.022073,0.013374,0.040517,0.029346,0.010686,0.0
1,Langen FIR,0.100508,0.044579,0.031726,0.022449,0.007889,0.0
1,Munchen FIR,0.090004,0.067696,0.028189,0.01848,0.004638,0.0
1,Bremen FIR,0.054336,0.043944,0.031725,0.037709,0.009163,0.0
1,Tallinn FIR,0.017382,0.023103,0.009866,0.000748,0.0,0.0
1,Helsinki FIR,0.029263,0.009926,0.005348,0.002877,0.000248,0.0
1,Shanwick FIR,0.026462,0.079054,0.11737,0.074127,0.00504,8e-06
1,Scottish FIR,0.088228,0.052729,0.04723,0.068558,0.001262,1.1e-05
1,London FIR,0.01725,0.023743,0.030566,0.056573,0.011414,0.0
1,Amsterdam FIR,0.028923,0.027652,0.026234,0.032236,0.012919,0.0
1,Shannon FIR,0.012195,0.042837,0.067052,0.077957,0.00468,6.8e-05
1,Copenhagen FIR,0.079762,0.086111,0.045876,0.079935,0.004243,3.2e-05
1,Bodo Oceanic FIR,0.176154,0.147153,0.078299,0.022782,0.000704,0.0
1,Polaris FIR,0.084427,0.054641,0.027547,0.02162,0.000957,0.0
1,Warszawa FIR,0.089318,0.107867,0.074831,0.046301,0.003996,0.0
1,Sweden FIR,0.037923,0.036993,0.019629,0.016929,0.000743,0.0
1,Riga FIR,0.054529,0.068885,0.06265,0.033999,0.00114,0.0
1,Vilnius FIR,0.094023,0.100941,0.084564,0.065687,0.001236,0.0
1,Canarias FIR,0.0,0.005352,0.033532,0.023823,0.001576,1.1e-05
1,Tirana FIR,0.006069,0.051778,0.074794,0.01363,0.0,0.0
1,Sofia FIR,0.041257,0.071406,0.078921,0.020465,0.000458,0.0
1,Nicosia FIR,0.000288,0.019533,0.02224,0.002681,0.0,0.0
1,Zagreb FIR,0.045179,0.150066,0.132016,0.021111,0.000147,0.0
1,Barcelona FIR,0.005164,0.046528,0.068648,0.023417,0.008282,0.0
1,Madrid FIR,0.006284,0.035798,0.053337,0.031043,0.005288,6e-05
1,Bordeaux FIR,0.019881,0.04221,0.040779,0.021637,0.005404,0.0
1,Reims FIR,0.124683,0.058673,0.027638,0.010079,3.1e-05,0.0
1,Paris FIR,0.016989,0.012971,0.027772,0.018894,0.002129,0.0
1,Marseille FIR,0.054287,0.072029,0.076951,0.033402,0.006588,0.0
1,Brest FIR,0.009456,0.009976,0.038432,0.043849,0.002698,0.0
1,Athinai FIR,0.001618,0.037193,0.039557,0.001996,0.0,0.0
1,Budapest FIR,0.058384,0.149635,0.128897,0.020738,0.001808,0.0
1,Brindisi FIR,0.019282,0.07606,0.094279,0.020211,6.6e-05,0.0
1,Milano FIR,0.061036,0.128731,0.084013,0.022219,0.000514,0.0
1,Roma FIR,0.016656,0.061495,0.084792,0.022805,0.000321,0.0
1,Ljubljana FIR,0.070784,0.185413,0.120472,0.014408,0.0,0.0
1,Praha FIR,0.051653,0.071881,0.045696,0.024193,0.008369,0.0
1,Malta FIR,5e-06,0.022828,0.023053,0.004909,0.000922,0.0
1,Wien FIR,0.043083,0.0971,0.074644,0.011178,0.001518,0.0
1,Lisboa FIR,0.003695,0.028313,0.060579,0.045574,0.016407,1.2e-05
1,Santa Maria FIR,0.002797,0.017027,0.060558,0.08376,0.012723,0.001965
1,Sarajevo FIR,0.038093,0.134503,0.133732,0.024542,0.0,0.0
1,Bucarest FIR,0.060492,0.114328,0.106408,0.040647,0.005697,0.0
1,Switzerland FIR,0.079491,0.081047,0.035246,0.017625,0.000222,0.0
1,Ankara FIR,0.032125,0.06867,0.0626,0.007139,0.000201,0.0
1,Istanbul FIR,0.007428,0.039371,0.045795,0.004548,4e-06,0.0
1,Chisinau FIR,0.062865,0.144171,0.122003,0.056327,0.018163,0.0
1,Skopje FIR,0.019665,0.057075,0.079939,0.016405,0.0,0.0
1,Beograd FIR,0.028667,0.095904,0.107323,0.019438,0.0,0.0
1,Bratislava  FIR,0.027875,0.104472,0.114572,0.03597,0.008508,0.0
1,Yerevan FIR,0.03295,0.040485,0.037597,0.010321,0.000197,0.0
1,Tibilisi FIR,0.026318,0.051744,0.048505,0.013519,3.2e-05,0.0
1,Kiev FIR,0.086579,0.177727,0.12548,0.031718,0.009175,0.0
1,Dnipro FIR,0.096968,0.176212,0.131586,0.05677,0.02447,0.0
1,Simferopol FIR,0.084001,0.113965,0.109992,0.058146,0.009561,0.0
1,Lvov FIR,0.065182,0.171711,0.119037,0.03124,0.007646,9.8e-05
1,Odessa FIR,0.067363,0.128708,0.117126,0.065134,0.015335,0.0
2,European Airspace,0.029732,0.050926,0.05384,0.036218,0.017832,0.003007
