Hour,Region,FL270-290,FL300-320,FL330-350,FL360-380,FL390-410,FL420-440
01-01 00,Africa & Middle East,0.001325,0.011741,0.016368,0.037098,0.051165,0.04444
01-01 00,Amsterdam FIR,0.208736,0.0,0.0,0.0,0.0,0.0
01-01 00,Ankara FIR,0.024485,0.123529,0.068401,0.0,0.0,0.0
01-01 00,Arctic,0.14882,0.089899,0.047389,0.035784,0.01885,0.004483
01-01 00,Athinai FIR,0.02811,0.123215,0.18198,0.020655,0.0,0.0
01-01 00,Barcelona FIR,0.009382,0.368241,0.596947,0.142571,0.0,0.0
01-01 00,Beograd FIR,0.008406,0.156614,0.096517,0.001681,0.0,0.0
01-01 00,Bodo Oceanic FIR,0.156727,0.162631,0.1375,0.136234,0.019525,0.0
01-01 00,Bordeaux FIR,0.22075,0.598993,0.43078,0.027766,0.0,0.0
01-01 00,Bratislava  FIR,0.03269,0.514151,0.68408,0.580943,0.440055,0.0
01-01 00,Bremen FIR,0.222436,0.0,0.0,0.0,0.0,0.0
01-01 00,Brest FIR,0.1525,0.271147,0.151887,0.0,0.0,0.0
01-01 00,Brindisi FIR,0.039776,0.179565,0.224632,0.028252,0.0,0.0
01-01 00,Brussels FIR,0.022513,0.0,0.0,0.0,0.0,0.0
01-01 00,Bucarest FIR,0.0,0.013764,0.004839,0.0,0.0,0.0
01-01 00,Budapest FIR,0.035088,0.356219,0.300793,0.081281,0.082933,0.0
01-01 00,Canarias FIR,0.0,0.006876,0.073446,0.1963,0.045035,0.002147
01-01 00,China,0.001928,0.001136,0.000975,0.000457,0.000384,0.0
01-01 00,Chisinau FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 00,Continental Europe,0.061533,0.184336,0.206753,0.067843,0.006614,0.0
01-01 00,Copenhagen FIR,0.074294,0.008034,0.003013,0.0,0.0,0.0
01-01 00,Dnipro FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 00,East Asia,0.000462,0.000651,0.000595,0.000193,0.001027,0.000873
01-01 00,European Airspace,0.050369,0.098931,0.106793,0.054017,0.019127,0.001167
01-01 00,Global,0.01917,0.023545,0.022092,0.021099,0.024881,0.022727
01-01 00,Helsinki FIR,0.0,0.0,0.0,0.0,0.0,0.0
01-01 00,India,0.0,0.0,0.0,0.00197,0.002533,0.00422
