,fir_code,fir_name,total_big_hits
8,EGTT,London FIR,58422
2,EDGG,Langen FIR,29699
26,LFFF,Paris FIR,23586
23,LECM,Madrid FIR,17041
9,EHAA,Amsterdam FIR,15467
22,LECB,Barcelona FIR,13248
18,GCCC,Canarias FIR,11916
3,EDMM,Munchen FIR,11551
38,LPPC,Lisboa FIR,10747
61,UUWV,Moscow FIR,10498
32,LIMM,Milano FIR,9939
33,LIRR,Roma FIR,9237
1,EBBU,Brussels FIR,8363
42,LSAS,Switzerland FIR,7721
14,EPWW,Warszawa FIR,7672
29,LGGG,Athinai FIR,7514
4,EDWW,Bremen FIR,6625
11,EKDK,Copenhagen FIR,6139
15,ESAA,Sweden FIR,6027
6,EFIN,Helsinki FIR,6023
10,EISN,Shannon FIR,5770
37,LOVV,Wien FIR,5128
13,ENOR,Polaris FIR,4543
41,LRBB,Bucarest FIR,4316
7,EGPX,Scottish FIR,3936
30,LHCC,Budapest FIR,3100
35,LKAA,Praha FIR,2959
27,LFMM,Marseille FIR,2827
0,BIRD,Reykjavik FIR,2362
20,LBSR,Sofia FIR,2055
25,LFEE,Reims FIR,1667
49,UKBV,Kiev FIR,1513
17,EYVL,Vilnius FIR,1288
16,EVRR,Riga FIR,1118
53,ULLL,Sankt-Peterburg FIR,1073
21,LDZO,Zagreb FIR,1024
24,LFBB,Bordeaux FIR,818
36,LMMM,Malta FIR,783
45,LYBA,Beograd FIR,696
5,EETT,Tallinn FIR,636
31,LIBB,Brindisi FIR,492
28,LFRR,Brest FIR,405
43,LUUU,Chisinau FIR,395
39,LPPO,Santa Maria FIR,381
46,LZBB,Bratislava  FIR,353
57,UNNT,Novosibirsk FIR,324
44,LWSS,Skopje FIR,301
19,LAAA,Tirana FIR,249
34,LJLA,Ljubljana FIR,187
40,LQSB,Sarajevo FIR,127
59,USSV,Yekaterinburg FIR,122
50,UKDV,Dnipro FIR,116
51,UKLV,Lvov FIR,105
55,UMMV,Minsk FIR,69
62,UWWW,Samara FIR,57
52,UKOV,Odessa FIR,42
56,UNKL,Krasnoyarsk FIR,22
12,ENOB,Bodo Oceanic FIR,17
58,URRV,Rostov-Na-Donu FIR,17
60,USTV,Tyumen FIR,9
54,UMKK,Kaliningrad FIR,3
47,UHHH,Khabarovsk FIR,2
48,UIII,Irkutsk FIR,1
