,time,file,region_id,area_km2,pt in mask,vol_km3,width_km,length_km,thickness_m,std_thickness,mean_FL,mean_lat,mean_lon,mean_forcing,max_forcing,std_forcing
1105114,2024-11-18 02:00:00,20241118T02.nc,348,344.808,1,105.09748264160156,12.403732,27.79873,304.8,0.0,290.0,63.5,-84.74999,546162240.0,546162240.0,0.0
1185832,2024-11-30 02:00:00,20241130T02.nc,209,3052.0444,6,930.263143359375,73.19525,83.396194,304.8,0.0,290.0,48.83264,-42.20909,567580100.0,620837800.0,45391490.0
898739,2024-10-14 13:00:00,20241014T13.nc,223,1123.9381,3,342.57633603515626,40.431274,27.79873,304.8,0.0,340.0,61.0,-38.5,823028900.0,885658430.0,61012836.0
53205,2024-01-25 07:00:00,20240125T07.nc,72,2367.903,4,1443.4737152343732,63.885197,27.79873,609.5999999999992,152.39999999999964,315.0,40.0,37.249992,587779800.0,663330400.0,45148050.0
335055,2024-05-15 18:00:00,20240515T18.nc,48,1926694.0,3735,4698050.649600001,1303.1598,1612.3264,2438.4000000000005,698.3845359112703,355.0,47.95676,-51.066593,1065930700.0,2974832400.0,447259200.0
1129059,2024-11-21 17:00:00,20241121T17.nc,293,2524837.2,8648,9234844.725600002,836.25397,1028.5531,3657.600000000001,1052.1856110021656,335.0,67.61734,-70.318115,935965800.0,2564655000.0,379820220.0
189361,2024-03-20 13:00:00,20240320T13.nc,78,483.69455,1,147.4300987060547,17.399878,27.79873,304.8,0.0,310.0,51.25,3.75,507463550.0,507463550.0,0.0
139178,2024-02-29 00:00:00,20240229T00.nc,33,54791.844,93,50101.66192500002,381.54092,305.78607,914.4000000000004,248.86815786677104,290.0,40.31432,7.3014164,663631170.0,1007091000.0,122055570.0
830496,2024-10-03 22:00:00,20241003T22.nc,138,392.21017,1,119.54566120605467,14.108924,27.79873,304.8,0.0,320.0,59.5,-65.24999,507153600.0,507153600.0,0.0
595465,2024-08-19 04:00:00,20240819T04.nc,99,3423.5342,11,3130.4796539062518,55.97925,27.79873,914.4000000000004,248.86815786677104,290.0,66.24999,-52.522724,628191700.0,808351800.0,91833860.0
9186,2024-01-05 12:00:00,20240105T12.nc,84,539.23114,1,164.35765151367187,19.39769,27.79873,304.8,0.0,390.0,45.75,-23.249998,845284540.0,845284540.0,0.0
961095,2024-10-24 13:00:00,20241024T13.nc,286,314.31363,1,95.80279416503907,11.306762,27.79873,304.8,0.0,310.0,66.0,-48.499996,510967870.0,510967870.0,0.0
814125,2024-10-01 01:00:00,20241001T01.nc,21,644.40155,1,196.4135925292969,23.180971,27.79873,304.8,0.0,360.0,33.5,-38.749996,505759100.0,505759100.0,0.0
827902,2024-10-03 03:00:00,20241003T03.nc,137,875.4029,2,266.82280180664065,31.490751,27.79873,304.8,0.0,330.0,55.5,29.875,516129920.0,518897440.0,2767520.0
674654,2024-09-11 19:00:00,20240911T19.nc,183,536.8108,1,163.61992910156252,19.310623,27.79873,304.8,0.0,350.0,46.0,30.749998,535454340.0,535454340.0,0.0
384039,2024-05-30 17:00:00,20240530T17.nc,54,233460.69,413,355794.0877500002,488.084,305.78607,1524.000000000001,431.0522938113194,320.0,42.98148,24.994783,1129722800.0,2308195800.0,421812860.0
855063,2024-10-07 14:00:00,20241007T14.nc,176,415.2087,1,126.5556147216797,14.936251,27.79873,304.8,0.0,290.0,57.499996,-17.499998,502642180.0,502642180.0,0.0
932395,2024-10-19 22:00:00,20241019T22.nc,267,359.81268,1,109.67090581054688,12.943493,27.79873,304.8,0.0,330.0,62.25,6.4999995,512423260.0,512423260.0,0.0
480335,2024-07-05 13:00:00,20240705T13.nc,56,1008.8656,2,307.5022350585937,36.291786,27.79873,304.8,0.0,340.0,49.25,-10.374999,547032600.0,553444860.0,6412256.0
931003,2024-10-19 19:00:00,20241019T19.nc,87,604.7757,1,184.3356320800781,21.755514,27.79873,304.8,0.0,370.0,38.5,-44.749996,500443140.0,500443140.0,0.0
