Date,Airport,Big Hits
2019-12-31 00:00:00,London Heathrow Airport,94
2019-12-31 00:00:00,Charles de Gaulle International Airport,53
2019-12-31 00:00:00,Amsterdam Airport Schiphol,40
2019-12-31 00:00:00,Frankfurt am Main Airport,34
2019-12-31 00:00:00,Adolfo Suárez Madrid–Barajas Airport,35
2019-12-31 00:00:00,London Gatwick Airport,29
2019-12-31 00:00:00,Zürich Airport,18
2019-12-31 00:00:00,Munich Airport,15
2019-12-31 00:00:00,Paris-Orly Airport,16
2019-12-31 00:00:00,Dublin Airport,19
2019-12-31 00:00:00,Malpensa International Airport,13
2019-12-31 00:00:00,Humberto Delgado Airport (Lisbon Portela Airport),22
2019-12-31 00:00:00,Rome–Fiumicino Leonardo da Vinci International Airport,15
2019-12-31 00:00:00,Manchester Airport,9
2019-12-31 00:00:00,Brussels Airport,7
2019-12-31 00:00:00,Josep Tarradellas Barcelona-El Prat Airport,9
2019-12-31 00:00:00,Helsinki Vantaa Airport,5
2019-12-31 00:00:00,Düsseldorf Airport,4
2019-12-31 00:00:00,Copenhagen Kastrup Airport,4
2019-12-31 00:00:00,Vienna International Airport,5
2019-12-30 00:00:00,London Heathrow Airport,107
2019-12-30 00:00:00,Charles de Gaulle International Airport,75
2019-12-30 00:00:00,Adolfo Suárez Madrid–Barajas Airport,57
2019-12-30 00:00:00,Frankfurt am Main Airport,57
2019-12-30 00:00:00,Amsterdam Airport Schiphol,48
2019-12-30 00:00:00,London Gatwick Airport,20
2019-12-30 00:00:00,Munich Airport,25
2019-12-30 00:00:00,Zürich Airport,20
2019-12-30 00:00:00,Humberto Delgado Airport (Lisbon Portela Airport),23
2019-12-30 00:00:00,Paris-Orly Airport,15
2019-12-30 00:00:00,Rome–Fiumicino Leonardo da Vinci International Airport,18
2019-12-30 00:00:00,Helsinki Vantaa Airport,61
2019-12-30 00:00:00,Malpensa International Airport,20
2019-12-30 00:00:00,Dublin Airport,14
2019-12-30 00:00:00,Josep Tarradellas Barcelona-El Prat Airport,16
2019-12-30 00:00:00,Brussels Airport,12
2019-12-30 00:00:00,Manchester Airport,7
2019-12-30 00:00:00,Copenhagen Kastrup Airport,11
2019-12-30 00:00:00,Vienna International Airport,10
2019-12-30 00:00:00,Düsseldorf Airport,11
2019-12-29 00:00:00,London Heathrow Airport,110
2019-12-29 00:00:00,Charles de Gaulle International Airport,68
2019-12-29 00:00:00,Frankfurt am Main Airport,58
2019-12-29 00:00:00,Adolfo Suárez Madrid–Barajas Airport,61
2019-12-29 00:00:00,Amsterdam Airport Schiphol,64
2019-12-29 00:00:00,Rome–Fiumicino Leonardo da Vinci International Airport,21
2019-12-29 00:00:00,Munich Airport,21
2019-12-29 00:00:00,London Gatwick Airport,38
2019-12-29 00:00:00,Paris-Orly Airport,19
2019-12-29 00:00:00,Humberto Delgado Airport (Lisbon Portela Airport),26
2019-12-29 00:00:00,Malpensa International Airport,14
2019-12-29 00:00:00,Zürich Airport,13
2019-12-29 00:00:00,Copenhagen Kastrup Airport,28
2019-12-29 00:00:00,Dublin Airport,20
2019-12-29 00:00:00,Manchester Airport,19
2019-12-29 00:00:00,Helsinki Vantaa Airport,28
2019-12-29 00:00:00,Josep Tarradellas Barcelona-El Prat Airport,20
2019-12-29 00:00:00,Brussels Airport,13
2019-12-29 00:00:00,Vienna International Airport,6
2019-12-29 00:00:00,Düsseldorf Airport,12
2019-12-28 00:00:00,London Heathrow Airport,170
2019-12-28 00:00:00,Charles de Gaulle International Airport,89
2019-12-28 00:00:00,Frankfurt am Main Airport,67
2019-12-28 00:00:00,Amsterdam Airport Schiphol,61
2019-12-28 00:00:00,Adolfo Suárez Madrid–Barajas Airport,58
2019-12-28 00:00:00,London Gatwick Airport,50
2019-12-28 00:00:00,Munich Airport,29
2019-12-28 00:00:00,Zürich Airport,23
2019-12-28 00:00:00,Rome–Fiumicino Leonardo da Vinci International Airport,20
2019-12-28 00:00:00,Dublin Airport,51
2019-12-28 00:00:00,Malpensa International Airport,12
2019-12-28 00:00:00,Paris-Orly Airport,30
2019-12-28 00:00:00,Humberto Delgado Airport (Lisbon Portela Airport),18
2019-12-28 00:00:00,Copenhagen Kastrup Airport,23
2019-12-28 00:00:00,Manchester Airport,27
2019-12-28 00:00:00,Josep Tarradellas Barcelona-El Prat Airport,38
2019-12-28 00:00:00,Helsinki Vantaa Airport,24
2019-12-28 00:00:00,Brussels Airport,17
2019-12-28 00:00:00,Düsseldorf Airport,7
2019-12-28 00:00:00,Vienna International Airport,6
2019-12-27 00:00:00,London Heathrow Airport,143
2019-12-27 00:00:00,Charles de Gaulle International Airport,67
2019-12-27 00:00:00,Frankfurt am Main Airport,60
2019-12-27 00:00:00,Amsterdam Airport Schiphol,53
2019-12-27 00:00:00,Adolfo Suárez Madrid–Barajas Airport,41
2019-12-27 00:00:00,London Gatwick Airport,41
2019-12-27 00:00:00,Munich Airport,23
2019-12-27 00:00:00,Rome–Fiumicino Leonardo da Vinci International Airport,19
2019-12-27 00:00:00,Zürich Airport,17
2019-12-27 00:00:00,Paris-Orly Airport,18
2019-12-27 00:00:00,Malpensa International Airport,12
2019-12-27 00:00:00,Copenhagen Kastrup Airport,18
2019-12-27 00:00:00,Dublin Airport,39
2019-12-27 00:00:00,Manchester Airport,21
2019-12-27 00:00:00,Josep Tarradellas Barcelona-El Prat Airport,21
2019-12-27 00:00:00,Vienna International Airport,11
2019-12-27 00:00:00,Humberto Delgado Airport (Lisbon Portela Airport),21
2019-12-27 00:00:00,Helsinki Vantaa Airport,11
2019-12-27 00:00:00,Brussels Airport,7
2019-12-27 00:00:00,Düsseldorf Airport,6
2019-12-26 00:00:00,London Heathrow Airport,137
2019-12-26 00:00:00,Charles de Gaulle International Airport,85
2019-12-26 00:00:00,Frankfurt am Main Airport,77
2019-12-26 00:00:00,Adolfo Suárez Madrid–Barajas Airport,73
2019-12-26 00:00:00,Amsterdam Airport Schiphol,67
2019-12-26 00:00:00,Munich Airport,30
2019-12-26 00:00:00,Rome–Fiumicino Leonardo da Vinci International Airport,27
2019-12-26 00:00:00,London Gatwick Airport,36
2019-12-26 00:00:00,Paris-Orly Airport,26
2019-12-26 00:00:00,Zürich Airport,15
2019-12-26 00:00:00,Josep Tarradellas Barcelona-El Prat Airport,30
2019-12-26 00:00:00,Humberto Delgado Airport (Lisbon Portela Airport),36
2019-12-26 00:00:00,Copenhagen Kastrup Airport,16
2019-12-26 00:00:00,Dublin Airport,24
2019-12-26 00:00:00,Helsinki Vantaa Airport,17
2019-12-26 00:00:00,Malpensa International Airport,8
2019-12-26 00:00:00,Vienna International Airport,17
2019-12-26 00:00:00,Brussels Airport,12
2019-12-26 00:00:00,Düsseldorf Airport,14
2019-12-26 00:00:00,Manchester Airport,17
2019-12-25 00:00:00,London Heathrow Airport,74
2019-12-25 00:00:00,Charles de Gaulle International Airport,69
2019-12-25 00:00:00,Adolfo Suárez Madrid–Barajas Airport,62
2019-12-25 00:00:00,Frankfurt am Main Airport,39
2019-12-25 00:00:00,Amsterdam Airport Schiphol,45
2019-12-25 00:00:00,Paris-Orly Airport,37
2019-12-25 00:00:00,Zürich Airport,20
2019-12-25 00:00:00,Malpensa International Airport,13
2019-12-25 00:00:00,Humberto Delgado Airport (Lisbon Portela Airport),49
2019-12-25 00:00:00,Munich Airport,13
2019-12-25 00:00:00,Rome–Fiumicino Leonardo da Vinci International Airport,12
2019-12-25 00:00:00,Brussels Airport,14
2019-12-25 00:00:00,London Gatwick Airport,15
2019-12-25 00:00:00,Josep Tarradellas Barcelona-El Prat Airport,21
2019-12-25 00:00:00,Vienna International Airport,7
2019-12-25 00:00:00,Düsseldorf Airport,7
2019-12-25 00:00:00,Copenhagen Kastrup Airport,6
2019-12-25 00:00:00,Helsinki Vantaa Airport,11
2019-12-25 00:00:00,Manchester Airport,2
2019-12-24 00:00:00,London Heathrow Airport,41
2019-12-24 00:00:00,Adolfo Suárez Madrid–Barajas Airport,43
2019-12-24 00:00:00,Charles de Gaulle International Airport,29
2019-12-24 00:00:00,Frankfurt am Main Airport,27
2019-12-24 00:00:00,Amsterdam Airport Schiphol,25
2019-12-24 00:00:00,Paris-Orly Airport,21
2019-12-24 00:00:00,Rome–Fiumicino Leonardo da Vinci International Airport,16
2019-12-24 00:00:00,Humberto Delgado Airport (Lisbon Portela Airport),23
2019-12-24 00:00:00,Zürich Airport,8
2019-12-24 00:00:00,London Gatwick Airport,10
2019-12-24 00:00:00,Munich Airport,9
2019-12-24 00:00:00,Malpensa International Airport,8
2019-12-24 00:00:00,Helsinki Vantaa Airport,11
2019-12-24 00:00:00,Josep Tarradellas Barcelona-El Prat Airport,8
2019-12-24 00:00:00,Copenhagen Kastrup Airport,3
2019-12-24 00:00:00,Düsseldorf Airport,6
2019-12-24 00:00:00,Vienna International Airport,6
2019-12-24 00:00:00,Brussels Airport,6
