date,fir_code,fir_name,big_hit_count
2019-01-01,BIRD,Reykjavik FIR,9
2019-01-01,EBBU,Brussels FIR,1
2019-01-01,EDGG,Langen FIR,33
2019-01-01,EDMM,Munchen FIR,13
2019-01-01,EDWW,Bremen FIR,1
2019-01-01,EETT,Tallinn FIR,1
2019-01-01,EFIN,Helsinki FIR,5
2019-01-01,EGPX,Scottish FIR,0
2019-01-01,EGTT,London FIR,44
2019-01-01,EHAA,Amsterdam FIR,25
2019-01-01,EISN,Shannon FIR,4
2019-01-01,EKDK,Copenhagen FIR,7
2019-01-01,ENOR,Polaris FIR,3
2019-01-01,EPWW,Warszawa FIR,5
2019-01-01,ESAA,Sweden FIR,5
2019-01-01,EVRR,Riga FIR,3
2019-01-01,EYVL,Vilnius FIR,1
2019-01-01,GCCC,Canarias FIR,1
2019-01-01,GMMM,Casablanca FIR,0
2019-01-01,LAAA,Tirana FIR,0
2019-01-01,LBSR,Sofia FIR,1
2019-01-01,LDZO,Zagreb FIR,0
2019-01-01,LECB,Barcelona FIR,0
2019-01-01,LECM,Madrid FIR,22
2019-01-01,LFBB,Bordeaux FIR,0
2019-01-01,LFEE,Reims FIR,0
2019-01-01,LFFF,Paris FIR,35
2019-01-01,LFMM,Marseille FIR,0
2019-01-01,LFRR,Brest FIR,0
2019-01-01,LGGG,Athinai FIR,6
2019-01-01,LHCC,Budapest FIR,1
2019-01-01,LIBB,Brindisi FIR,0
2019-01-01,LIMM,Milano FIR,5
2019-01-01,LIRR,Roma FIR,11
2019-01-01,LJLA,Ljubljana FIR,0
2019-01-01,LKAA,Praha FIR,1
2019-01-01,LMMM,Malta FIR,0
2019-01-01,LOVV,Wien FIR,2
2019-01-01,LPPC,Lisboa FIR,4
2019-01-01,LPPO,Santa Maria FIR,0
2019-01-01,LQSB,Sarajevo FIR,0
2019-01-01,LRBB,Bucarest FIR,1
2019-01-01,LSAS,Switzerland FIR,8
2019-01-01,LUUU,Chisinau FIR,0
2019-01-01,LWSS,Skopje FIR,0
2019-01-01,LYBA,Beograd FIR,0
2019-01-01,LZBB,Bratislava  FIR,0
2019-01-01,UKBV,Kiev FIR,2
2019-01-01,UKDV,Dnipro FIR,0
2019-01-01,UKLV,Lvov FIR,0
2019-01-01,UKOV,Odessa FIR,0
