name,entries,exits,mean_count,timestamp
AMSTERDAM FIR,270,126,91.23076923076923,adsb_2024_01_01_12_00_00_3600
ANKARA FIR,208,51,68.38461538461539,adsb_2024_01_01_12_00_00_3600
ATHINAI FIR,165,62,70.0,adsb_2024_01_01_12_00_00_3600
BARCELONA FIR,258,90,113.15384615384616,adsb_2024_01_01_12_00_00_3600
BEOGRAD FIR,160,99,44.0,adsb_2024_01_01_12_00_00_3600
BODO OCEANIC FIR,2,1,1.0,adsb_2024_01_01_12_00_00_3600
BORDEAUX FIR,224,126,83.0,adsb_2024_01_01_12_00_00_3600
BRATISLAVA FIR,71,57,14.0,adsb_2024_01_01_12_00_00_3600
BREMEN FIR,230,115,66.0,adsb_2024_01_01_12_00_00_3600
BREST FIR,166,95,67.15384615384616,adsb_2024_01_01_12_00_00_3600
BRINDISI FIR,70,46,23.0,adsb_2024_01_01_12_00_00_3600
BRUSSELS FIR,208,123,46.38461538461539,adsb_2024_01_01_12_00_00_3600
BUCURESTI FIR,195,100,85.23076923076923,adsb_2024_01_01_12_00_00_3600
BUDAPEST FIR,171,109,45.76923076923077,adsb_2024_01_01_12_00_00_3600
CANARIAS FIR,109,18,39.76923076923077,adsb_2024_01_01_12_00_00_3600
CHISINAU FIR,6,0,2.6,adsb_2024_01_01_12_00_00_3600
DNIPROPETROVSK FIR,0,0,,adsb_2024_01_01_12_00_00_3600
FINLAND FIR,68,18,29.923076923076923,adsb_2024_01_01_12_00_00_3600
FIR PRAHA,169,75,57.46153846153846,adsb_2024_01_01_12_00_00_3600
FIR SOFIA,184,107,64.46153846153847,adsb_2024_01_01_12_00_00_3600
ISTANBUL FIR,238,97,80.76923076923077,adsb_2024_01_01_12_00_00_3600
KOEBENHAVN FIR,130,66,47.0,adsb_2024_01_01_12_00_00_3600
KYIV FIR,0,0,,adsb_2024_01_01_12_00_00_3600
L'VIV FIR,0,0,,adsb_2024_01_01_12_00_00_3600
LANGEN FIR,425,228,139.07692307692307,adsb_2024_01_01_12_00_00_3600
LISBOA FIR,227,83,99.46153846153847,adsb_2024_01_01_12_00_00_3600
LJUBLJANA FIR,78,66,10.307692307692308,adsb_2024_01_01_12_00_00_3600
LONDON FIR,752,216,337.46153846153845,adsb_2024_01_01_12_00_00_3600
MADRID FIR,432,158,189.30769230769232,adsb_2024_01_01_12_00_00_3600
MALTA FIR,25,13,7.538461538461538,adsb_2024_01_01_12_00_00_3600
MARSEILLE FIR,314,185,98.92307692307692,adsb_2024_01_01_12_00_00_3600
MILANO FIR,342,154,118.92307692307692,adsb_2024_01_01_12_00_00_3600
MUNICH FIR,370,228,88.38461538461539,adsb_2024_01_01_12_00_00_3600
NICOSIA FIR,57,28,18.0,adsb_2024_01_01_12_00_00_3600
NORWAY FIR,144,31,61.46153846153846,adsb_2024_01_01_12_00_00_3600
ODESA FIR,0,0,,adsb_2024_01_01_12_00_00_3600
PARIS FIR,414,210,144.15384615384616,adsb_2024_01_01_12_00_00_3600
REIMS FIR,141,93,31.307692307692307,adsb_2024_01_01_12_00_00_3600
