month,Big hit,Cooling,No contrail,Other warming,Big hit_flights,Cooling_flights,No contrail_flights,Other warming_flights
1,2.502020725804609e+19,-1.1391171726877961e+18,0.0,7.727623702622425e+18,27239,56790,229337,192751
2,2.595279353819592e+19,-3.4440301726676147e+18,0.0,7.160891529394661e+18,30380,80647,215109,146657
3,2.013237670095092e+19,-2.377570584100572e+18,0.0,7.188269822199171e+18,24690,83288,281431,157079
4,1.1965796211458765e+19,-3.7486294523522386e+18,0.0,5.739212919029466e+18,15408,116512,307827,160154
5,1.2329252472996155e+19,-2.4935580533641134e+18,0.0,7.716705397874302e+18,18331,110167,314306,193339
6,8.480896723849967e+18,-1.9805841245204096e+18,0.0,6.951828600155591e+18,13529,86204,412251,153090
7,6.709098197932403e+18,-1.1521446134445975e+18,0.0,6.678451458346639e+18,11324,73659,466875,152407
8,1.0086693283513137e+19,-2.58145760136938e+18,0.0,8.428347919348596e+18,16668,93575,432928,165421
9,1.690379860247945e+19,-2.7615465052454395e+18,0.0,9.674937769840898e+18,24952,92107,453067,178996
10,2.7415220305537438e+19,-2.5926704520628193e+18,0.0,1.0892560008866456e+19,36174,82857,394726,199220
11,3.919696258395116e+19,-1.1910997101570289e+18,0.0,9.725490900124453e+18,43339,50025,268844,208678
12,3.2156408390917968e+19,-1.3192318605572163e+18,0.0,9.284909155739277e+18,36096,46175,287241,194931
