Hour,Total number of flights,Big hit warming,Other warming,Cooling
0,0.3,0.3,0.1,-0.0
1,0.3,0.2,0.1,-0.0
2,0.5,0.2,0.2,-0.0
3,0.8,0.2,0.2,-0.1
4,2.9,0.3,0.4,-0.4
5,5.0,0.5,0.7,-0.7
6,5.5,0.6,0.8,-0.8
7,5.7,0.8,0.8,-0.9
8,6.2,1.2,1.1,-1.1
9,6.3,2.1,1.5,-1.2
10,6.3,3.5,1.7,-1.1
11,6.2,5.0,1.8,-0.9
12,5.9,5.9,1.9,-0.6
13,6.1,6.2,2.0,-0.4
14,6.0,6.7,2.3,-0.2
15,6.0,7.0,2.4,-0.1
16,6.1,7.7,2.7,-0.0
17,5.8,6.9,2.6,-0.0
18,5.3,5.7,2.3,-0.0
19,5.2,5.2,2.3,-0.0
20,4.1,4.7,1.8,-0.0
21,2.1,3.3,1.1,-0.0
22,0.9,2.1,0.6,-0.0
23,0.4,0.9,0.3,-0.0
