Date,Departure airport,Number of big hits
2019-01-01,Charles de Gaulle International Airport,30
2019-01-01,Frankfurt am Main Airport,28
2019-01-01,London Heathrow Airport,36
2019-01-02,Charles de Gaulle International Airport,52
2019-01-02,Frankfurt am Main Airport,39
2019-01-02,London Heathrow Airport,114
2019-01-03,Charles de Gaulle International Airport,77
2019-01-03,Frankfurt am Main Airport,59
2019-01-03,London Heathrow Airport,137
2019-01-04,Charles de Gaulle International Airport,92
2019-01-04,Frankfurt am Main Airport,72
2019-01-04,London Heathrow Airport,188
2019-01-05,Charles de Gaulle International Airport,52
2019-01-05,Frankfurt am Main Airport,42
2019-01-05,London Heathrow Airport,53
2019-01-06,Charles de Gaulle International Airport,80
2019-01-06,Frankfurt am Main Airport,69
2019-01-06,London Heathrow Airport,151
2019-01-07,Charles de Gaulle International Airport,114
2019-01-07,Frankfurt am Main Airport,97
2019-01-07,London Heathrow Airport,216
2019-01-08,Charles de Gaulle International Airport,66
2019-01-08,Frankfurt am Main Airport,81
2019-01-08,London Heathrow Airport,137
2019-01-09,Charles de Gaulle International Airport,44
2019-01-09,Frankfurt am Main Airport,51
2019-01-09,London Heathrow Airport,58
2019-01-10,Charles de Gaulle International Airport,68
2019-01-10,Frankfurt am Main Airport,60
2019-01-10,London Heathrow Airport,114
2019-01-11,Charles de Gaulle International Airport,80
2019-01-11,Frankfurt am Main Airport,90
2019-01-11,London Heathrow Airport,152
2019-01-12,Charles de Gaulle International Airport,109
2019-01-12,Frankfurt am Main Airport,103
2019-01-12,London Heathrow Airport,236
2019-01-13,Charles de Gaulle International Airport,113
2019-01-13,Frankfurt am Main Airport,89
2019-01-13,London Heathrow Airport,180
2019-01-14,Charles de Gaulle International Airport,61
2019-01-14,Frankfurt am Main Airport,51
2019-01-14,London Heathrow Airport,104
2019-01-15,Charles de Gaulle International Airport,73
2019-01-15,Frankfurt am Main Airport,38
2019-01-15,London Heathrow Airport,139
2019-01-16,Charles de Gaulle International Airport,125
2019-01-16,Frankfurt am Main Airport,128
2019-01-16,London Heathrow Airport,196
2019-01-17,Charles de Gaulle International Airport,54
2019-01-17,Frankfurt am Main Airport,59
2019-01-17,London Heathrow Airport,99
2019-01-18,Charles de Gaulle International Airport,63
2019-01-18,Frankfurt am Main Airport,71
2019-01-18,London Heathrow Airport,67
2019-01-19,Charles de Gaulle International Airport,83
2019-01-19,Frankfurt am Main Airport,84
2019-01-19,London Heathrow Airport,98
2019-01-20,Charles de Gaulle International Airport,50
2019-01-20,Frankfurt am Main Airport,50
2019-01-20,London Heathrow Airport,89
2019-01-21,Charles de Gaulle International Airport,62
2019-01-21,Frankfurt am Main Airport,73
2019-01-21,London Heathrow Airport,172
2019-01-22,Charles de Gaulle International Airport,58
2019-01-22,Frankfurt am Main Airport,78
2019-01-22,London Heathrow Airport,135
2019-01-23,Charles de Gaulle International Airport,61
2019-01-23,Frankfurt am Main Airport,64
2019-01-23,London Heathrow Airport,112
2019-01-24,Charles de Gaulle International Airport,91
2019-01-24,Frankfurt am Main Airport,74
2019-01-24,London Heathrow Airport,137
2019-01-25,Charles de Gaulle International Airport,68
2019-01-25,Frankfurt am Main Airport,79
2019-01-25,London Heathrow Airport,133
2019-01-26,Charles de Gaulle International Airport,174
2019-01-26,Frankfurt am Main Airport,186
2019-01-26,London Heathrow Airport,227
2019-01-27,Charles de Gaulle International Airport,61
2019-01-27,Frankfurt am Main Airport,73
2019-01-27,London Heathrow Airport,73
2019-01-28,Charles de Gaulle International Airport,40
2019-01-28,Frankfurt am Main Airport,58
2019-01-28,London Heathrow Airport,55
2019-01-29,Charles de Gaulle International Airport,31
2019-01-29,Frankfurt am Main Airport,32
