Airport,Latitude,Longitude,Flights Total,Flights Big Hit,Flights Warming,Flights Cooling,Flights No Contrail,Contrail Forcing (10^18 J),Fuel Burn (t),CO2 (Mt),CO2 Forcing 20yr (10^18 J),CO2 Forcing 100yr (10^18 J),GWP20,GWP100,Contrail CO2eq 20yr (Mt),Contrail CO2eq 100yr (Mt)
A Coruña Airport,43.302101,-8.37726,4499,79,0,245,3645,0.07036952090390543,10811548.65799077,0.03425098614851476,0.013168397012346714,0.048486147995251506,2.244403684968586,0.6095596371676045,0.07687303952553452,0.020878018689321307
Aalborg Airport,57.092759,9.849243,7202,94,0,453,5746,0.07803949667258424,14930980.103752311,0.04730134496868733,0.018185838126376214,0.06696040816406307,1.8023138870320836,0.48949206704621356,0.08525187091236033,0.023153633122788772
Aarhus Airport,56.303331,10.618286,4398,34,0,296,3395,0.03896775489041163,5761588.255415584,0.018252711593156574,0.007017577589396561,0.025838779408656795,2.3322089204545904,0.6334067408961899,0.04256913680004468,0.011561390562739405
Aberdeen Dyce Airport,57.2019,-2.19778,13836,130,0,1110,9943,0.13536494193770207,25432622.746387627,0.08057054886055601,0.030976771597114688,0.11405673224042229,1.8353518679503205,0.4984648823183256,0.14787530735300403,0.04016158915609995
Abruzzo Airport,42.431702,14.1811,2623,23,0,336,1620,0.02721716239295784,7235741.056971731,0.022922827668486443,0.008813086259045567,0.03244985735548159,1.2970720890550165,0.35227298782289646,0.029732559971011843,0.00807509299212708
Adolfo Suárez Madrid–Barajas Airport,40.471926,-3.56264,208103,11848,0,28094,117624,10.08305597004609,2730255713.826999,8.649450101403934,3.325433970861263,12.244275708610507,1.2734829632845044,0.3458663957102234,11.01492734591734,2.9915541314480047
Aerodromo Goncalves Lobato (Viseu Airport),40.725498,-7.88899,108,0,0,0,108,0.0,17917.008373373763,5.676108252684808e-05,2.182280143185085e-05,8.035173748966004e-05,0.0,0.0,0.0,0.0
Agen-La Garenne Airport,44.17470169067383,0.5905560255050659,143,0,0,1,137,3.466910695594444e-05,111265.03387172676,0.00035248762730563036,0.00013552009855056173,0.0004989861369225705,0.10744550127421901,0.029181221368793565,3.787320980881354e-05,1.0286019482166403e-05
Ajaccio-Napoléon Bonaparte Airport,41.92359924316406,8.8029203414917,5883,30,0,526,4467,0.03741222689435935,13360288.672768783,0.04232539451533151,0.016272746024460272,0.05991638703566962,0.9656105534991961,0.2622510480526226,0.04086984762502109,0.011099879070886413
Aktion National Airport,38.92549896240234,20.765300750732425,1960,67,0,214,1022,0.061123513759370626,10760182.847009642,0.03408825925932655,0.01310583378359403,0.048255789663442454,1.9588128617251264,0.5319957658548922,0.06677252067098947,0.018134809591325546
Akureyri Airport,65.66000366210938,-18.07270050048828,1458,1,0,13,1405,0.0012157586920125613,914620.8076096879,0.0028975187185074913,0.0011140022850894555,0.0041017657358942295,0.458364096267785,0.1244875216000007,0.0013281185488276768,0.0003607049240566077
Albacete Airport / Los Llanos Air Base,38.948502,-1.86352,44,0,0,6,28,0.00011792276134380483,222825.26648251826,0.0007059104442166178,0.0002713997472744167,0.0009992961405919944,0.18248933634532793,0.04956244475742429,0.00012882112848432622,3.498664739517496e-05
Alexandroupoli Democritus Airport,40.8559,25.956301,720,1,0,29,648,6.021571092800515e-05,999856.8601558094,0.0031675465329736043,0.0012178192511133744,0.004484020673555521,0.02076712005220855,0.005640161014179369,6.578081912121981e-05,1.7865472465876748e-05
Alghero-Fertilia Airport,40.632099,8.29077,4566,23,0,378,3639,0.02654010947625866,11144938.567021621,0.035307165380324496,0.013574463786026138,0.049981289253987454,0.8211628949574755,0.22302037715322345,0.02899293413644962,0.007874217339331205
Alicante-Elche Miguel Hernández Airport,38.2822,-0.558156,49441,2262,0,7569,25050,1.9138743992755978,254404400.9481495,0.8059531422037376,0.30986293077425353,1.1409179041060382,2.5941381425885,0.7045443364530132,2.0907537873297692,0.5678297217861533
Almería Airport,36.843899,-2.3701,4011,45,0,383,2867,0.045030499574354635,12982107.201410128,0.04112731561406729,0.01581212341477674,0.05822037073223235,1.1960955100789659,0.32484866694190095,0.04919219754758643,0.013360153652128587
Alta Airport,69.976097106934,23.371700286865,720,12,0,93,308,0.010766573871754727,2499144.1540473173,0.007917288680021901,0.003043941571428531,0.011207818338314258,1.4855610464345463,0.4034648751112006,0.011761615656417724,0.003194347888504359
