fir_code,fir_name,n_total,n_big_hit,n_warming,n_cooling,n_no_contrail,total_contrail_energy_forcing,total_fuel_burn,total_co2,total_co2_forcing_20,total_co2_forcing_100,gwp20,gwp100
BIRD,Reykjavik FIR,35778,2107,0,5022,15605,2.0702628367234547e+18,319104534.1176729,1010923164.0847878,3.886672785397588e+17,1.4310761720292375e+18,2.2371587201542726,0.6075919705873535
EBBU,Brussels FIR,190943,7574,0,25407,97331,8.571494812254539e+18,1933693888.457975,6125942238.634865,2.355226769917279e+18,8.67196467584605e+18,1.5285270476410844,0.41513405043888535
EDGG,Langen FIR,524456,27359,0,69544,284592,2.88308373590048e+19,6273286162.109851,19873770561.564007,7.640822362082909e+18,2.8133571877125358e+19,1.5847707376200646,0.4304093253309038
EDMM,Munchen FIR,257590,10545,0,30657,147011,1.0991977732841955e+19,2178756085.276814,6902299278.156947,2.6537109559032714e+18,9.770985946422088e+18,1.7396885812012675,0.472483603303526
EDWW,Bremen FIR,240101,5923,0,30006,139594,6.235724226935946e+18,964000574.5210342,3053953820.082637,1.1741465248866977e+18,4.3232173301267533e+18,2.230559917183952,0.6057997956897323
EETT,Tallinn FIR,19147,576,0,1986,11695,6.354317798351758e+17,54737974.90740562,173409904.50666103,6.6670502814584376e+16,2.4548134927545715e+17,4.002989872042674,1.0871756584297716
EFIN,Helsinki FIR,108287,5570,0,14924,50911,6.150397770965025e+18,822067747.5194105,2604310624.1414924,1.001273250745651e+18,3.6866964881011415e+18,2.579882226836299,0.7006725593339495
EGPX,Scottish FIR,175762,3457,0,19140,112764,3.3384858165399593e+18,717086112.3184003,2271728803.8246922,8.734062915278797e+17,3.2158892742449126e+18,1.6053972321334313,0.4360112937271478
EGTT,London FIR,893839,53521,0,127776,435655,5.46178401891847e+19,11070579869.023687,35071597025.06704,1.3483895368167307e+19,4.964781558153653e+19,1.701251178024785,0.46204435403173133
EHAA,Amsterdam FIR,281504,14262,0,41820,135786,1.539676961168186e+19,3643223385.137921,11541731684.116934,4.437422746527941e+18,1.6338627685960622e+19,1.4572970857839052,0.3957886403435833
EISN,Shannon FIR,145254,5134,0,19319,80301,4.90951922591119e+18,1039130069.1583389,3291964059.093618,1.2656537681149645e+18,4.660147765444221e+18,1.6291960146049989,0.4424748266938576
EKDK,Copenhagen FIR,161061,5565,0,21036,85569,5.898230137946154e+18,912087950.7320179,2889494627.9190326,1.1109172816366004e+18,4.0904067273648886e+18,2.22991999394221,0.6056259983547593
ENOB,Bodo Oceanic FIR,477,14,0,67,159,1.3792267971202452e+16,2701578.2376723574,8558599.856946029,3290504988597716.0,1.211566690362339e+16,1.760444845997232,0.47812081612879365
ENOR,Polaris FIR,225118,4086,0,24456,124887,4.5383767484958213e+18,780268484.7405199,2471890559.657967,9.50362016425023e+17,3.499240897297156e+18,2.0056759439297567,0.5447233529536498
