Flight distance band,Flight distance,Contrail warming,Contrail warming per flight distance,Number of flights,Contrail warming per flight
0-1000 km,0.16962,0.08529,0.50281,0.47803,0.17842
1000-2000 km,0.27888,0.27766,0.99561,0.31861,0.87148
2000-3000 km,0.13155,0.15952,1.21255,0.09043,1.76391
3000-4000 km,0.06106,0.07177,1.17529,0.03018,2.37794
4000-5000 km,0.03066,0.02636,0.85973,0.01117,2.36034
5000-6000 km,0.05587,0.05469,0.97886,0.01664,3.28679
6000-7000 km,0.05841,0.05784,0.99019,0.0148,3.90886
7000-8000 km,0.05452,0.05973,1.09552,0.01201,4.97516
8000-9000 km,0.05627,0.07309,1.29894,0.01092,6.69516
9000-10000 km,0.06994,0.09543,1.36451,0.01216,7.84962
10000-11000 km,0.02119,0.02632,1.24175,0.00336,7.8408
11000-12000 km,0.01037,0.01125,1.08516,0.0015,7.4853
12000-13000 km,0.00095,0.00079,0.82766,0.00013,6.1414
13000-14000 km,0.00011,0.00017,1.51507,1e-05,12.2176
14000-15000 km,0.0005,3e-05,0.05009,6e-05,0.44599
15000-16000 km,5e-05,4e-05,0.97421,0.0,9.0782
16000-17000 km,2e-05,3e-05,1.79721,0.0,18.01746
17000-18000 km,1e-05,0.0,0.25996,0.0,2.72924
