Flight duration band,Contrail warming,Number of flights,Cumulative contrail warming,cumulative_flight_number,Cumulative share of contrail warming,Cumulative share of flights
0-1 h,6.082872915075182e+18,1939811,6.082872915075182e+18,1939811,0.020554653926057903,0.264676334115751
1-2 h,5.521389148639268e+19,2805876,6.129676440146786e+19,4745687,0.20712807856576854,0.6475223813148682
2-3 h,6.483070814262892e+19,1386133,1.2612747254409678e+20,6131820,0.42619771691880515,0.8366524568927819
3-4 h,3.4679820018393264e+19,438166,1.6080729256249003e+20,6569986,0.5433843996998046,0.8964377507250996
4-5 h,1.542001688723001e+19,159911,1.7622730944972004e+20,6729897,0.5954902245421215,0.9182567100282399
5-6 h,8.097563488814322e+18,87067,1.8432487293853437e+20,6816964,0.6228527253670797,0.9301365139794785
6-7 h,9.158807589727441e+18,81523,1.934836805282618e+20,6898487,0.6538012792840364,0.9412598702168224
7-8 h,1.5190743863979571e+19,94937,2.0867442439224138e+20,6993424,0.7051323669728261,0.9542134915396971
8-9 h,1.9017051205771137e+19,96905,2.276914755980125e+20,7090329,0.7693929411597383,0.9674356354276774
9-10 h,2.2339693931327046e+19,84479,2.5003116952933958e+20,7174808,0.8448810672447805,0.978962321290251
10-11 h,2.6810435056156414e+19,90243,2.76841604585496e+20,7265051,0.9354762879373921,0.9912754726331434
11-12 h,1.3421687044946235e+19,44099,2.9026329163044222e+20,7309150,0.9808295504770411,0.9972925339129127
12-13 h,4.229696410071164e+18,14094,2.944929880405134e+20,7323244,0.9951221301733618,0.9992155811855735
13-14 h,1.1363335817156177e+18,4588,2.95629321622229e+20,7327832,0.9989619183528645,0.999841588059915
14-15 h,2.461961542962902e+17,639,2.958755177765253e+20,7328471,0.99979384050875,0.9999287760269385
15-16 h,2.7387563415065584e+16,166,2.959029053399404e+20,7328637,0.9998863859055934,0.9999514257961496
16-17 h,6688469901806945.0,311,2.959095938098422e+20,7328948,0.9999089869340954,0.9999938600023223
17-18 h,1.190902259734159e+16,19,2.959215028324395e+20,7328967,0.9999492287477093,0.9999964524457862
18-19 h,1.0177670048460712e+16,18,2.95931680502488e+20,7328985,0.9999836201427853,0.9999989084448573
19-20 h,4847398071636578.0,8,2.959365279005596e+20,7328993,1.0,1.0
