,fir_code,fir_name,n_total,n_big_hit,n_warming,n_cooling,n_no_contrail,total_contrail_energy_forcing,total_fuel_burn,total_co2,total_co2_forcing_20,total_co2_forcing_100,gwp20,gwp100
0,BIRD,Reykjavik FIR,35779,2362,12789,5022,15606,2.0702628367234547e+18,319104645.4987544,1010923516.9400539,3.8866741420120256e+17,1.4310766715358088e+18,2.237157939290812,0.6075917585119365
1,EBBU,Brussels FIR,191024,8363,59857,25413,97391,8.571509664554575e+18,1934172430.6098003,6127458260.171847,2.355809631192914e+18,8.674110775940436e+18,1.5281515159142838,0.4150320594358112
2,EDGG,Langen FIR,524513,29699,140626,69546,284642,2.883084530129579e+19,6273312599.481728,19873854315.158115,7.640854562632511e+18,2.8133690439818453e+19,1.5847644955530105,0.43040763004223803
3,EDMM,Munchen FIR,257722,11551,68383,30659,147129,1.0992097191814562e+19,2178840196.8251677,6902565743.542131,2.6538134032303923e+18,9.771363158337845e+18,1.7396403284957394,0.47247049830736565
4,EDWW,Bremen FIR,240899,6625,63950,30055,140269,6.236164971727452e+18,964400726.4213258,3055221501.30276,1.1746339073380905e+18,4.325011876391296e+18,2.2297919988203256,0.6055912360432474
5,EETT,Tallinn FIR,19161,636,4830,1987,11708,6.35430155814372e+17,54740940.47882929,173419299.4369312,6.667411486158251e+16,2.4549464886273062e+17,4.002762781269591,1.0871139826402638
6,EFIN,Helsinki FIR,108321,6023,36436,14927,50935,6.154394229003104e+18,822134032.4341654,2604520614.7514358,1.0013539853472361e+18,3.6869937535797816e+18,2.5813504654749697,0.7010713196005883
7,EGPX,Scottish FIR,175771,3936,39922,19140,112773,3.3384858165399593e+18,717090645.8068532,2271743165.916111,8.734118132877761e+17,3.2159096054110587e+18,1.6053870827194672,0.4360085372385825
8,EGTT,London FIR,896365,58422,272090,127820,438033,5.46244681026848e+19,11072480117.279858,35077617011.54259,1.3486209858371332e+19,4.965633755383587e+19,1.7011656235563168,0.46202111821586334
9,EHAA,Amsterdam FIR,281507,15467,88431,41820,135789,1.539676961168186e+19,3643224758.792878,11541736035.855839,4.4374244196308803e+18,1.6338633846339643e+19,1.4572965363192143,0.39578849111396835
10,EISN,Shannon FIR,145258,5770,39864,19319,80305,4.90951922591119e+18,1039133550.6778656,3291975088.5474787,1.265658008583447e+18,4.660163378884659e+18,1.6291905561365145,0.44247334422343965
11,EKDK,Copenhagen FIR,161061,6139,48317,21036,85569,5.898230137946154e+18,912087950.7320179,2889494627.9190326,1.1109172816366004e+18,4.0904067273648886e+18,2.22991999394221,0.6056259983547593
12,ENOB,Bodo Oceanic FIR,477,17,234,67,159,1.3792267971202452e+16,2701578.2376723574,8558599.856946029,3290504988597716.0,1.211566690362339e+16,1.760444845997232,0.47812081612879365
13,ENOR,Polaris FIR,225450,4543,71234,24456,125217,4.5383769119353897e+18,780362400.5547665,2472188084.9575005,9.504764052852003e+17,3.499662078037557e+18,2.0054346351090255,0.5446578156716558
14,EPWW,Warszawa FIR,192874,7672,63370,25914,95918,7.521939025298777e+18,924940451.834075,2930211351.41035,1.1265715456525536e+18,4.1480458584696535e+18,2.804273197576234,0.7616151070689997
15,ESAA,Sweden FIR,214902,6027,63215,26007,119653,5.882548930632336e+18,889340672.1316268,2817431249.312994,1.0832112420084093e+18,3.9883928576041856e+18,2.280876024038163,0.6194651928921828
16,EVRR,Riga FIR,40629,1118,11272,4582,23657,1.1005234455545915e+18,133639469.21402106,423369838.47001874,1.6277201747862845e+17,5.993279304652429e+17,2.839676341749691,0.7712302791797455
17,EYVL,Vilnius FIR,25086,1288,8221,3684,11893,1.2977175974150323e+18,97149432.3685633,307769401.74360853,1.183273863368169e+17,4.356824266794932e+17,4.6062150765576995,1.2510061401105572
18,GCCC,Canarias FIR,147306,11916,36127,15374,83889,1.1022593311415654e+19,981171569.1754184,3108351531.1477256,1.1950606863873902e+18,4.4002234477862067e+18,3.873852803901778,1.052103204696051
19,GMMM,Casablanca FIR,3717,0,6,1,3710,508636659273465.9,2409706.901573859,7633951.464185986,2935007570803790.0,1.0806722436432366e+16,0.0727859781419068,0.019768009972631506
20,LAAA,Tirana FIR,10137,249,2752,1407,5729,2.458698740424506e+17,34212256.676274456,108384429.15043749,4.16703094860063e+16,1.5343042823299392e+17,2.4781516713358647,0.6730434652832632
21,LBSR,Sofia FIR,40846,2055,13049,5957,19785,1.915063920186214e+18,201676640.00005776,638911595.520183,2.4564085568574163e+17,9.044516862069148e+17,3.2744017449085017,0.8892977466285589
22,LDZO,Zagreb FIR,45263,1024,11256,5452,27531,9.637003093209038e+17,181242141.94133127,574175105.6701375,2.2075176794284406e+17,8.128098568606812e+17,1.8335261080200111,0.49796902251907116
23,LECB,Barcelona FIR,397468,13248,91337,51006,241877,1.1374473683661865e+19,2141288115.968832,6783600751.38926,2.608075209286226e+18,9.602954745489033e+18,1.831725914240572,0.49748010625397343
24,LECM,Madrid FIR,377027,17041,88961,48134,222891,1.4644921604811102e+19,3525432438.53184,11168569965.26887,4.293954128068496e+18,1.581037503221873e+19,1.4324482494617246,0.3890399222969911
25,LFBB,Bordeaux FIR,86777,818,16504,8216,61239,8.201115838174282e+17,260938219.6362194,826652279.8075432,3.1782108008412166e+17,1.1702198764603643e+18,1.0837760198667465,0.2943437144865368
26,LFEE,Reims FIR,80306,1667,20350,10058,48231,1.5178016172269706e+18,288464392.88436097,913855196.6576556,3.5134778278219085e+17,1.2936654763528366e+18,1.8143751304971667,0.49276779112366226
27,LFFF,Paris FIR,387049,23586,115031,53448,194984,2.2208588658490307e+19,5764703757.232216,18262581502.91166,7.021372250652956e+18,2.5852751383157326e+19,1.3284592959301516,0.36079746787193884
28,LFMM,Marseille FIR,179161,2827,39254,19762,117318,2.7325901897487355e+18,629312942.0753468,1993663400.4946988,7.664991324005372e+17,2.8222562197174595e+18,1.497311387816079,0.4066561610091396
29,LFRR,Brest FIR,48512,405,7344,3813,36950,3.9727142973180666e+17,116538428.93813643,369193742.8760162,1.4194305996285752e+17,5.2263553459127456e+17,1.175499531509464,0.3192549863985931
30,LGGG,Athinai FIR,204360,7514,45211,21136,130499,6.525152085152539e+18,1130300210.8941727,3580791068.112739,1.376698416761303e+18,5.069015091003961e+18,1.9906784538993445,0.5406501710022082
31,LHCC,Budapest FIR,57141,3100,20643,9539,23859,2.824080912564739e+18,311297786.3732198,986191387.2303604,3.7915870979292896e+17,1.396065542333797e+18,3.1282783505750564,0.8496119611220893
32,LIBB,Brindisi FIR,31058,492,7755,4100,18711,4.705810086576691e+17,106844861.41314939,338484520.95685726,1.3013635680931107e+17,4.791631547790533e+17,1.5187456332885438,0.412477507222684
33,LIMM,Milano FIR,359615,9939,102539,47356,199781,9.717287171101379e+18,2095289391.8504949,6637876793.382368,2.5520490579536896e+18,9.396665987444548e+18,1.5992093095322617,0.434330710202512
34,LIRR,Roma FIR,317554,9237,72121,39809,196387,8.396747188630987e+18,2186365770.6413503,6926406761.391798,2.6629795039336407e+18,9.805112817830978e+18,1.3243187993056724,0.3596729466296088
35,LJLA,Ljubljana FIR,7730,187,2152,862,4529,1.8322883838493994e+17,22469907.668635383,71184667.4942369,2.7368203610004724e+16,1.0076995471466174e+17,2.811880283349788,0.7636811224097719
36,LKAA,Praha FIR,73878,2959,23456,9261,38202,2.908233836816423e+18,410192707.19294614,1299490496.3872535,4.9961208988258285e+17,1.839575895801979e+18,2.444813158444506,0.6639890282593599
37,LMMM,Malta FIR,27744,783,7210,4161,15590,6.333700289124982e+17,146386927.08146152,463753784.9940701,1.7829833950767018e+17,6.564959781035555e+17,1.4919679727685045,0.4052049380587188
38,LOVV,Wien FIR,146864,5128,44917,20479,76340,5.025710922852962e+18,893476037.6439841,2830532087.2561417,1.0882480907134872e+18,4.0069385766856433e+18,1.939629947996824,0.5267858608764102
39,LPPC,Lisboa FIR,196578,10747,57734,27234,100863,9.25255640312212e+18,1519622182.2304394,4814163073.306032,1.8508900840573914e+18,6.814992778119265e+18,2.0995702136955168,0.5702241830377597
40,LPPO,Santa Maria FIR,8942,381,2673,1376,4512,3.147946433412814e+17,53651819.29246573,169968963.51853144,6.534757223292836e+16,2.4061030780325088e+17,2.023238900629215,0.54949329232998
41,LQSB,Sarajevo FIR,3778,127,1026,571,2054,1.0403490847916146e+17,11358099.186204307,35982458.22189525,1.3834092054795998e+16,5.0937242712219576e+16,3.158476999298249,0.8578136395821381
42,LRBB,Bucarest FIR,86211,4316,25985,13471,42439,4.024346122290442e+18,391274481.7017882,1239557558.031265,4.7656981241454035e+17,1.7547340373422408e+18,3.546647998534487,0.9632373541474347
43,LSAS,Switzerland FIR,214107,7721,55871,27239,123276,7.003783028640691e+18,1833852735.7594643,5809645466.885983,2.2336208854603292e+18,8.224210791653095e+18,1.3169597809445872,0.3576743041429049
44,LUUU,Chisinau FIR,5820,395,2152,1108,2165,3.637810916243465e+17,28736597.069599986,91037539.51649275,3.5000991159268096e+16,1.2887394234374866e+17,4.365249480707005,1.185562074873834
45,LWSS,Skopje FIR,5315,301,1766,916,2332,2.6252564875607088e+17,22710812.47954217,71947853.93518959,2.766162412657986e+16,1.0185033151209322e+17,3.9860556261264852,1.0825764711866248
46,LYBA,Beograd FIR,21931,696,6645,3416,11174,6.671879265603964e+17,73128404.3515517,231670784.98571578,8.906992807814989e+16,3.2795622053879456e+17,3.146055410637613,0.8544400490254426
47,LZBB,Bratislava  FIR,12508,353,3791,1444,6920,3.3104388933942234e+17,49914436.45619214,158128934.6932167,6.079546387805302e+16,2.2384940674764294e+17,2.2869869666830493,0.6211248693605099
48,UHHH,Khabarovsk FIR,3,2,1,0,0,1423507060910344.8,39811.768879006784,126123.6838086935,48490479481408.484,178542351228617.0,12.329697952596499,3.348633875762004
49,UIII,Irkutsk FIR,1,1,0,0,0,3123178123397883.0,53693.10120383978,170099.74461376443,65397853336551.77,240795443247554.66,20.057765582558716,5.447506788899469
50,UKBV,Kiev FIR,29567,1513,12398,5294,10362,1.4132299272523023e+18,144068058.9105863,456407610.6287374,1.7547397292899226e+17,6.460966367259967e+17,3.3825903610568906,0.9186807912415872
51,UKDV,Dnipro FIR,1637,116,734,250,537,1.2092450925954763e+17,7450024.888003851,23601678.845196202,9074082592653336.0,3.341084803989513e+16,5.597072031296014,1.5201138812269854
52,UKLV,Lvov FIR,4080,105,1177,467,2331,1.0258145166866128e+17,11734255.988506058,37174122.971587196,1.4292248630537184e+16,5.262417905804486e+16,3.0145158270464814,0.8187150939364874
53,UKOV,Odessa FIR,1648,42,696,200,710,4.8340290748070056e+16,5341777.306823265,16922750.508016102,6506250543098930.0,2.39560689453015e+16,3.120525712881498,0.8475064152030433
54,ULAA,Arkhangelsk FIR,1,0,0,0,1,0.0,686.3396402910971,2174.3239804421955,835957285544.3295,3078001720832.6777,0.0,0.0
55,ULLL,Sankt-Peterburg FIR,15472,1073,5884,3268,5247,9.441011252154842e+17,85492507.97987634,270840265.2802483,1.0412932709951389e+17,3.834050537555323e+17,3.807980745055198,1.0342129523502186
56,ULMM,Murmansk FIR,31,0,7,3,21,352424174631558.56,117771.97888686419,373101.6291135858,143445515898936.7,528167589920771.1,1.0318771724418316,0.2802484593336338
57,UMKK,Kaliningrad FIR,364,3,25,19,317,1742119912214997.0,524829.6120030497,1662660.2108256614,639239105637658.4,2353683736239077.0,1.1446270365459223,0.31087029742554023
58,UMMV,Minsk FIR,7342,69,2661,1496,3116,8.731295020228302e+16,27967586.090177204,88601312.73368138,3.4064340712210428e+16,1.2542518755960326e+17,1.0765345319545234,0.2923769922012853
59,UNKL,Krasnoyarsk FIR,77,22,44,9,2,3.8711249218564856e+16,4363742.537218433,13824336.357907996,5315010458495828.0,1.956991298525661e+16,3.059020259463145,0.8308020931951041
60,UNNT,Novosibirsk FIR,871,324,271,219,57,3.9811513166744755e+17,32201379.395207077,102013969.92401603,3.922107383828693e+16,1.444123220823954e+17,4.263227365720469,1.1578537959172637
61,URRV,Rostov-Na-Donu FIR,989,17,293,177,502,1.6218675189084314e+16,5747389.732489367,18207730.672526315,7000283879420688.0,2.577510382380839e+16,0.9730810488187129,0.26427996666780956
62,USSV,Yekaterinburg FIR,1126,122,433,329,242,1.0822545396009978e+17,11634177.558210738,36857074.50441162,1.4170353743487196e+16,5.217536106388591e+16,3.207731541926625,0.8711907255914356
63,USTV,Tyumen FIR,34,9,14,4,7,8765388764942283.0,441692.3458480556,1399281.3516466403,537978447994412.44,1980841147427125.5,6.843142685362733,1.8585353429564693
64,UUWV,Moscow FIR,87902,10498,38576,17190,21638,9.223010843956377e+18,699678877.7865996,2216582684.8279476,8.522043913697221e+17,3.137823700440818e+18,4.545464202825398,1.2345067550855342
65,UWWW,Samara FIR,919,57,381,206,275,5.4810279712343784e+16,7325652.847143056,23207668.2197492,8922598243546671.0,3.2853081398832936e+16,2.580001570263907,0.7007049719239473
