Region,All hours,Winter (Oct-Mar),Night (20h-04h),Winter & Night
Amsterdam FIR,51.70914375595805,41.0088025007815,9.74837923613216,6.27023211241857
Ankara FIR,26.085223036649214,20.716605524046305,5.729848933419522,5.1167
Athinai FIR,9.918432971800433,0.5629,0.5856,0.0808
Barcelona FIR,16.055668211648893,6.128207366729172,12.9978,2.0122745520252363
Beograd FIR,8.5332,0.2575,0.04491773038476825,0.0
Bodo Oceanic FIR,1.4576,0.381,0.0,0.0
Bordeaux FIR,26.373058914947727,4.316596418496259,13.1876,1.0296
Bratislava  FIR,15.0975,3.9265,0.28399542448213894,0.0
Bremen FIR,44.8924,33.98433679710622,10.571570537261698,7.663351815980629
Brest FIR,1.2822,3.514976237937752,0.17885245335951747,0.002
Brindisi FIR,4.1488,-0.0381,0.5878,0.1144
Brussels FIR,35.0907,23.9532,8.6983,3.6538
Bucarest FIR,14.7804,9.675108251167618,-0.03491257574839413,0.007375643991321458
Budapest FIR,14.638087495429616,5.1888273354015855,0.0676939366560149,0.0005
Canarias FIR,3.6107,3.3069,1.8047,1.7825
Chisinau FIR,0.9307,0.149,0.0,0.0
Copenhagen FIR,30.913373570520964,27.461,5.8072600890207715,4.4247283245955815
Dnipro FIR,0.3008,0.0,0.0149,0.3764
Gander FIR,5.769740528114321,0.5024002134519178,3.9668301678092273,0.41875321059340037
Helsinki FIR,13.094251320422536,13.412045994464806,0.1309,0.1309
Istanbul FIR,18.6819,7.9334,3.6772,0.6971
Kiev FIR,4.569334988000505,2.34723008362216,0.14656855270810562,0.0
Langen FIR,45.8159,30.518,8.5091239027684,3.82914868332208
Lisboa FIR,14.877717301038063,10.886217301038062,0.5415,0.2677275573534301
Ljubljana FIR,4.157267006191332,0.9931446426911997,0.0,0.0
London FIR,2.9527635808748727,7.807203099455041,0.14065367553317354,0.0004
Lvov FIR,-0.031924409709299925,-0.2671,0.0,0.0
Madrid FIR,17.4519,9.624292357460574,6.934969951480675,1.4159593235489172
Malta FIR,21.0442,19.3475,0.1302,0.1162
Marseille FIR,9.449825983313469,4.095499287894201,2.989427369915973,0.013915994764617539
Milano FIR,14.999991798484647,4.9856,2.731441223742434,0.007359370655882725
Munchen FIR,41.95815,27.883699999999997,3.5573990754222478,0.9898221253612546
New York Oceanic FIR,0.8265549863189149,0.12724278454896268,0.9710200108144799,0.09501359279758986
Nicosia FIR,26.231060757409438,8.596344709643047,0.9581,0.0
Odessa FIR,3.828,2.7035,0.5070989318347561,0.2863451138236472
Paris FIR,31.2825,19.1548,7.755724941905499,1.9350249419054997
Polaris FIR,12.312412828749247,12.304907492068072,0.1487390726776833,0.1487390726776833
Praha FIR,19.302644809322032,9.897497446406053,0.726269908263714,0.03585486099393105
Reims FIR,14.777051696804557,5.230531284586438,4.219503404255319,1.2502406546201614
Reykjavik FIR,0.6886260935437093,0.4416,0.1551,0.1551
Riga FIR,6.252919590493601,4.7637,0.05249859640914674,0.12
Roma FIR,10.922344359921755,2.047244359921756,4.4531,0.49180292902387834
Santa Maria FIR,-0.0717473802998549,0.0018619729847702989,0.044586291997294136,0.0043
Sarajevo FIR,1.1564,-0.028868697070885335,0.0,0.0007
Scottish FIR,-2.964569616652862,0.025904656750530174,0.1982,0.1982
Shannon FIR,2.120009694999522,0.1766,0.0,0.1608
Shanwick FIR,0.2997183485200068,-0.003023948299714212,0.190343446147801,0.0343
Simferopol FIR,0.6489,0.11298969724970373,0.17735615110610692,0.2984
Skopje FIR,8.8555,0.2439,3.2701,0.0549
Sofia FIR,14.128796265560167,9.902049514884235,0.0242,0.0
Sweden FIR,43.92774494638777,41.08072820300191,1.933805267347751,1.71628442059805
Switzerland FIR,30.942443628246753,13.0509,9.408423885557402,0.9598315785863712
Tallinn FIR,10.5849,9.0607,0.018,0.018
Tibilisi FIR,2.452966090519474,2.414426793800539,2.410666090519474,2.372126793800539
Tirana FIR,2.3629,-0.0088,0.0191,0.0
Vilnius FIR,2.7599081562665724,2.3108855460441666,0.0196,0.0196
Warszawa FIR,11.783377772545327,7.343186175063953,0.0011,0.0
Wien FIR,24.1865,10.9177,0.6784730538616264,0.0233
Yerevan FIR,1.925,1.7995,2.019,1.8884
Zagreb FIR,7.1241985041136875,0.12436480307158781,0.5823569001333887,0.248
