Region,Subset,Share below 50% capacity (%),Share below avg capacity (%)
Amsterdam FIR,All hours,69.56655362588097,71.75058999537187
Amsterdam FIR,Night (20h–04h),14.695523073176012,28.077665256919175
Amsterdam FIR,Winter & Night,9.640674021357201,19.6492743335091
Amsterdam FIR,Winter (Oct–Mar),56.12364455316623,60.911927460523486
Ankara FIR,All hours,54.81268635433828,49.545291401564796
Ankara FIR,Night (20h–04h),14.230625372274538,17.217376338723774
Ankara FIR,Winter & Night,11.169199733899486,17.746561513689457
Ankara FIR,Winter (Oct–Mar),45.688249088754404,50.76966857491469
Athinai FIR,All hours,21.40310543725689,51.731282375307536
Athinai FIR,Night (20h–04h),2.474487701509272,15.455437628851739
Athinai FIR,Winter & Night,1.5600110846707587,10.05441421349506
Athinai FIR,Winter (Oct–Mar),5.9782188051603296,52.552247298024156
Barcelona FIR,All hours,39.0241407335011,57.38218612716763
Barcelona FIR,Night (20h–04h),25.469522474768944,62.50663879471622
Barcelona FIR,Winter & Night,8.245971210796942,29.65840909385603
Barcelona FIR,Winter (Oct–Mar),16.394268410697567,43.63017195791996
Beograd FIR,All hours,19.4795372399225,55.805982182826895
Beograd FIR,Night (20h–04h),1.3878872075451045,19.668153315742142
Beograd FIR,Winter & Night,0.8196638353252721,11.401147041824679
Beograd FIR,Winter (Oct–Mar),2.959674485923135,46.69965014403576
Bodo Oceanic FIR,All hours,3.4214854563787886,66.31065061022188
Bodo Oceanic FIR,Night (20h–04h),0.0,20.754322704423686
Bodo Oceanic FIR,Winter & Night,0.0,13.765061480859595
Bodo Oceanic FIR,Winter (Oct–Mar),5.5580359130850905,55.45085759605819
Bordeaux FIR,All hours,43.34548285980156,70.618472535239
Bordeaux FIR,Night (20h–04h),18.6193170189884,37.834646901353096
Bordeaux FIR,Winter & Night,3.3999882182099355,17.248054245116787
Bordeaux FIR,Winter (Oct–Mar),14.40866862239903,48.18675627048953
Bratislava  FIR,All hours,33.719236452722846,56.34255146758684
Bratislava  FIR,Night (20h–04h),2.6692575783543955,28.546809927870783
Bratislava  FIR,Winter & Night,0.9386702666710522,15.328609996438178
Bratislava  FIR,Winter (Oct–Mar),13.886886566719784,31.35788390150575
Bremen FIR,All hours,71.18824204910823,77.49482800691618
Bremen FIR,Night (20h–04h),17.142207437659184,28.44438945543153
Bremen FIR,Winter & Night,12.575040630437842,21.02048738987528
Bremen FIR,Winter (Oct–Mar),57.78138015817289,64.22978725180307
Brest FIR,All hours,18.761545711276042,64.52276110412073
Brest FIR,Night (20h–04h),4.823109113744744,39.88041497816495
Brest FIR,Winter & Night,2.7654432430489573,19.80674265892522
Brest FIR,Winter (Oct–Mar),14.263916966479092,51.936842214801935
Brindisi FIR,All hours,6.024391084449415,41.42885648689205
Brindisi FIR,Night (20h–04h),3.210725391284736,28.40670942487444
Brindisi FIR,Winter & Night,0.2183289586645838,18.99775695975017
Brindisi FIR,Winter (Oct–Mar),0.6909418926255966,49.92320828484395
Brussels FIR,All hours,61.07633256856883,67.40913677456227
Brussels FIR,Night (20h–04h),15.396683574737121,32.501867965052156
Brussels FIR,Winter & Night,7.1575387970773665,17.402547323325468
Brussels FIR,Winter (Oct–Mar),43.956168316010555,54.11365896733116
Bucarest FIR,All hours,39.664174360170236,53.84169863600561
