Region,Share of year to reach 80% warming (%)
Amsterdam FIR,6.7369
Ankara FIR,5.6141
Athinai FIR,4.4913
Barcelona FIR,2.2456
Beograd FIR,6.7369
Bodo Oceanic FIR,4.6401
Bordeaux FIR,5.6726
Bratislava  FIR,8.9825
Bremen FIR,8.9825
Brest FIR,7.9435
Brindisi FIR,3.404
Brussels FIR,7.8597
Bucarest FIR,10.1053
Budapest FIR,8.9825
Canarias FIR,4.4913
Chisinau FIR,5.6798
Copenhagen FIR,7.8597
Dnipro FIR,7.9526
Helsinki FIR,10.1053
Istanbul FIR,5.6141
Kiev FIR,11.2282
Langen FIR,8.9825
Lisboa FIR,5.6733
Ljubljana FIR,4.5391
London FIR,8.9825
Lvov FIR,7.9532
Madrid FIR,5.6141
Malta FIR,2.2693
Marseille FIR,4.5381
Milano FIR,5.6141
Munchen FIR,8.9825
Nicosia FIR,2.2456
Odessa FIR,5.6141
Paris FIR,7.8597
Polaris FIR,10.2246
Praha FIR,8.9825
Reims FIR,5.6739
Reykjavik FIR,13.6274
Riga FIR,10.1053
Roma FIR,3.4036
Santa Maria FIR,21.3451
Sarajevo FIR,4.5381
Scottish FIR,6.8071
Shannon FIR,7.9532
Shanwick FIR,21.3451
Simferopol FIR,5.6759
Skopje FIR,3.404
Sofia FIR,6.7369
Sweden FIR,10.2223
Switzerland FIR,5.6726
Tallinn FIR,10.2223
Tibilisi FIR,4.4913
Tirana FIR,3.4044
Vilnius FIR,10.2223
Warszawa FIR,12.351
Wien FIR,7.8597
Yerevan FIR,3.4036
Zagreb FIR,6.8071
