date,region,contrail_ef_overlap_initial_loc
2019-01-01,European Airspace,0.0008652
2019-01-01,Global,0.0062495
2019-01-01,London FIR,1.06e-05
2019-01-01,Paris FIR,8e-07
2019-01-01,Shanwick FIR,0.0001257
2019-01-01,Switzerland FIR,1.2e-06
2019-01-02,European Airspace,0.0017909
2019-01-02,Global,0.0091266
2019-01-02,London FIR,2.84e-05
2019-01-02,Paris FIR,0.0
2019-01-02,Shanwick FIR,0.0009773
2019-01-02,Switzerland FIR,0.0
2019-01-03,European Airspace,0.0036459
2019-01-03,Global,0.0100973
2019-01-03,London FIR,4.9e-06
2019-01-03,Paris FIR,2.44e-05
2019-01-03,Shanwick FIR,0.0019502
2019-01-03,Switzerland FIR,3.5e-06
2019-01-04,European Airspace,0.0053973
2019-01-04,Global,0.0106099
2019-01-04,London FIR,0.0003591
2019-01-04,Paris FIR,0.0003337
2019-01-04,Shanwick FIR,0.0015488
2019-01-04,Switzerland FIR,1.47e-05
2019-01-05,European Airspace,0.0022499
2019-01-05,Global,0.007224
2019-01-05,London FIR,3.72e-05
2019-01-05,Paris FIR,3.11e-05
2019-01-05,Shanwick FIR,0.0008758
2019-01-05,Switzerland FIR,3.3e-06
2019-01-06,European Airspace,0.0043197
2019-01-06,Global,0.0096347
2019-01-06,London FIR,0.0002175
2019-01-06,Paris FIR,8.16e-05
2019-01-06,Shanwick FIR,0.0026373
2019-01-06,Switzerland FIR,0.0
2019-01-07,European Airspace,0.0075949
2019-01-07,Global,0.0166616
2019-01-07,London FIR,0.001042
2019-01-07,Paris FIR,0.0002437
2019-01-07,Shanwick FIR,0.0016514
2019-01-07,Switzerland FIR,1.14e-05
2019-01-08,European Airspace,0.0036788
2019-01-08,Global,0.0148504
2019-01-08,London FIR,0.0002943
2019-01-08,Paris FIR,0.0002907
2019-01-08,Shanwick FIR,0.0007669
2019-01-08,Switzerland FIR,1.79e-05
2019-01-09,European Airspace,0.0016194
2019-01-09,Global,0.0122128
2019-01-09,London FIR,8.31e-05
2019-01-09,Paris FIR,1.73e-05
2019-01-09,Shanwick FIR,9.61e-05
2019-01-09,Switzerland FIR,7e-07
2019-01-10,European Airspace,0.0027537
2019-01-10,Global,0.0108169
2019-01-10,London FIR,7.04e-05
2019-01-10,Paris FIR,1.6e-06
2019-01-10,Shanwick FIR,0.00098
2019-01-10,Switzerland FIR,1e-07
2019-01-11,European Airspace,0.0044304
2019-01-11,Global,0.0168515
2019-01-11,London FIR,5.9e-05
2019-01-11,Paris FIR,1.59e-05
2019-01-11,Shanwick FIR,0.0010346
2019-01-11,Switzerland FIR,-0.0
2019-01-12,European Airspace,0.0090496
2019-01-12,Global,0.0224905
2019-01-12,London FIR,0.0012166
2019-01-12,Paris FIR,0.000751
2019-01-12,Shanwick FIR,0.00281
2019-01-12,Switzerland FIR,1.42e-05
2019-01-13,European Airspace,0.0047383
2019-01-13,Global,0.0145463
2019-01-13,London FIR,0.000585
2019-01-13,Paris FIR,0.0007442
2019-01-13,Shanwick FIR,0.0007532
2019-01-13,Switzerland FIR,4.55e-05
2019-01-14,European Airspace,0.0018068
2019-01-14,Global,0.01132
2019-01-14,London FIR,7.17e-05
2019-01-14,Paris FIR,6.1e-06
2019-01-14,Shanwick FIR,0.0010668
2019-01-14,Switzerland FIR,0.0
2019-01-15,European Airspace,0.0037241
2019-01-15,Global,0.0124655
2019-01-15,London FIR,0.0006472
2019-01-15,Paris FIR,0.0001864
2019-01-15,Shanwick FIR,0.000496
2019-01-15,Switzerland FIR,7.7e-06
2019-01-16,European Airspace,0.0060721
2019-01-16,Global,0.0148536
2019-01-16,London FIR,0.0001295
2019-01-16,Paris FIR,0.0007447
2019-01-16,Shanwick FIR,0.000108
2019-01-16,Switzerland FIR,0.0001938
2019-01-17,European Airspace,0.0018188
2019-01-17,Global,0.0104983
2019-01-17,London FIR,0.0002091
2019-01-17,Paris FIR,1.15e-05
2019-01-17,Shanwick FIR,0.000472
2019-01-17,Switzerland FIR,8e-07
2019-01-18,European Airspace,0.0031731
2019-01-18,Global,0.0113655
2019-01-18,London FIR,7.77e-05
2019-01-18,Paris FIR,6.1e-06
2019-01-18,Shanwick FIR,6.67e-05
2019-01-18,Switzerland FIR,2.49e-05
2019-01-19,European Airspace,0.0038366
2019-01-19,Global,0.0128864
2019-01-19,London FIR,2.44e-05
2019-01-19,Paris FIR,2.2e-06
2019-01-19,Shanwick FIR,0.0001183
2019-01-19,Switzerland FIR,1.8e-06
2019-01-20,European Airspace,0.0024645
2019-01-20,Global,0.0112377
2019-01-20,London FIR,1.8e-06
2019-01-20,Paris FIR,7e-07
2019-01-20,Shanwick FIR,0.0008916
2019-01-20,Switzerland FIR,-7e-07
2019-01-21,European Airspace,0.0034816
2019-01-21,Global,0.0121803
2019-01-21,London FIR,0.0005195
2019-01-21,Paris FIR,9.07e-05
2019-01-21,Shanwick FIR,0.0013141
2019-01-21,Switzerland FIR,0.0
2019-01-22,European Airspace,0.0055574
2019-01-22,Global,0.0140424
2019-01-22,London FIR,1.94e-05
2019-01-22,Paris FIR,-1.13e-05
2019-01-22,Shanwick FIR,0.0019042
2019-01-22,Switzerland FIR,3.3e-06
2019-01-23,European Airspace,0.0058486
2019-01-23,Global,0.0148558
2019-01-23,London FIR,0.0001139
2019-01-23,Paris FIR,3e-07
2019-01-23,Shanwick FIR,0.0021465
2019-01-23,Switzerland FIR,-1.4e-06
2019-01-24,European Airspace,0.0061407
2019-01-24,Global,0.0152847
2019-01-24,London FIR,0.0001255
2019-01-24,Paris FIR,6.7e-06
2019-01-24,Shanwick FIR,0.001016
2019-01-24,Switzerland FIR,0.0
2019-01-25,European Airspace,0.0049234
2019-01-25,Global,0.0134677
2019-01-25,London FIR,0.0005097
2019-01-25,Paris FIR,0.0001381
2019-01-25,Shanwick FIR,0.0009036
