filename,date,availability
20190101.pq,2019-01-01,True
20190102.pq,2019-01-02,True
20190103.pq,2019-01-03,True
20190104.pq,2019-01-04,True
20190105.pq,2019-01-05,True
20190106.pq,2019-01-06,True
20190107.pq,2019-01-07,True
20190108.pq,2019-01-08,True
20190109.pq,2019-01-09,True
20190110.pq,2019-01-10,True
20190111.pq,2019-01-11,True
20190112.pq,2019-01-12,True
20190113.pq,2019-01-13,True
20190114.pq,2019-01-14,True
20190115.pq,2019-01-15,True
20190116.pq,2019-01-16,True
20190117.pq,2019-01-17,True
20190118.pq,2019-01-18,True
20190119.pq,2019-01-19,True
20190120.pq,2019-01-20,True
20190121.pq,2019-01-21,True
20190122.pq,2019-01-22,True
20190123.pq,2019-01-23,True
20190124.pq,2019-01-24,True
20190125.pq,2019-01-25,True
20190126.pq,2019-01-26,True
20190127.pq,2019-01-27,True
20190128.pq,2019-01-28,True
20190129.pq,2019-01-29,True
20190130.pq,2019-01-30,True
20190131.pq,2019-01-31,True
20190201.pq,2019-02-01,True
20190202.pq,2019-02-02,True
20190203.pq,2019-02-03,True
20190204.pq,2019-02-04,True
20190205.pq,2019-02-05,True
20190206.pq,2019-02-06,True
20190207.pq,2019-02-07,True
20190208.pq,2019-02-08,True
20190209.pq,2019-02-09,True
20190210.pq,2019-02-10,True
20190211.pq,2019-02-11,True
20190212.pq,2019-02-12,True
20190213.pq,2019-02-13,True
20190214.pq,2019-02-14,True
20190215.pq,2019-02-15,True
20190216.pq,2019-02-16,True
20190217.pq,2019-02-17,True
20190218.pq,2019-02-18,True
20190219.pq,2019-02-19,True
20190220.pq,2019-02-20,True
20190221.pq,2019-02-21,True
20190222.pq,2019-02-22,True
20190223.pq,2019-02-23,True
20190224.pq,2019-02-24,True
20190225.pq,2019-02-25,True
20190226.pq,2019-02-26,True
20190227.pq,2019-02-27,True
20190228.pq,2019-02-28,True
20190301.pq,2019-03-01,True
20190302.pq,2019-03-02,True
20190303.pq,2019-03-03,True
20190304.pq,2019-03-04,True
20190305.pq,2019-03-05,True
20190306.pq,2019-03-06,True
20190307.pq,2019-03-07,True
20190308.pq,2019-03-08,True
20190309.pq,2019-03-09,True
20190310.pq,2019-03-10,True
20190311.pq,2019-03-11,True
20190312.pq,2019-03-12,True
20190313.pq,2019-03-13,True
20190314.pq,2019-03-14,True
20190315.pq,2019-03-15,True
20190316.pq,2019-03-16,True
20190317.pq,2019-03-17,True
20190318.pq,2019-03-18,True
20190319.pq,2019-03-19,True
20190320.pq,2019-03-20,True
20190321.pq,2019-03-21,True
20190322.pq,2019-03-22,True
20190323.pq,2019-03-23,True
20190324.pq,2019-03-24,True
20190325.pq,2019-03-25,True
20190326.pq,2019-03-26,True
20190327.pq,2019-03-27,True
20190328.pq,2019-03-28,True
20190329.pq,2019-03-29,True
20190330.pq,2019-03-30,True
20190331.pq,2019-03-31,True
20190401.pq,2019-04-01,True
20190402.pq,2019-04-02,True
20190403.pq,2019-04-03,True
20190404.pq,2019-04-04,True
20190405.pq,2019-04-05,True
20190406.pq,2019-04-06,True
20190407.pq,2019-04-07,True
20190408.pq,2019-04-08,True
20190409.pq,2019-04-09,True
20190410.pq,2019-04-10,True
20190411.pq,2019-04-11,True
20190412.pq,2019-04-12,True
20190413.pq,2019-04-13,True
20190414.pq,2019-04-14,True
20190415.pq,2019-04-15,True
20190416.pq,2019-04-16,True
20190417.pq,2019-04-17,True
20190418.pq,2019-04-18,True
20190419.pq,2019-04-19,True
20190420.pq,2019-04-20,True
20190421.pq,2019-04-21,True
20190422.pq,2019-04-22,True
20190423.pq,2019-04-23,True
20190424.pq,2019-04-24,True
20190425.pq,2019-04-25,True
20190426.pq,2019-04-26,True
20190427.pq,2019-04-27,True
20190428.pq,2019-04-28,True
20190429.pq,2019-04-29,True
20190430.pq,2019-04-30,True
20190501.pq,2019-05-01,True
20190502.pq,2019-05-02,True
20190503.pq,2019-05-03,True
20190504.pq,2019-05-04,True
20190505.pq,2019-05-05,True
20190506.pq,2019-05-06,True
20190507.pq,2019-05-07,True
20190508.pq,2019-05-08,True
20190509.pq,2019-05-09,True
20190510.pq,2019-05-10,True
20190511.pq,2019-05-11,True
20190512.pq,2019-05-12,True
20190513.pq,2019-05-13,True
20190514.pq,2019-05-14,True
20190515.pq,2019-05-15,True
20190516.pq,2019-05-16,True
20190517.pq,2019-05-17,True
20190518.pq,2019-05-18,True
20190519.pq,2019-05-19,True
20190520.pq,2019-05-20,True
20190521.pq,2019-05-21,True
20190522.pq,2019-05-22,True
20190523.pq,2019-05-23,True
20190524.pq,2019-05-24,True
20190525.pq,2019-05-25,True
20190526.pq,2019-05-26,True
20190527.pq,2019-05-27,True
20190528.pq,2019-05-28,True
20190529.pq,2019-05-29,True
20190530.pq,2019-05-30,True
20190531.pq,2019-05-31,True
20190601.pq,2019-06-01,True
20190602.pq,2019-06-02,True
20190603.pq,2019-06-03,True
20190604.pq,2019-06-04,True
20190605.pq,2019-06-05,True
20190606.pq,2019-06-06,True
20190607.pq,2019-06-07,True
20190608.pq,2019-06-08,True
20190609.pq,2019-06-09,True
20190610.pq,2019-06-10,True
20190611.pq,2019-06-11,True
