date,filename_pattern,availability_share
2019-01-01,20190101-*-*-contrail.nc,1.0
2019-01-02,20190102-*-*-contrail.nc,1.0
2019-01-03,20190103-*-*-contrail.nc,1.0
2019-01-04,20190104-*-*-contrail.nc,1.0
2019-01-05,20190105-*-*-contrail.nc,1.0
2019-01-06,20190106-*-*-contrail.nc,1.0
2019-01-07,20190107-*-*-contrail.nc,1.0
2019-01-08,20190108-*-*-contrail.nc,1.0
2019-01-09,20190109-*-*-contrail.nc,1.0
2019-01-10,20190110-*-*-contrail.nc,1.0
2019-01-11,20190111-*-*-contrail.nc,1.0
2019-01-12,20190112-*-*-contrail.nc,1.0
2019-01-13,20190113-*-*-contrail.nc,1.0
2019-01-14,20190114-*-*-contrail.nc,1.0
2019-01-15,20190115-*-*-contrail.nc,1.0
2019-01-16,20190116-*-*-contrail.nc,1.0
2019-01-17,20190117-*-*-contrail.nc,1.0
2019-01-18,20190118-*-*-contrail.nc,1.0
2019-01-19,20190119-*-*-contrail.nc,1.0
2019-01-20,20190120-*-*-contrail.nc,1.0
2019-01-21,20190121-*-*-contrail.nc,1.0
2019-01-22,20190122-*-*-contrail.nc,1.0
2019-01-23,20190123-*-*-contrail.nc,1.0
2019-01-24,20190124-*-*-contrail.nc,1.0
2019-01-25,20190125-*-*-contrail.nc,1.0
2019-01-26,20190126-*-*-contrail.nc,1.0
2019-01-27,20190127-*-*-contrail.nc,1.0
2019-01-28,20190128-*-*-contrail.nc,1.0
2019-01-29,20190129-*-*-contrail.nc,1.0
2019-01-30,20190130-*-*-contrail.nc,1.0
2019-01-31,20190131-*-*-contrail.nc,1.0
2019-02-01,20190201-*-*-contrail.nc,1.0
2019-02-02,20190202-*-*-contrail.nc,1.0
2019-02-03,20190203-*-*-contrail.nc,1.0
2019-02-04,20190204-*-*-contrail.nc,1.0
2019-02-05,20190205-*-*-contrail.nc,1.0
2019-02-06,20190206-*-*-contrail.nc,1.0
2019-02-07,20190207-*-*-contrail.nc,1.0
2019-02-08,20190208-*-*-contrail.nc,1.0
2019-02-09,20190209-*-*-contrail.nc,1.0
2019-02-10,20190210-*-*-contrail.nc,1.0
2019-02-11,20190211-*-*-contrail.nc,1.0
2019-02-12,20190212-*-*-contrail.nc,1.0
2019-02-13,20190213-*-*-contrail.nc,1.0
2019-02-14,20190214-*-*-contrail.nc,1.0
2019-02-15,20190215-*-*-contrail.nc,1.0
2019-02-16,20190216-*-*-contrail.nc,1.0
2019-02-17,20190217-*-*-contrail.nc,1.0
2019-02-18,20190218-*-*-contrail.nc,1.0
2019-02-19,20190219-*-*-contrail.nc,1.0
2019-02-20,20190220-*-*-contrail.nc,1.0
2019-02-21,20190221-*-*-contrail.nc,1.0
2019-02-22,20190222-*-*-contrail.nc,1.0
2019-02-23,20190223-*-*-contrail.nc,1.0
2019-02-24,20190224-*-*-contrail.nc,1.0
2019-02-25,20190225-*-*-contrail.nc,1.0
2019-02-26,20190226-*-*-contrail.nc,1.0
2019-02-27,20190227-*-*-contrail.nc,1.0
2019-02-28,20190228-*-*-contrail.nc,1.0
2019-03-01,20190301-*-*-contrail.nc,1.0
2019-03-02,20190302-*-*-contrail.nc,1.0
2019-03-03,20190303-*-*-contrail.nc,1.0
2019-03-04,20190304-*-*-contrail.nc,1.0
2019-03-05,20190305-*-*-contrail.nc,1.0
2019-03-06,20190306-*-*-contrail.nc,1.0
2019-03-07,20190307-*-*-contrail.nc,1.0
2019-03-08,20190308-*-*-contrail.nc,1.0
2019-03-09,20190309-*-*-contrail.nc,1.0
2019-03-10,20190310-*-*-contrail.nc,1.0
2019-03-11,20190311-*-*-contrail.nc,1.0
2019-03-12,20190312-*-*-contrail.nc,1.0
2019-03-13,20190313-*-*-contrail.nc,1.0
2019-03-14,20190314-*-*-contrail.nc,1.0
2019-03-15,20190315-*-*-contrail.nc,1.0
2019-03-16,20190316-*-*-contrail.nc,1.0
2019-03-17,20190317-*-*-contrail.nc,1.0
2019-03-18,20190318-*-*-contrail.nc,1.0
2019-03-19,20190319-*-*-contrail.nc,1.0
2019-03-20,20190320-*-*-contrail.nc,1.0
2019-03-21,20190321-*-*-contrail.nc,1.0
2019-03-22,20190322-*-*-contrail.nc,1.0
2019-03-23,20190323-*-*-contrail.nc,1.0
2019-03-24,20190324-*-*-contrail.nc,1.0
2019-03-25,20190325-*-*-contrail.nc,1.0
2019-03-26,20190326-*-*-contrail.nc,1.0
2019-03-27,20190327-*-*-contrail.nc,1.0
2019-03-28,20190328-*-*-contrail.nc,1.0
2019-03-29,20190329-*-*-contrail.nc,1.0
2019-03-30,20190330-*-*-contrail.nc,1.0
2019-03-31,20190331-*-*-contrail.nc,1.0
2019-04-01,20190401-*-*-contrail.nc,1.0
