region,hour,total_flight_dist,contrail_ef_initial_loc,contrail_ef_overlap_initial_loc,new_contrail_length,total_contrail_length,tau_contrail_area,mean_contrail_age,contrail_ef,contrail_ef_sw,contrail_ef_lw,contrail_ef_overlap,contrail_ef_sw_overlap,contrail_ef_lw_overlap,Eurocontrol FIR,type
Accra FIR,100718,864184200000.0,8.1272145e+18,6.176444435349252e+17,35924374000.0,125323760000.0,122563430000000.0,1306326.5122178968,8.506582e+18,-1.1862061e+19,2.037289e+19,6.519271182816306e+17,-1.1539323e+19,1.9683314e+19,False,FIR
Addis Abeba FIR,99360,61584630000.0,6.4274076e+17,6.392075028633487e+17,2017879200.0,5317766700.0,5023205000000.0,698233.5227283738,6.218175e+17,-3.195481e+17,9.4366094e+17,6.18125909342925e+17,-3.1821014e+17,9.38613e+17,False,FIR
Africa & Middle East,100740,5389033700000.0,3.9200805e+19,3.0927128440218485e+19,171758520000.0,530440950000.0,459137640000000.0,49864612.41855137,3.8289965e+19,-4.972517e+19,8.807131e+19,2.981622095405885e+19,-4.784883e+19,8.5210805e+19,,RECT
Aktobe FIR,99360,99778100000.0,6.062101e+18,5.966973242047445e+18,13049672000.0,75230610000.0,67053986000000.0,16162840.956104634,7.0808527e+18,-5.737653e+18,1.279209e+19,6.931107334257483e+18,-5.4812403e+18,1.2387696e+19,False,FIR
Alaska FIR,99360,396543330000.0,1.0251621e+19,1.0083626896815458e+19,38750840000.0,139808570000.0,141521320000000.0,24274163.045530785,9.751237e+18,-1.1272007e+19,2.104079e+19,9.595642839598903e+18,-1.1069801e+19,2.0682904e+19,False,FIR
Albuquerque FIR,99360,853909900000.0,4.2906058e+18,3.825943352585798e+18,34012980000.0,70680870000.0,58293775000000.0,4949677.868268083,3.2648362e+18,-7.3857956e+18,1.0669938e+19,2.9798542758275297e+18,-7.0331927e+18,1.0030805e+19,False,FIR
Alger FIR,99360,158845490000.0,1.0521671e+18,1.0391321035012461e+18,4736383500.0,14266833000.0,10955908000000.0,1906900.453998015,1.1254504e+18,-1.1986087e+18,2.3247574e+18,1.1083937194160952e+18,-1.1599176e+18,2.269152e+18,False,FIR
Almaty FIR,99360,52085023000.0,2.0611163e+18,2.0391549432765048e+18,6300247600.0,31087610000.0,29366981000000.0,6539108.434515851,2.6963128e+18,-2.4643788e+18,5.156656e+18,2.665393535077784e+18,-2.4077697e+18,5.069219e+18,False,FIR
Amazonica FIR,99360,187020750000.0,4.007655e+18,3.983569097631363e+18,11577765000.0,42929332000.0,45651606000000.0,7274498.533945672,3.9189596e+18,-2.7446218e+18,6.673193e+18,3.895381661380337e+18,-2.7374516e+18,6.642363e+18,False,FIR
Amman FIR,99360,20096776000.0,3.1215167e+16,3.073246256290099e+16,105928590.0,378639230.0,397382320000.0,44624.90309178131,3.231869e+16,-2.556853e+16,5.8028706e+16,3.1887823011036696e+16,-2.525236e+16,5.728381e+16,False,FIR
Amsterdam FIR,99360,247273950000.0,6.621265e+18,5.54286650495523e+18,18074038000.0,58167220000.0,58589016000000.0,5741238.325715402,3.5295115e+18,-6.3233634e+18,9.901987e+18,3.0928286689952957e+18,-5.276075e+18,8.4106433e+18,True,FIR
Ankara FIR,99360,706591060000.0,7.414583e+18,7.166968206965676e+18,30852220000.0,102998204000.0,93783530000000.0,10778796.673679668,6.76609e+18,-1.1087148e+19,1.7865994e+19,6.471744867144648e+18,-9.920523e+18,1.6405764e+19,True,FIR
Antananarivo FIR,98566,24989207000.0,1.0780617e+17,1.0680698193688194e+17,770406140.0,3221174500.0,2843398600000.0,581574.69440944,1.1836004e+17,-3.2195704e+17,4.4044154e+17,1.173278789923115e+17,-3.215455e+17,4.389947e+17,False,FIR
Antofagasta FIR,99360,81570914000.0,2.870002e+17,2.8493044463155075e+17,1491541800.0,3676010200.0,2717493200000.0,451648.4591473658,3.3566626e+17,-3.1772636e+17,6.535544e+17,3.333372177320025e+17,-3.165698e+17,6.5006185e+17,False,FIR
Arctic,99359,358984450000.0,9.261509e+18,9.17811616821986e+18,25542576000.0,132937940000.0,123296410000000.0,37954779.910038754,1.1410625e+19,-6.791839e+18,1.8184893e+19,1.1286592569097622e+19,-6.736967e+18,1.8006558e+19,,RECT
Arkhangelsk FIR,99127,30833340000.0,1.473244e+18,1.4546495600507172e+18,2867961000.0,20377696000.0,19885418000000.0,6168076.440679072,2.0803759e+18,-6.581897e+17,2.7354753e+18,2.0337830924095462e+18,-6.4236644e+17,2.673418e+18,False,FIR
Ashgabat FIR,99138,19898749000.0,2.2562865e+17,2.2444365085428662e+17,785611500.0,2534349600.0,2070428900000.0,373789.1332803951,1.9276736e+17,-1.7957418e+17,3.7286044e+17,1.9258973985254864e+17,-1.752599e+17,3.683703e+17,False,FIR
Asmara FIR,85648,7551281000.0,2.9778415e+16,2.9634726883914076e+16,108000950.0,235183300.0,195106030000.0,28914.244746785713,2.7545674e+16,-2.3205659e+16,5.087061e+16,2.741437339340562e+16,-2.3083025e+16,5.0615532e+16,False,FIR
Asuncion FIR/UIR,99241,13054360000.0,8.872831e+16,8.827462489713651e+16,320298200.0,1389461600.0,1181174200000.0,227309.48037823633,1.035612e+17,-1.0162101e+17,2.0492878e+17,1.0305726144572733e+17,-1.0137845e+17,2.0418122e+17,False,FIR
Athinai FIR,99360,438136600000.0,3.8250292e+18,3.547718785874367e+18,14159776000.0,35036586000.0,28729187000000.0,3034346.009997979,2.1904549e+18,-3.5720722e+18,5.779751e+18,2.0769781390501906e+18,-3.3365354e+18,5.4298255e+18,True,FIR
Atlanta FIR,99360,830204300000.0,5.4785124e+18,4.830253993684495e+18,32828428000.0,82677785000.0,65505084000000.0,6506028.6082104,4.017253e+18,-6.414176e+18,1.0452811e+19,3.577862767914726e+18,-6.0658176e+18,9.663781e+18,False,FIR
Atlantico FIR,99257,78694850000.0,1.3913271e+18,1.3818456233121413e+18,3220316700.0,17529000000.0,15694131000000.0,3706787.508667696,1.7980927e+18,-1.1580568e+18,2.9525345e+18,1.7846892990141076e+18,-1.1516304e+18,2.932755e+18,False,FIR
Auckland Oceanic FIR,99360,98650735000.0,1.5791829e+18,1.56214835478825e+18,5372514000.0,22150347000.0,22013650000000.0,4293704.611132726,1.7891327e+18,-1.9837427e+18,3.7754832e+18,1.7660890235551355e+18,-1.9644965e+18,3.7332037e+18,False,FIR
Baghdad FIR,99360,222436560000.0,5.505903e+17,5.414839643467455e+17,3637588700.0,5770416000.0,4660704300000.0,467116.00749695185,3.4456808e+17,-3.726529e+17,7.211763e+17,3.40876049896132e+17,-3.6275005e+17,7.07528e+17,False,FIR
Bahrain FIR,99360,195113650000.0,2.1461197e+17,2.0645631599714934e+17,1670154000.0,1686650900.0,937879900000.0,90144.95202467011,6.6491815e+16,-1.0734468e+17,1.760586e+17,6.470670951841354e+16,-1.0527716e+17,1.720736e+17,False,FIR
Baku FIR,99360,53692230000.0,7.488654e+17,7.494255450417495e+17,2647081000.0,8952546000.0,8370084000000.0,1241890.5507737615,6.8464775e+17,-9.665851e+17,1.6516548e+18,6.836643991617256e+17,-9.061135e+17,1.5903464e+18,False,FIR
