Flight Level Band,total_flight_dist
FL200,0.052206076
FL210,0.1229294
FL220,0.138418512
FL230,0.14071544
FL240,0.163869536
FL250,0.174716432
FL260,0.160851616
FL270,0.155126032
FL280,0.169226352
FL290,0.188250208
FL300,0.204943216
FL310,0.265060576
FL320,0.33671536
FL330,0.476066432
FL340,0.718595136
FL350,1.135150208
FL360,1.638823552
FL370,1.809719936
FL380,1.917486464
FL390,1.442388352
FL400,0.873926336
FL410,0.804200064
FL420,0.01186863
FL430,0.009119957
FL440,0.070653664
FL450,0.000730455625
FL460,0.02823727
FL470,0.00043296415625
FL480,0.0027953205
FL490,0.00013388396875
