Flight Level Band,ef_initial_loc_overlap
FL200,0.0
FL210,0.0
FL220,0.00120246132277248
FL230,0.01312236526108672
FL240,0.035395046677151744
FL250,0.08159679371175527
FL260,0.16993783712946586
FL270,0.2684047899335066
FL280,0.5479914756825416
FL290,1.1990472543426314
FL300,2.1241045948196455
FL310,3.621967498632495
FL320,8.473353923862724
FL330,14.442983531837653
FL340,39.8496922844623
FL350,39.3434243544761
FL360,57.62347366932178
FL370,51.33928972755874
FL380,36.569204784992614
FL390,25.60710244336822
FL400,7.968182756725228
FL410,3.793507255484154
FL420,0.04386035205564007
FL430,0.019649273515737087
FL440,0.1093865807366062
FL450,7.2187654438912e-05
FL460,0.01666178553269453
FL470,-6.442292224e-09
FL480,-1.45793073152e-07
FL490,-4.0865660928e-08
