Flight level,Flight distance (% of global 2019 total),Contrail warming (% of global 2019 total),Warming per flight distance (% of global 2019 mean),Region
FL200,0.001877539617454955,0.0,0.0,European Airspace
FL210,0.0019197928787273017,-2.5942723084098116e-07,-0.00013513292695041385,European Airspace
FL220,0.001983077528925374,3.2712819189858538e-06,0.0016495986018048195,European Airspace
FL230,0.002304267307807653,2.3195471362852563e-05,0.010066311006652005,European Airspace
FL240,0.002475229610801326,5.0806030873802024e-05,0.02052578502297174,European Airspace
FL250,0.0022098346470840625,0.00010343516068946694,0.04680674222659713,European Airspace
FL260,0.002119321637078641,0.000187951339429377,0.08868466972689278,European Airspace
FL270,0.002342589610512109,0.000332646559483637,0.14199950259786126,European Airspace
FL280,0.002589490855245201,0.0008684547462638376,0.3353766415141879,European Airspace
FL290,0.0028368320291793426,0.0018020303979288217,0.6352263297203835,European Airspace
FL300,0.0036140770797520165,0.0032684061142141687,0.9043542907608472,European Airspace
FL310,0.0051878389876361475,0.008083003895007657,1.5580676104773827,European Airspace
FL320,0.006339787946661198,0.013384314500945413,2.1111612270871243,European Airspace
FL330,0.0090633018599103,0.03324935771607733,3.6685700454432837,European Airspace
FL340,0.01454641249639917,0.0351090151752589,2.4135858366418392,European Airspace
FL350,0.020972399643014488,0.053267064249607615,2.5398650205175675,European Airspace
FL360,0.023796456494354277,0.052031058204645896,2.186504457795651,European Airspace
FL370,0.026053408528115073,0.04035578688265741,1.5489638079066768,European Airspace
FL380,0.019964241301041623,0.029874873978550175,1.4964191991103348,European Airspace
FL390,0.012048412645542997,0.00960120367674428,0.7968853623465494,European Airspace
FL400,0.00678326458170957,0.002955228868364483,0.43566469105937244,European Airspace
FL410,0.004025110417012782,0.0017235948410498699,0.42821057374347216,European Airspace
FL420,4.295757876925448e-05,7.037036900929071e-06,0.16381362969101057,European Airspace
FL430,0.0010332522105281148,0.00016837758344849228,0.1629588417356797,European Airspace
FL440,1.0944109681514826e-05,3.719182706730921e-07,0.03398341952852332,European Airspace
FL450,0.00039271502456452746,2.1072299661720355e-05,0.05365799203910504,European Airspace
FL460,6.081692233593152e-06,-1.0143449100932002e-10,-1.6678662305374676e-05,European Airspace
FL470,3.508777600687284e-05,-7.513231903885095e-11,-2.141267631899336e-06,European Airspace
FL480,1.8341117701199971e-06,-5.2960246110138256e-11,-2.8875146527560488e-05,European Airspace
FL490,1.966517572136988e-06,0.0,0.0,European Airspace
FL200,6.966964773562169e-05,0.0,0.0,North Atlantic
FL210,6.691096149621036e-05,-1.1359065762159483e-08,-0.0001697638997879716,North Atlantic
FL220,6.92352630829094e-05,2.4146141750212367e-07,0.003487549649561857,North Atlantic
FL230,7.514491025324379e-05,-1.760454121759368e-08,-0.00023427456574590482,North Atlantic
FL240,0.0001291840387182373,3.9239617912259383e-07,0.003037497379830703,North Atlantic
FL250,0.0001253648461292855,3.516199820900244e-06,0.028047733710565712,North Atlantic
FL260,7.785625328552712e-05,3.7708074375286616e-07,0.0048432942485682464,North Atlantic
FL270,9.080606336377833e-05,5.3569485258455575e-06,0.05899329105794485,North Atlantic
FL280,0.0001211808744238876,1.665750512552927e-05,0.13745985251155843,North Atlantic
FL290,0.0002311588669341593,0.00018913377997580117,0.8181982481756667,North Atlantic
FL300,0.00037535949450167704,0.0005843116268140071,1.5566720314074711,North Atlantic
FL310,0.0007849992739015885,0.0010198132811832688,1.2991264006074963,North Atlantic
FL320,0.0015932290442651192,0.003586009524755886,2.250780914184214,North Atlantic
FL330,0.002522391151938878,0.008694845553744984,3.447064721528834,North Atlantic
FL340,0.0034976285740906804,0.010074659737876536,2.8804258441008885,North Atlantic
FL350,0.00531168901940891,0.018685297374769153,3.5177694527095023,North Atlantic
FL360,0.005979084233101483,0.018827976263067855,3.1489732422286627,North Atlantic
FL370,0.007064445572871862,0.02564227642259047,3.6297648779487006,North Atlantic
FL380,0.0063620859493729335,0.018205169827733285,2.861509569754813,North Atlantic
FL390,0.005443734011415189,0.010796072929246727,1.9832109553126585,North Atlantic
FL400,0.0030032407687841773,0.0037841196691434137,1.2600120871012832,North Atlantic
FL410,0.00168057599096592,0.002080084557496179,1.2377212150345187,North Atlantic
FL420,1.6673948158880573e-05,6.581024910345141e-06,0.3946890591020625,North Atlantic
FL430,0.000494016194364184,0.00023727980943716705,0.48030775538148984,North Atlantic
FL440,5.165084897445542e-06,2.965850307583643e-07,0.05742113375620295,North Atlantic
FL450,0.0002214070244508127,2.8874318031554012e-05,0.13041283628274705,North Atlantic
FL460,7.662439073448076e-06,-2.9238355152274235e-09,-0.00038158026278592064,North Atlantic
FL470,2.415735311444554e-05,-1.5483809269056407e-11,-6.409563661921821e-07,North Atlantic
FL480,4.892312273258574e-07,0.0,0.0,North Atlantic
FL490,4.229910896586766e-07,0.0,0.0,North Atlantic
FL200,0.0015170376951658567,0.0,0.0,Continental Europe
FL210,0.0015445348856385963,-3.705575325574543e-07,-0.00023991528841658068,Continental Europe
FL220,0.0016058764703262775,-1.2584381093669075e-06,-0.0007836456493513611,Continental Europe
FL230,0.0019009887323448364,1.1751485347177856e-05,0.006181775382057423,Continental Europe
FL240,0.002014497735547748,2.8112001334211687e-05,0.013954843849237663,Continental Europe
FL250,0.001737732863553281,5.064139112854849e-05,0.0291422186865926,Continental Europe
FL260,0.0016774570437018037,0.00010219980877286867,0.06092544018136801,Continental Europe
FL270,0.0018630498195928256,0.00019165598138914193,0.10287217194816017,Continental Europe
FL280,0.00207469709279635,0.0005630905271431654,0.2714085487940855,Continental Europe
FL290,0.0022882263152748687,0.0012235946160655366,0.5347349638877633,Continental Europe
FL300,0.002793773083614375,0.002156165964727864,0.771775623930909,Continental Europe
FL310,0.0039035798406054094,0.005517822552296817,1.413528806276716,Continental Europe
FL320,0.004011722999881191,0.00812117399937395,2.024360605060335,Continental Europe
FL330,0.005895781458083042,0.018857412306595583,3.198458497938778,Continental Europe
FL340,0.00869422818368091,0.020530027348618328,2.3613398354500568,Continental Europe
FL350,0.013308122181594936,0.031019194827232102,2.3308468620863345,Continental Europe
FL360,0.01514404743128678,0.03362785695947856,2.220532992389157,Continental Europe
FL370,0.017362397696914302,0.02516123407547983,1.4491796878925056,Continental Europe
FL380,0.013324564872027333,0.019281576032857347,1.4470698456604576,Continental Europe
FL390,0.006634996056167868,0.004243743297680772,0.6395999728946039,Continental Europe
FL400,0.003522134299843182,0.001021316128852847,0.2899708080121532,Continental Europe
FL410,0.0018888097743435478,0.0004973060532687728,0.2632907029727812,Continental Europe
FL420,2.555304171409575e-05,8.658067189293614e-07,0.03388272631558219,Continental Europe
FL430,0.0006065274817551054,2.5835006216470043e-05,0.04259494745681007,Continental Europe
FL440,7.271617301801475e-06,1.1638444154646334e-07,0.016005303458094554,Continental Europe
FL450,0.00021915689697359303,1.4468362412338731e-06,0.006601828467247405,Continental Europe
FL460,2.481476175522369e-06,-2.244134082517743e-12,-9.043544744270358e-07,Continental Europe
FL470,2.0368872191002695e-05,-7.07680465934484e-11,-3.474323267868898e-06,Continental Europe
FL480,9.466729965699877e-07,-5.2960246110138256e-11,-5.594354787981205e-05,Continental Europe
FL490,1.1443105885709094e-06,0.0,0.0,Continental Europe
FL200,0.00855380730584558,0.0,0.0,Global
FL210,0.008727118410767015,-1.0180747142918869e-07,-1.166564570770399e-05,Global
FL220,0.010104508200396326,1.2570444094881464e-05,0.0012440431385258729,Global
FL230,0.010973367834001407,4.604400199202927e-05,0.0041959772686522125,Global
FL240,0.0124965007294014,0.00011196406612283263,0.008959633464383103,Global
FL250,0.010818122903650884,0.0002330564067262736,0.021543146514597468,Global
FL260,0.012762858744986567,0.00038900314671313206,0.03047931145253316,Global
FL270,0.012965141099362228,0.0006865128827735205,0.05295066806540894,Global
FL280,0.01629555269182754,0.0017435597827130432,0.10699605074379981,Global
FL290,0.016816844563965466,0.004013749805827148,0.23867437143515421,Global
FL300,0.024923291257618028,0.009319495125990345,0.37392714427881824,Global
FL310,0.030624806011370492,0.020572415935260924,0.6717566121928322,Global
FL320,0.039807464917431076,0.042406819947513996,1.0652981805165067,Global
FL330,0.054360348734684864,0.1082044223429174,1.9905027260039831,Global
FL340,0.07065203521884589,0.10009511010868753,1.4167335703584647,Global
FL350,0.09978669494785963,0.16050354831776292,1.6084664233205535,Global
FL360,0.09334738930814912,0.12946919801764084,1.3869611027926019,Global
FL370,0.09753171586464064,0.1300495859429659,1.3334081615405513,Global
FL380,0.07020252557673685,0.1000026839528456,1.4244884088042509,Global
FL390,0.05507000784441321,0.060393835606012546,1.0966738152033773,Global
FL400,0.03331105355969147,0.05506418757159014,1.653030501509606,Global
FL410,0.021476785741350486,0.02691102718050926,1.2530286191148203,Global
FL420,0.00028133179614621943,0.0001720276553395441,0.6114760496184172,Global
FL430,0.006088426832151242,0.007803836693059594,1.2817492774734127,Global
FL440,0.00013684175829990498,9.41404040836842e-05,0.6879508510652451,Global
FL450,0.0031241445672355855,0.0020625573015462914,0.6601990583845981,Global
FL460,7.645644413572745e-05,6.477417061326234e-05,0.847203546352137,Global
FL470,0.0004189814094420401,0.0006622063366471901,1.5805148431980647,Global
FL480,1.0996320143898487e-05,1.932071922274054e-06,0.17570167992481556,Global
FL490,1.851818356752497e-05,5.5285302010505934e-08,0.002985460307643718,Global
FL200,0.0029480555005660268,0.0,0.0,USA
FL210,0.002932043585361096,-2.96983705566312e-09,-1.0128898050802234e-06,USA
FL220,0.0032032575146978813,6.500703268508663e-07,0.0002029403892344192,USA
FL230,0.0032860648982047363,3.1558618264366243e-06,0.0009603772062325228,USA
FL240,0.003977966645353363,3.1517818733188434e-06,0.0007923097789169296,USA
FL250,0.0039547481298274345,2.4742880553122237e-06,0.0006256499716507077,USA
FL260,0.004381772920469826,1.5819631370073277e-05,0.0036103266091609904,USA
FL270,0.004290208953526645,1.6301360841402865e-05,0.003799665941213141,USA
FL280,0.005342307984108196,5.509521934990563e-05,0.010312999458997458,USA
FL290,0.004703004161467749,0.00020732774368073368,0.044084108064244044,USA
FL300,0.00736901442807138,0.0007899443809675557,0.10719810480467469,USA
FL310,0.007735115216762215,0.0018193688516825906,0.23520901766789026,USA
FL320,0.010875108004616295,0.00734396797789784,0.675300693545338,USA
FL330,0.012780138216298318,0.01500757593644157,1.174289016475787,USA
FL340,0.018481284657231298,0.016600516451702154,0.8982339030856688,USA
FL350,0.02447715243166391,0.03475528108029952,1.419907040957089,USA
FL360,0.021555580992082525,0.026057815094564635,1.2088662840558928,USA
FL370,0.021594986156015027,0.034869599741357823,1.614708131296732,USA
FL380,0.013629348037902514,0.020327045751340374,1.4914173220033642,USA
FL390,0.010216078984310154,0.010651078542316377,1.0425798937806074,USA
FL400,0.006778972983505935,0.005908957649846218,0.8716597136798494,USA
FL410,0.005161312926066828,0.0029264215717728897,0.5669916964331333,USA
FL420,0.0001656770948044344,4.874220913188758e-05,0.29420004732351795,USA
FL430,0.003017779163476655,0.0008741644987165588,0.2896714608200393,USA
FL440,0.00010188431493668207,2.0206243337882907e-05,0.1983253590156685,USA
FL450,0.002010980051963708,0.00019127432487429883,0.09511497873264371,USA
FL460,4.269005641534551e-05,4.449863069103005e-06,0.1042365235081639,USA
FL470,0.0002717151598719624,3.676117632691222e-05,0.1352930633102504,USA
FL480,5.7799781477013595e-06,4.2785560027820373e-07,0.07402374011541163,USA
FL490,1.1151639012778287e-05,-1.9621698930575266e-08,-0.0017595349802922624,USA
FL200,0.0013337016429977252,0.0,0.0,East Asia
FL210,0.0014806785159433206,-2.974868045878747e-07,-0.00020091248801455715,East Asia
FL220,0.0025414979179186384,-2.487557295742947e-06,-0.0009787760510070115,East Asia
FL230,0.0028622612293257256,-2.206870923529784e-06,-0.0007710235882451811,East Asia
FL240,0.003168922305958145,-1.5240176445978123e-06,-0.00048092616273121767,East Asia
FL250,0.0016541294881964228,2.2150209151453038e-07,0.000133908556189301,East Asia
FL260,0.0034426207314193426,4.805923513810807e-06,0.0013960072539937894,East Asia
FL270,0.0033599996581983667,8.44581256825701e-06,0.0025136349486373634,East Asia
FL280,0.0045603389446973175,-1.2386958396334431e-06,-0.00027162363470236724,East Asia
FL290,0.005159796058797112,8.791042699488229e-05,0.017037577840891757,East Asia
FL300,0.006674014060864683,0.0003547832830124254,0.05315890553674677,East Asia
