Month,Hour,Flight distance,Contrail warming,Warming per flight distance
Jan,0,0.00023708,0.00094976,4.00607989
Jan,1,0.00016116,0.00069741,4.32757441
Jan,2,0.00015956,0.000605,3.79166293
Jan,3,0.00020385,0.00073148,3.5882902
Jan,4,0.00027107,0.00112147,4.13714181
Jan,5,0.00032665,0.00136981,4.19356018
Jan,6,0.00040185,0.00128837,3.20608631
Jan,7,0.00061169,0.0009456,1.54588321
Jan,8,0.00074002,0.00067594,0.91339879
Jan,9,0.00080319,0.00042701,0.53164073
Jan,10,0.00084685,0.00048898,0.57740699
Jan,11,0.00090067,0.00067841,0.75323527
Jan,12,0.00093989,0.00117844,1.25381334
Jan,13,0.00095103,0.00202558,2.12987631
Jan,14,0.00091364,0.00262148,2.86926178
Jan,15,0.00089729,0.00302123,3.36707112
Jan,16,0.00085214,0.00292014,3.42682181
Jan,17,0.0008213,0.00280899,3.42016718
Jan,18,0.00081538,0.0028268,3.46683656
Jan,19,0.0007435,0.00270958,3.64438423
Jan,20,0.00065776,0.00223084,3.3915716
Jan,21,0.00063283,0.00199257,3.1486586
Jan,22,0.00050812,0.00160798,3.16457804
Jan,23,0.00034078,0.00123313,3.61855496
Feb,0,0.00020865,0.00115063,5.51453922
Feb,1,0.00015082,0.00081936,5.43268628
Feb,2,0.00015428,0.00066275,4.29578588
Feb,3,0.0001987,0.00068946,3.46982636
Feb,4,0.00025979,0.00076087,2.92878787
Feb,5,0.00029959,0.0007365,2.45831538
Feb,6,0.00036481,0.00042658,1.16931717
Feb,7,0.00055061,3.56e-06,0.00645754
Feb,8,0.00066688,-0.00037805,-0.56688843
Feb,9,0.00072586,-0.00045503,-0.62688227
Feb,10,0.00076943,-0.00038955,-0.50628071
Feb,11,0.00082187,-0.00025124,-0.30569719
Feb,12,0.00085614,0.00017489,0.20427823
Feb,13,0.00085875,0.00095751,1.11500498
Feb,14,0.00082545,0.00200332,2.42695063
Feb,15,0.0008215,0.00291379,3.54692401
Feb,16,0.00078665,0.00339224,4.31224165
Feb,17,0.00074998,0.00359295,4.79071707
Feb,18,0.00072643,0.00368365,5.07091778
Feb,19,0.00065961,0.00325642,4.93690904
Feb,20,0.00059325,0.00286904,4.83618294
Feb,21,0.00056918,0.00272728,4.79160009
Feb,22,0.00045229,0.00221825,4.90443074
Feb,23,0.00030085,0.00156428,5.19947689
Mar,0,0.00023578,0.00092091,3.90575138
Mar,1,0.00016834,0.0006244,3.70913527
Mar,2,0.00016984,0.00043381,2.55425924
Mar,3,0.00022171,0.00042617,1.92220266
Mar,4,0.00029075,0.00044317,1.52422174
Mar,5,0.00033559,0.00034909,1.04023289
Mar,6,0.00041834,0.00018528,0.44289748
Mar,7,0.00062673,-5.54e-05,-0.08838862
Mar,8,0.00075352,-0.00011566,-0.15349287
Mar,9,0.00081676,-0.0001788,-0.21891
Mar,10,0.00085779,-0.00018626,-0.21714028
Mar,11,0.00091743,-0.00010048,-0.10951982
Mar,12,0.00095017,8.296e-05,0.08731142
Mar,13,0.00096601,0.00054255,0.56164247
Mar,14,0.00092831,0.0012315,1.32660289
Mar,15,0.00090805,0.00194663,2.14373473
Mar,16,0.00088939,0.0025197,2.83308231
Mar,17,0.00084474,0.00275146,3.25716334
Mar,18,0.00082192,0.00289529,3.52259156
Mar,19,0.00074642,0.00268733,3.60027833
Mar,20,0.00066255,0.00236301,3.56651273
Mar,21,0.00062314,0.00199307,3.1984162
Mar,22,0.00050965,0.00164663,3.23091067
Mar,23,0.00034148,0.00129705,3.79828368
Apr,0,0.00022497,0.00062102,2.76040412
Apr,1,0.00017425,0.00042198,2.42175593
Apr,2,0.00019729,0.0003226,1.63512211
Apr,3,0.00027138,0.0002557,0.9422216
Apr,4,0.00035295,0.00018323,0.51913307
Apr,5,0.00047796,2.019e-05,0.04225144
Apr,6,0.00074814,-0.00028522,-0.3812416
Apr,7,0.00084723,-0.00047027,-0.55506856
Apr,8,0.00088543,-0.00047838,-0.54027888
Apr,9,0.00094467,-0.00047438,-0.50216445
Apr,10,0.00101847,-0.00052185,-0.51238104
Apr,11,0.00106806,-0.00054757,-0.51267929
Apr,12,0.00108934,-0.00048595,-0.44609473
Apr,13,0.00104774,-0.00039889,-0.3807138
Apr,14,0.00103112,-0.00012341,-0.11968888
Apr,15,0.0010099,0.00037453,0.37085786
Apr,16,0.00098487,0.0009821,0.99719194
Apr,17,0.00096211,0.00173991,1.80843872
Apr,18,0.00092055,0.00228347,2.48054044
Apr,19,0.00082678,0.00217328,2.62860346
Apr,20,0.00077604,0.00198114,2.55289224
Apr,21,0.00066688,0.00173375,2.59978211
Apr,22,0.00048185,0.0013572,2.81666076
Apr,23,0.0003195,0.00092542,2.8964676
May,0,0.00024965,0.00088956,3.56317971
