Hour of day,Flight distance in 10^9 km,Contrail warming in 10^18 J,Warming per flight distance in 10^9 J/m
0,0.2496204,10.678913226286038,42.78061098486357
1,0.222738208,7.8284936527069835,35.146613250596786
2,0.227854304,6.096227376797057,26.75493624556268
3,0.256160272,5.984755589438243,23.363324619823338
4,0.292317792,6.069190385870045,20.76230237080487
5,0.342918016,4.67209868481554,13.624535506514595
6,0.467557792,2.665653516478972,5.701227874048502
7,0.57995008,1.3755974856820654,2.371923951940942
8,0.645015488,0.47249807960650547,0.7325375721931586
9,0.690576512,0.42671750780236595,0.6179148876154739
10,0.731340096,1.094752254256218,1.4969126679145157
11,0.777416576,2.657926698514776,3.418922081891364
12,0.81196992,5.771242525952049,7.107704834622505
13,0.805237376,10.24148132126838,12.718586626148337
14,0.79368192,15.746241261310313,19.839485900485567
15,0.772575104,21.479199342139015,27.802085817845633
16,0.73859424,24.797415483604205,33.57380025547479
17,0.706619136,27.006811531852644,38.21975680524543
18,0.676124224,29.07954708086155,43.00917797150476
19,0.61795008,28.54925042376193,46.19992997454087
20,0.565811456,25.93540781932911,45.83754454651606
21,0.508974656,22.291518532739925,43.79691261629327
22,0.41885344,18.332771996909173,43.768942179176506
23,0.31368176,14.009704482238103,44.66215849540663
