Hour,Flight distance,Contrail warming,Warming per flight distance,Region
6,0.03716148,0.01040807,0.28007687,European Airspace
7,0.04614666,0.00356119,0.07717125,European Airspace
8,0.05078232,-0.00151171,-0.02976846,European Airspace
9,0.05426911,-0.00299356,-0.05516147,European Airspace
10,0.05784984,-0.00169592,-0.02931587,European Airspace
11,0.06070225,0.00317281,0.05226845,European Airspace
12,0.0626546,0.01401543,0.22369347,European Airspace
13,0.06146966,0.03096726,0.50378119,European Airspace
14,0.05998724,0.05003145,0.83403491,European Airspace
15,0.05893016,0.07060799,1.19816391,European Airspace
16,0.056901,0.0852472,1.49816694,European Airspace
17,0.055047,0.09645271,1.75218844,European Airspace
18,0.05291676,0.10545942,1.99293058,European Airspace
19,0.04793628,0.10198045,2.12741664,European Airspace
20,0.04403036,0.09287056,2.10923935,European Airspace
21,0.0399605,0.08225882,2.05850339,European Airspace
22,0.031162,0.06440087,2.0666472,European Airspace
23,0.02162512,0.04802506,2.22079938,European Airspace
0,0.01540067,0.03597795,2.33612889,European Airspace
1,0.01150366,0.02416101,2.10028875,European Airspace
2,0.01213021,0.02054045,1.69332941,European Airspace
3,0.01566574,0.0225846,1.44165527,European Airspace
4,0.01998418,0.02411486,1.2066973,European Airspace
5,0.02578316,0.01936303,0.75099509,European Airspace
6,0.01138915,0.02740734,2.40644382,North Atlantic
7,0.01076402,0.0168927,1.56936692,North Atlantic
8,0.00955507,0.00926287,0.96941883,North Atlantic
9,0.00810474,0.00474713,0.58572298,North Atlantic
10,0.00721044,0.0021573,0.29919058,North Atlantic
11,0.00804247,0.00130824,0.16266633,North Atlantic
12,0.00962907,0.00317458,0.32968718,North Atlantic
13,0.01123422,0.0062013,0.55200142,North Atlantic
14,0.01255397,0.00816891,0.65070291,North Atlantic
15,0.01329997,0.0110645,0.83191902,North Atlantic
16,0.01288713,0.01269032,0.98472869,North Atlantic
17,0.01173752,0.01509835,1.28633149,North Atlantic
18,0.01030426,0.01813588,1.76003819,North Atlantic
19,0.00869189,0.01893316,2.17825687,North Atlantic
20,0.00722864,0.01803411,2.49481238,North Atlantic
21,0.00612053,0.01730365,2.82715098,North Atlantic
22,0.00538736,0.01648519,3.05997237,North Atlantic
23,0.00505819,0.0176461,3.488621,North Atlantic
0,0.00539216,0.0208834,3.8729164,North Atlantic
1,0.00651298,0.02616015,4.01661691,North Atlantic
2,0.00813678,0.03188697,3.91886685,North Atlantic
3,0.00998847,0.03813087,3.81748884,North Atlantic
4,0.01151826,0.04065367,3.529497,North Atlantic
5,0.01205764,0.0365873,3.03436634,North Atlantic
6,0.02423953,0.00125562,0.05180066,Continental Europe
7,0.03224629,-0.00198251,-0.06148034,Continental Europe
8,0.03574295,-0.00461079,-0.12899865,Continental Europe
9,0.03796169,-0.00531383,-0.13997866,Continental Europe
10,0.04087158,-0.00394157,-0.09643789,Continental Europe
11,0.0435523,-0.00064632,-0.01484002,Continental Europe
12,0.04355569,0.00575468,0.13212231,Continental Europe
13,0.04152238,0.01413508,0.34042069,Continental Europe
14,0.03998128,0.0261077,0.65299816,Continental Europe
15,0.03959589,0.04144901,1.04680065,Continental Europe
16,0.03881024,0.053352,1.37468855,Continental Europe
17,0.03880174,0.06567242,1.69251229,Continental Europe
18,0.03753635,0.07393433,1.96967291,Continental Europe
19,0.03413457,0.07011533,2.05408588,Continental Europe
20,0.03228656,0.0669431,2.07340419,Continental Europe
21,0.03038872,0.06133941,2.01849251,Continental Europe
22,0.0227157,0.04679739,2.06013426,Continental Europe
23,0.01379667,0.03183336,2.30732277,Continental Europe
0,0.00768157,0.02015465,2.62376679,Continental Europe
1,0.00417625,0.01033749,2.47530471,Continental Europe
2,0.00343399,0.00720658,2.09860421,Continental Europe
3,0.00513621,0.00781657,1.52185485,Continental Europe
4,0.00807244,0.00800489,0.99163152,Continental Europe
5,0.01376573,0.00534446,0.38824394,Continental Europe
6,0.1694242,0.08539195,0.50401273,Global
7,0.17147522,0.06884145,0.40146585,Global
8,0.17195152,0.0666,0.38731849,Global
9,0.17277014,0.07519499,0.43523137,Global
10,0.17634311,0.08410421,0.47693501,Global
11,0.18087462,0.09134976,0.50504468,Global
12,0.19128697,0.09964597,0.52092399,Global
13,0.20547342,0.11509334,0.56013735,Global
14,0.22030312,0.13380275,0.60735748,Global
15,0.22985494,0.15428251,0.67121682,Global
16,0.2314728,0.16796826,0.72565007,Global
17,0.22712752,0.17408465,0.76646214,Global
18,0.22454952,0.18316897,0.81571749,Global
19,0.21887638,0.18795703,0.85873601,Global
20,0.21250641,0.18742024,0.88195093,Global
21,0.20617095,0.18251042,0.88523831,Global
22,0.19299331,0.17948522,0.93000742,Global
23,0.18188174,0.17798546,0.97857796,Global
0,0.18342777,0.1768605,0.964197,Global
1,0.18913914,0.16973882,0.89742832,Global
2,0.19216466,0.16410305,0.85397102,Global
3,0.18924916,0.15965761,0.84363707,Global
4,0.18249965,0.14640912,0.8022433,Global
5,0.17151174,0.1167137,0.68049981,Global
6,0.02214595,0.0317066,1.43171114,USA
7,0.01518131,0.02318452,1.52717482,USA
8,0.01334513,0.02155417,1.61513387,USA
9,0.01433996,0.02062258,1.4381201,USA
10,0.01518512,0.01605656,1.05738763,USA
11,0.01852255,0.00912528,0.49265805,USA
12,0.02799746,0.00164797,0.05886148,USA
13,0.04153955,-0.00399844,-0.09625616,USA
14,0.05453451,-0.00907346,-0.16638021,USA
15,0.06509853,-0.01092487,-0.16782047,USA
16,0.07215608,-0.01045444,-0.14488641,USA
17,0.07622625,-0.00908489,-0.11918326,USA
18,0.07912998,-0.00746084,-0.09428587,USA
19,0.07825811,-0.0029619,-0.03784781,USA
20,0.076287,0.00440167,0.05769883,USA
21,0.07675147,0.01584279,0.20641673,USA
22,0.07669222,0.03421885,0.44618419,USA
23,0.07532172,0.05512502,0.73186079,USA
0,0.07103861,0.07226925,1.01732355,USA
1,0.06652443,0.080045,1.20324217,USA
2,0.06098349,0.08125627,1.33243068,USA
3,0.05476589,0.07750458,1.41519792,USA
4,0.04767356,0.06736001,1.41294256,USA
5,0.03491343,0.04976761,1.42545732,USA
6,0.03591736,-0.00265422,-0.07389811,East Asia
7,0.0359338,0.00064189,0.01786315,East Asia
8,0.03418818,0.00549256,0.16065664,East Asia
9,0.03341215,0.01032994,0.3091672,East Asia
10,0.03381978,0.012937,0.38252746,East Asia
11,0.03307722,0.01398943,0.4229325,East Asia
12,0.03206011,0.01421762,0.44346767,East Asia
13,0.03107746,0.01381017,0.44437891,East Asia
14,0.02938774,0.0130732,0.44485224,East Asia
15,0.02666125,0.01132545,0.42479068,East Asia
16,0.02209194,0.00877064,0.39700644,East Asia
17,0.01699319,0.00702396,0.41333953,East Asia
18,0.01438287,0.00698369,0.48555621,East Asia
19,0.01402573,0.00737722,0.52597786,East Asia
20,0.01409298,0.00569788,0.40430659,East Asia
21,0.01321747,0.00235998,0.17854989,East Asia
22,0.01108415,-9.57e-06,-0.00086319,East Asia
23,0.01157906,-0.00081023,-0.06997385,East Asia
0,0.01922488,-0.00223431,-0.11621952,East Asia
1,0.02775094,-0.00410996,-0.14810157,East Asia
2,0.03251155,-0.00552225,-0.169855,East Asia
3,0.03415241,-0.00517584,-0.15155117,East Asia
4,0.03481761,-0.00485279,-0.13937758,East Asia
5,0.03528076,-0.00410754,-0.11642422,East Asia
6,0.01528235,-0.00455401,-0.29799164,Southeast Asia
7,0.01562129,-0.00344152,-0.22030978,Southeast Asia
8,0.01611617,-0.00029735,-0.01845022,Southeast Asia
9,0.01532773,0.00533625,0.34814372,Southeast Asia
10,0.01506929,0.01065428,0.70701922,Southeast Asia
11,0.01451355,0.01507394,1.03861141,Southeast Asia
12,0.01434733,0.01726689,1.20349179,Southeast Asia
13,0.0148069,0.01953937,1.3196124,Southeast Asia
14,0.01488762,0.02175856,1.46152073,Southeast Asia
15,0.01365853,0.0202003,1.47895152,Southeast Asia
16,0.01205675,0.01637789,1.35839968,Southeast Asia
17,0.01034116,0.01294493,1.25178694,Southeast Asia
18,0.00994053,0.01437134,1.44573198,Southeast Asia
19,0.00996722,0.01796993,1.80290182,Southeast Asia
20,0.00942063,0.01792976,1.90324484,Southeast Asia
21,0.00871972,0.01261635,1.44687643,Southeast Asia
22,0.00736017,0.00616476,0.83758437,Southeast Asia
23,0.00706641,0.00108208,0.15312967,Southeast Asia
0,0.00921448,-0.00214417,-0.23269525,Southeast Asia
1,0.01056065,-0.00340102,-0.32204632,Southeast Asia
2,0.01253344,-0.00370896,-0.29592549,Southeast Asia
3,0.0147964,-0.00428374,-0.289512,Southeast Asia
4,0.01548135,-0.00452566,-0.29232963,Southeast Asia
5,0.0151703,-0.00452477,-0.29826517,Southeast Asia
6,0.00602182,0.00770621,1.27971525,Latin America
7,0.00645231,0.00788835,1.22256184,Latin America
8,0.00659816,0.00675199,1.02331489,Latin America
