Month,Flight distance in 10^9 km,Contrail warming in 10^18 J,Warming per flight distance in 10^9 J/m
Jan,0.92395648,37.54244629841156,40.632266898990274
Feb,0.829946688,32.245958049926216,38.853047450110694
Mar,0.963418752,22.73278333529201,23.59595273405267
Apr,1.057842048,10.90943903318881,10.312918695011838
May,1.15561408,15.64846828932196,13.541257899282396
Jun,1.2319008,8.606862123265426,6.986651947352763
Jul,1.33531264,8.451152035318858,6.328968798886572
Aug,1.391107072,11.25316615924089,8.089360183513529
Sep,1.264032512,21.214243428124067,16.782988749678665
Oct,1.18424768,31.913349185454212,26.94820494430203
Nov,0.934315392,50.59737446550759,54.154490976755305
Dec,0.941843904,42.14819495404896,44.7507222534924
