Month,Flight distance,Contrail warming,Warming per flight distance ,Region
Jan,896.82,28.67,31.97,European Airspace
Jan,209.68,14.36,68.46,North Atlantic
Jan,590.46,13.68,23.17,Continental Europe
Jan,4781.21,91.29,19.09,Global
Jan,1178.81,12.15,10.31,USA
Jan,741.66,0.95,1.28,East Asia
Jan,339.71,4.36,12.84,Southeast Asia
Jan,209.9,1.71,8.13,Latin America
Jan,350.92,4.11,11.7,Africa & Middle East
Jan,800.75,2.05,2.55,China
Jan,228.03,0.91,4.01,India
Jan,2075.7,69.07,33.28,North Pacific
Jan,31.02,0.62,20.04,Arctic
Jan,0.45,0.0,3.44,Honiara FIR
Jan,0.13,-0.0,-3.19,Nauru FIR
Jan,2.14,0.03,12.82,Port Moresby FIR
Jan,11.77,0.19,16.07,Nuuk FIR
Jan,12.67,0.83,65.55,Reykjavik FIR
Jan,30.74,0.69,22.47,Edmonton FIR
Jan,12.85,0.42,32.57,Moncton FIR
Jan,69.2,3.79,54.84,Gander FIR
Jan,25.73,0.2,7.82,Montreal FIR
Jan,11.63,0.44,37.65,Vancouver FIR
Jan,21.25,0.33,15.39,Winnipeg FIR
Jan,19.12,0.18,9.31,Toronto FIR
Jan,12.6,0.07,5.7,Alger FIR
Jan,3.08,0.06,19.94,Accra FIR
Jan,3.83,0.09,22.67,Kano FIR
Jan,4.13,0.16,37.9,Niamey FIR
Jan,2.55,0.01,4.43,Tunis FIR
Jan,14.0,0.5,35.8,Brussels FIR
Jan,39.98,1.03,25.83,Langen FIR
Jan,24.74,0.49,19.74,Munchen FIR
Jan,24.23,0.76,31.31,Bremen FIR
Jan,4.21,0.18,43.89,Tallinn FIR
Jan,5.43,0.21,38.56,Helsinki FIR
Jan,45.95,6.43,140.02,Shanwick FIR
Jan,9.43,0.47,49.62,Scottish FIR
Jan,53.55,1.66,31.06,London FIR
Jan,18.69,0.63,33.68,Amsterdam FIR
Jan,12.83,0.88,68.87,Shannon FIR
Jan,9.47,0.33,34.64,Copenhagen FIR
Jan,1.12,0.05,41.36,Bodo Oceanic FIR
Jan,11.44,0.31,26.86,Polaris FIR
Jan,26.48,0.67,25.16,Warszawa FIR
Jan,21.84,0.84,38.31,Sweden FIR
Jan,4.87,0.24,48.89,Riga FIR
Jan,3.41,0.12,36.47,Vilnius FIR
Jan,2.43,0.0,1.08,Cape Town FIR
Jan,6.19,0.0,0.63,Johannesburg FIR
Jan,0.98,0.01,10.63,Johannesburg Oceanic FIR
