Flight Information Region (FIR),Surface area,Contrail warming,Flown distance,Contrail warming per flown distance,Contrail warming density,Flown distance density
Amsterdam FIR,0.00018,0.00718,0.00406,1.76781,40.32047,22.8081
Ankara FIR,0.00148,0.00929,0.01161,0.79992,6.29183,7.86555
Athinai FIR,0.00105,0.0046,0.0072,0.63859,4.39266,6.87872
Barcelona FIR,0.00053,0.00176,0.00579,0.30463,3.32996,10.93127
Beograd FIR,0.00021,0.00475,0.00318,1.49377,22.26306,14.90392
Bodo Oceanic FIR,0.00258,0.00038,0.00019,1.97945,0.14521,0.07336
Bordeaux FIR,0.00033,0.00713,0.00568,1.25449,21.68817,17.28843
Bratislava  FIR,0.0001,0.0027,0.00129,2.09717,28.23116,13.46153
Bremen FIR,0.00034,0.01032,0.00514,2.00854,30.32047,15.09579
Brest FIR,0.00061,0.01105,0.00532,2.07669,18.10216,8.71682
Brindisi FIR,0.00031,0.00116,0.00176,0.65715,3.74552,5.69962
Brussels FIR,7e-05,0.00449,0.00307,1.46548,63.20145,43.12678
Bucarest FIR,0.0005,0.00978,0.00489,2.00074,19.57349,9.78314
Budapest FIR,0.00018,0.00588,0.00336,1.7521,32.42377,18.50566
Canarias FIR,0.00267,0.00081,0.00259,0.31162,0.30225,0.96993
Chisinau FIR,7e-05,0.00041,0.00015,2.76173,6.03471,2.18512
Copenhagen FIR,0.00026,0.00377,0.00212,1.78125,14.35379,8.05826
Dnipro FIR,0.00033,0.00076,0.00022,3.49444,2.28977,0.65526
Gander FIR,0.00761,0.04259,0.01579,2.69689,5.59301,2.07387
Helsinki FIR,0.00082,0.00218,0.00111,1.96229,2.6777,1.36458
Istanbul FIR,0.00045,0.00329,0.00591,0.5576,7.33908,13.16202
Kiev FIR,0.00036,0.00204,0.00081,2.52887,5.61693,2.22112
Langen FIR,0.00023,0.01191,0.00906,1.31443,52.74535,40.12782
Lisboa FIR,0.0013,0.00563,0.00534,1.05436,4.32928,4.10607
Ljubljana FIR,4e-05,0.00103,0.00073,1.4201,25.81069,18.17531
London FIR,0.00073,0.01164,0.01286,0.90537,15.9901,17.66136
Lvov FIR,0.00026,0.0024,0.0008,2.9983,9.16958,3.05825
Madrid FIR,0.00121,0.00934,0.01047,0.89191,7.71293,8.64763
Malta FIR,0.00042,0.00027,0.00087,0.30996,0.64333,2.07549
Marseille FIR,0.0006,0.00541,0.00751,0.7214,9.05689,12.55462
Milano FIR,0.00033,0.00529,0.00628,0.84245,16.23757,19.27423
Munchen FIR,0.00021,0.00866,0.00573,1.51036,42.18727,27.93192
New York Oceanic FIR,0.01612,0.0226,0.00901,2.50828,1.40219,0.55902
Nicosia FIR,0.00034,0.00043,0.0024,0.17965,1.2705,7.07224
Odessa FIR,0.00016,0.00112,0.00039,2.88125,7.0227,2.43738
Paris FIR,0.00031,0.01149,0.009,1.27569,37.44435,29.3522
Polaris FIR,0.00141,0.00252,0.00252,1.00022,1.7889,1.7885
Praha FIR,0.00015,0.00631,0.00325,1.94242,40.84704,21.0289
Reims FIR,0.00011,0.00243,0.00192,1.26735,22.00302,17.36146
Reykjavik FIR,0.00334,0.00618,0.00284,2.17541,1.8474,0.84922
Riga FIR,0.00019,0.00378,0.00103,3.66496,20.23311,5.5207
Roma FIR,0.00083,0.0028,0.00568,0.49235,3.35097,6.80606
Santa Maria FIR,0.01005,0.01097,0.00449,2.44159,1.09106,0.44686
Sarajevo FIR,0.0001,0.00223,0.00138,1.61263,21.97966,13.62969
Scottish FIR,0.00104,0.00309,0.00237,1.30484,2.98282,2.28596
Shannon FIR,0.00045,0.0052,0.00281,1.85283,11.44974,6.17958
Shanwick FIR,0.00462,0.03328,0.01034,3.21848,7.19675,2.23607
Simferopol FIR,0.00041,0.00072,0.00041,1.75459,1.7778,1.01323
Skopje FIR,5e-05,0.0006,0.00051,1.18674,12.33947,10.39781
Sofia FIR,0.00029,0.00671,0.00377,1.78175,23.52945,13.20582
Sweden FIR,0.0012,0.00946,0.00462,2.04737,7.86379,3.84093
Switzerland FIR,8e-05,0.00239,0.00235,1.01875,28.35296,27.83123
Tallinn FIR,0.00015,0.0027,0.00089,3.04618,17.83573,5.85512
Tibilisi FIR,0.00017,0.00071,0.00049,1.4442,4.10701,2.84379
Tirana FIR,7e-05,0.00056,0.0006,0.92243,7.87643,8.53875
Vilnius FIR,0.00015,0.00261,0.00078,3.35349,17.50659,5.22041
Warszawa FIR,0.00067,0.01502,0.00602,2.49735,22.49131,9.00607
Wien FIR,0.00017,0.00599,0.00415,1.44497,36.2369,25.0779
Yerevan FIR,6e-05,0.00015,0.00018,0.82482,2.53518,3.07361
Zagreb FIR,0.00022,0.00387,0.0028,1.38139,17.83848,12.91346
