Region,Hour of year,Airspace 'business',Cumulative contrail warming
European Airspace,0.0,100.0,0.018
European Airspace,1.1112,87.0756,-0.0093
European Airspace,2.2225,84.0325,0.0097
European Airspace,3.3337,82.3852,0.0691
European Airspace,4.445,80.875,0.1977
European Airspace,5.5562,79.8437,0.361
European Airspace,6.6674,78.7414,0.5949
European Airspace,7.7787,77.8165,0.893
European Airspace,8.8899,76.8765,1.1938
European Airspace,10.0012,76.0897,1.6409
European Airspace,11.1124,75.1876,2.3518
European Airspace,12.2236,74.2986,2.9472
European Airspace,13.3349,73.5709,3.8086
European Airspace,14.4461,72.8445,4.3672
European Airspace,15.5574,72.0445,5.0074
European Airspace,16.6686,71.2432,6.0572
European Airspace,17.7798,70.441,7.0295
European Airspace,18.8911,69.6147,7.8298
European Airspace,20.0023,68.9908,8.9081
European Airspace,21.1136,68.3769,10.2306
European Airspace,22.2248,67.6549,11.2108
European Airspace,23.336,66.9196,12.6769
European Airspace,24.4473,66.3227,14.1464
European Airspace,25.5585,65.7845,15.5509
European Airspace,26.6698,65.2032,16.8083
European Airspace,27.781,64.626,18.385
European Airspace,28.8922,64.012,19.9493
European Airspace,30.0035,63.3413,21.2419
European Airspace,31.1147,62.7945,23.0401
European Airspace,32.226,62.1,25.0402
European Airspace,33.3372,61.6423,26.8659
European Airspace,34.4484,61.0556,28.4401
European Airspace,35.5597,60.4514,29.9745
European Airspace,36.6709,59.8392,31.5605
European Airspace,37.7822,59.2898,33.4585
European Airspace,38.8934,58.7235,35.3219
European Airspace,40.0046,58.2393,36.5901
European Airspace,41.1159,57.6685,38.0904
European Airspace,42.2271,57.1078,40.1333
European Airspace,43.3383,56.4905,41.2185
European Airspace,44.4496,55.9377,42.6358
European Airspace,45.5608,55.4468,44.3024
European Airspace,46.6721,54.9279,45.9589
European Airspace,47.7833,54.3492,47.8841
European Airspace,48.8945,53.7614,49.9383
European Airspace,50.0058,53.1483,51.4054
European Airspace,51.117,52.576,52.5534
European Airspace,52.2283,51.8224,53.9935
European Airspace,53.3395,51.0219,55.6405
European Airspace,54.4507,50.1457,57.647
European Airspace,55.562,49.2925,59.5266
European Airspace,56.6732,48.5001,61.2577
European Airspace,57.7845,47.4538,62.9283
European Airspace,58.8957,46.2251,64.2282
European Airspace,60.0069,45.0397,66.0687
European Airspace,61.1182,43.9866,67.9811
European Airspace,62.2294,42.8974,69.7462
European Airspace,63.3407,41.5844,71.3276
European Airspace,64.4519,40.4247,72.6384
European Airspace,65.5631,39.1456,74.0052
European Airspace,66.6744,38.1224,75.2429
European Airspace,67.7856,36.8104,76.3536
European Airspace,68.8969,35.3686,77.5692
European Airspace,70.0081,33.8082,78.6342
European Airspace,71.1193,32.6908,79.672
European Airspace,72.2306,31.0598,80.6194
European Airspace,73.3418,29.9072,81.4767
European Airspace,74.4531,28.7528,82.3043
European Airspace,75.5643,27.682,83.0014
European Airspace,76.6755,26.7774,83.7221
European Airspace,77.7868,26.1235,84.5038
European Airspace,78.898,25.3802,85.2194
European Airspace,80.0093,24.8301,86.0886
European Airspace,81.1205,24.2057,86.8524
European Airspace,82.2317,23.5374,87.574
European Airspace,83.343,22.8655,88.2286
European Airspace,84.4542,22.2782,88.9622
European Airspace,85.5655,21.7101,89.7798
European Airspace,86.6767,21.1508,90.5414
European Airspace,87.7879,20.5497,91.2691
European Airspace,88.8992,19.9587,91.9346
European Airspace,90.0104,19.2621,92.6666
