Region,Hour of year,Traffic,Cumulative contrail warming,Subset
European Airspace,0.0,100.0,0.0136,All hours
European Airspace,1.1228,87.2983,-0.1622,All hours
European Airspace,2.2456,84.4058,-0.1761,All hours
European Airspace,3.3684,82.4769,-0.129,All hours
European Airspace,4.4913,80.9413,-0.0692,All hours
European Airspace,5.6141,79.8543,-0.0304,All hours
European Airspace,6.7369,78.783,0.1893,All hours
European Airspace,7.8597,77.8892,0.4255,All hours
European Airspace,8.9825,76.9127,0.7844,All hours
European Airspace,10.1053,76.0211,1.0764,All hours
European Airspace,11.2282,75.092,1.7966,All hours
European Airspace,12.351,74.2419,2.1424,All hours
European Airspace,13.4738,73.4093,3.0854,All hours
European Airspace,14.5966,72.49,3.6871,All hours
European Airspace,15.7194,71.7817,4.2857,All hours
European Airspace,16.8538,70.9037,5.3447,All hours
European Airspace,17.9766,70.1092,6.0931,All hours
European Airspace,19.0994,69.3446,6.8065,All hours
European Airspace,20.2222,68.5875,7.9606,All hours
European Airspace,21.3451,67.8815,8.7509,All hours
European Airspace,22.4679,67.1486,9.9236,All hours
European Airspace,23.5907,66.4677,11.0505,All hours
European Airspace,24.7135,65.8702,12.146,All hours
European Airspace,25.8363,65.0781,13.8576,All hours
European Airspace,26.9591,64.4214,15.1651,All hours
European Airspace,28.082,63.819,16.5075,All hours
European Airspace,29.2048,63.1366,17.9304,All hours
European Airspace,30.3276,62.5573,19.2799,All hours
European Airspace,31.4504,61.9407,20.6717,All hours
European Airspace,32.5732,61.269,22.7185,All hours
European Airspace,33.7076,60.7319,24.664,All hours
European Airspace,34.8304,60.205,26.3243,All hours
European Airspace,35.9532,59.657,27.9134,All hours
European Airspace,37.0761,59.1375,29.534,All hours
European Airspace,38.1989,58.5239,30.947,All hours
European Airspace,39.3217,57.9971,32.4907,All hours
European Airspace,40.4445,57.5034,33.9691,All hours
European Airspace,41.5673,56.954,35.6364,All hours
European Airspace,42.6901,56.3567,37.0714,All hours
European Airspace,43.8129,55.7501,38.5262,All hours
European Airspace,44.9358,55.1726,40.3252,All hours
European Airspace,46.0586,54.6245,42.0061,All hours
European Airspace,47.1814,54.0296,44.4445,All hours
European Airspace,48.3042,53.395,46.3778,All hours
European Airspace,49.427,52.8344,48.2315,All hours
European Airspace,50.5614,52.2977,49.4674,All hours
European Airspace,51.6842,51.55,51.1839,All hours
European Airspace,52.807,50.8053,52.8851,All hours
European Airspace,53.9299,49.9755,54.6373,All hours
European Airspace,55.0527,49.0464,56.9011,All hours
European Airspace,56.1755,48.1437,58.5638,All hours
European Airspace,57.2983,47.1656,60.2278,All hours
European Airspace,58.4211,46.0276,62.2789,All hours
European Airspace,59.5439,44.8705,64.1252,All hours
European Airspace,60.6667,43.5533,66.1339,All hours
European Airspace,61.7896,42.3614,67.9808,All hours
European Airspace,62.9124,41.3882,69.6892,All hours
European Airspace,64.0352,40.2237,71.1295,All hours
European Airspace,65.158,38.9712,72.4257,All hours
European Airspace,66.2808,37.8744,73.5438,All hours
European Airspace,67.4152,36.5066,74.9245,All hours
European Airspace,68.538,34.6605,76.3942,All hours
European Airspace,69.6608,33.0522,77.6477,All hours
European Airspace,70.7837,31.5571,78.7417,All hours
European Airspace,71.9065,29.9499,79.7836,All hours
European Airspace,73.0293,28.6478,80.7869,All hours
European Airspace,74.1521,27.3993,81.6008,All hours
European Airspace,75.2749,26.3358,82.4871,All hours
European Airspace,76.3977,25.4076,83.2922,All hours
European Airspace,77.5205,24.2738,84.3222,All hours
European Airspace,78.6434,23.254,85.1778,All hours
European Airspace,79.7662,22.4848,86.0341,All hours
European Airspace,80.889,21.794,86.8493,All hours
European Airspace,82.0118,21.0663,87.7096,All hours
European Airspace,83.1346,20.3408,88.6166,All hours
European Airspace,84.269,19.6921,89.6203,All hours
European Airspace,85.3918,18.859,90.4717,All hours
European Airspace,86.5146,18.194,91.2798,All hours
European Airspace,87.6375,17.6681,91.917,All hours
European Airspace,88.7603,17.0693,92.6671,All hours
European Airspace,89.8831,16.3009,93.4062,All hours
European Airspace,91.0059,15.5612,94.2077,All hours
European Airspace,92.1287,14.7528,95.0865,All hours
European Airspace,93.2515,13.9869,95.8899,All hours
European Airspace,94.3743,13.2951,96.6322,All hours
European Airspace,95.4972,12.6602,97.3481,All hours
European Airspace,96.62,11.5603,98.0099,All hours
European Airspace,97.7428,10.693,98.676,All hours
European Airspace,98.8656,10.0938,99.3706,All hours
European Airspace,100.0,1.4471,100.0,All hours
European Airspace,0.0,100.0,0.0136,Winter (Oct–Mar)
European Airspace,2.269,74.2931,0.573,Winter (Oct–Mar)
European Airspace,4.5381,69.9213,2.367,Winter (Oct–Mar)
