date,filename_pattern,availability_share
2024-01-01,20240101-*-*-contrail.nc,1.0
2024-01-02,20240102-*-*-contrail.nc,1.0
2024-01-03,20240103-*-*-contrail.nc,1.0
2024-01-04,20240104-*-*-contrail.nc,1.0
2024-01-05,20240105-*-*-contrail.nc,1.0
2024-01-06,20240106-*-*-contrail.nc,1.0
2024-01-07,20240107-*-*-contrail.nc,1.0
2024-01-08,20240108-*-*-contrail.nc,1.0
2024-01-09,20240109-*-*-contrail.nc,1.0
2024-01-10,20240110-*-*-contrail.nc,1.0
2024-01-11,20240111-*-*-contrail.nc,1.0
2024-01-12,20240112-*-*-contrail.nc,1.0
2024-01-13,20240113-*-*-contrail.nc,1.0
2024-01-14,20240114-*-*-contrail.nc,1.0
2024-01-15,20240115-*-*-contrail.nc,1.0
2024-01-16,20240116-*-*-contrail.nc,1.0
2024-01-17,20240117-*-*-contrail.nc,1.0
2024-01-18,20240118-*-*-contrail.nc,1.0
2024-01-19,20240119-*-*-contrail.nc,1.0
2024-01-20,20240120-*-*-contrail.nc,1.0
2024-01-21,20240121-*-*-contrail.nc,1.0
2024-01-22,20240122-*-*-contrail.nc,1.0
2024-01-23,20240123-*-*-contrail.nc,1.0
2024-01-24,20240124-*-*-contrail.nc,1.0
2024-01-25,20240125-*-*-contrail.nc,1.0
2024-01-26,20240126-*-*-contrail.nc,1.0
2024-01-27,20240127-*-*-contrail.nc,1.0
2024-01-28,20240128-*-*-contrail.nc,1.0
2024-01-29,20240129-*-*-contrail.nc,1.0
2024-01-30,20240130-*-*-contrail.nc,1.0
2024-01-31,20240131-*-*-contrail.nc,1.0
2024-02-01,20240201-*-*-contrail.nc,1.0
2024-02-02,20240202-*-*-contrail.nc,1.0
2024-02-03,20240203-*-*-contrail.nc,1.0
2024-02-04,20240204-*-*-contrail.nc,1.0
2024-02-05,20240205-*-*-contrail.nc,1.0
2024-02-06,20240206-*-*-contrail.nc,0.833
2024-02-07,20240207-*-*-contrail.nc,0.917
2024-02-08,20240208-*-*-contrail.nc,1.0
2024-02-09,20240209-*-*-contrail.nc,1.0
2024-02-10,20240210-*-*-contrail.nc,1.0
2024-02-11,20240211-*-*-contrail.nc,1.0
2024-02-12,20240212-*-*-contrail.nc,1.0
2024-02-13,20240213-*-*-contrail.nc,1.0
2024-02-14,20240214-*-*-contrail.nc,1.0
2024-02-15,20240215-*-*-contrail.nc,1.0
2024-02-16,20240216-*-*-contrail.nc,1.0
2024-02-17,20240217-*-*-contrail.nc,1.0
2024-02-18,20240218-*-*-contrail.nc,1.0
2024-02-19,20240219-*-*-contrail.nc,1.0
2024-02-20,20240220-*-*-contrail.nc,1.0
2024-02-21,20240221-*-*-contrail.nc,1.0
2024-02-22,20240222-*-*-contrail.nc,1.0
2024-02-23,20240223-*-*-contrail.nc,1.0
2024-02-24,20240224-*-*-contrail.nc,1.0
2024-02-25,20240225-*-*-contrail.nc,1.0
2024-02-26,20240226-*-*-contrail.nc,1.0
2024-02-27,20240227-*-*-contrail.nc,1.0
2024-02-28,20240228-*-*-contrail.nc,1.0
2024-02-29,20240229-*-*-contrail.nc,1.0
2024-03-01,20240301-*-*-contrail.nc,1.0
2024-03-02,20240302-*-*-contrail.nc,1.0
2024-03-03,20240303-*-*-contrail.nc,1.0
2024-03-04,20240304-*-*-contrail.nc,1.0
2024-03-05,20240305-*-*-contrail.nc,1.0
2024-03-06,20240306-*-*-contrail.nc,1.0
2024-03-07,20240307-*-*-contrail.nc,1.0
2024-03-08,20240308-*-*-contrail.nc,1.0
2024-03-09,20240309-*-*-contrail.nc,1.0
2024-03-10,20240310-*-*-contrail.nc,1.0
2024-03-11,20240311-*-*-contrail.nc,1.0
2024-03-12,20240312-*-*-contrail.nc,1.0
2024-03-13,20240313-*-*-contrail.nc,1.0
2024-03-14,20240314-*-*-contrail.nc,1.0
2024-03-15,20240315-*-*-contrail.nc,1.0
2024-03-16,20240316-*-*-contrail.nc,1.0
2024-03-17,20240317-*-*-contrail.nc,1.0
2024-03-18,20240318-*-*-contrail.nc,1.0
2024-03-19,20240319-*-*-contrail.nc,1.0
2024-03-20,20240320-*-*-contrail.nc,1.0
2024-03-21,20240321-*-*-contrail.nc,1.0
2024-03-22,20240322-*-*-contrail.nc,1.0
2024-03-23,20240323-*-*-contrail.nc,1.0
2024-03-24,20240324-*-*-contrail.nc,1.0
2024-03-25,20240325-*-*-contrail.nc,1.0
2024-03-26,20240326-*-*-contrail.nc,1.0
2024-03-27,20240327-*-*-contrail.nc,1.0
2024-03-28,20240328-*-*-contrail.nc,1.0
2024-03-29,20240329-*-*-contrail.nc,1.0
2024-03-30,20240330-*-*-contrail.nc,1.0
2024-03-31,20240331-*-*-contrail.nc,1.0
2024-04-01,20240401-*-*-contrail.nc,1.0
2024-04-02,20240402-*-*-contrail.nc,1.0
2024-04-03,20240403-*-*-contrail.nc,1.0
2024-04-04,20240404-*-*-contrail.nc,1.0
2024-04-05,20240405-*-*-contrail.nc,1.0
2024-04-06,20240406-*-*-contrail.nc,1.0
2024-04-07,20240407-*-*-contrail.nc,1.0
2024-04-08,20240408-*-*-contrail.nc,1.0
2024-04-09,20240409-*-*-contrail.nc,1.0
2024-04-10,20240410-*-*-contrail.nc,1.0
2024-04-11,20240411-*-*-contrail.nc,1.0
2024-04-12,20240412-*-*-contrail.nc,1.0
2024-04-13,20240413-*-*-contrail.nc,0.583
2024-04-14,20240414-*-*-contrail.nc,0.333
2024-04-15,20240415-*-*-contrail.nc,1.0
2024-04-16,20240416-*-*-contrail.nc,1.0
2024-04-17,20240417-*-*-contrail.nc,1.0
2024-04-18,20240418-*-*-contrail.nc,1.0
2024-04-19,20240419-*-*-contrail.nc,1.0
2024-04-20,20240420-*-*-contrail.nc,1.0
2024-04-21,20240421-*-*-contrail.nc,1.0
2024-04-22,20240422-*-*-contrail.nc,1.0
2024-04-23,20240423-*-*-contrail.nc,1.0
2024-04-24,20240424-*-*-contrail.nc,1.0
2024-04-25,20240425-*-*-contrail.nc,1.0
2024-04-26,20240426-*-*-contrail.nc,1.0
2024-04-27,20240427-*-*-contrail.nc,1.0
2024-04-28,20240428-*-*-contrail.nc,1.0
2024-04-29,20240429-*-*-contrail.nc,1.0
2024-04-30,20240430-*-*-contrail.nc,1.0
2024-05-01,20240501-*-*-contrail.nc,1.0
2024-05-02,20240502-*-*-contrail.nc,1.0
2024-05-03,20240503-*-*-contrail.nc,1.0
2024-05-04,20240504-*-*-contrail.nc,1.0
2024-05-05,20240505-*-*-contrail.nc,1.0
2024-05-06,20240506-*-*-contrail.nc,1.0
2024-05-07,20240507-*-*-contrail.nc,1.0
2024-05-08,20240508-*-*-contrail.nc,1.0
2024-05-09,20240509-*-*-contrail.nc,1.0
2024-05-10,20240510-*-*-contrail.nc,1.0
2024-05-11,20240511-*-*-contrail.nc,1.0
2024-05-12,20240512-*-*-contrail.nc,1.0
2024-05-13,20240513-*-*-contrail.nc,1.0
2024-05-14,20240514-*-*-contrail.nc,1.0
2024-05-15,20240515-*-*-contrail.nc,1.0
2024-05-16,20240516-*-*-contrail.nc,1.0
2024-05-17,20240517-*-*-contrail.nc,1.0
2024-05-18,20240518-*-*-contrail.nc,1.0
2024-05-19,20240519-*-*-contrail.nc,1.0
2024-05-20,20240520-*-*-contrail.nc,1.0
2024-05-21,20240521-*-*-contrail.nc,1.0
2024-05-22,20240522-*-*-contrail.nc,1.0
2024-05-23,20240523-*-*-contrail.nc,1.0
2024-05-24,20240524-*-*-contrail.nc,1.0
2024-05-25,20240525-*-*-contrail.nc,1.0
2024-05-26,20240526-*-*-contrail.nc,1.0
2024-05-27,20240527-*-*-contrail.nc,1.0
2024-05-28,20240528-*-*-contrail.nc,1.0
2024-05-29,20240529-*-*-contrail.nc,1.0
2024-05-30,20240530-*-*-contrail.nc,1.0
2024-05-31,20240531-*-*-contrail.nc,1.0
2024-06-01,20240601-*-*-contrail.nc,1.0
2024-06-02,20240602-*-*-contrail.nc,1.0
2024-06-03,20240603-*-*-contrail.nc,1.0
2024-06-04,20240604-*-*-contrail.nc,1.0
2024-06-05,20240605-*-*-contrail.nc,1.0
2024-06-06,20240606-*-*-contrail.nc,1.0
2024-06-07,20240607-*-*-contrail.nc,1.0
2024-06-08,20240608-*-*-contrail.nc,1.0
2024-06-09,20240609-*-*-contrail.nc,1.0
2024-06-10,20240610-*-*-contrail.nc,1.0
2024-06-11,20240611-*-*-contrail.nc,1.0
2024-06-12,20240612-*-*-contrail.nc,1.0
2024-06-13,20240613-*-*-contrail.nc,1.0
2024-06-14,20240614-*-*-contrail.nc,1.0
2024-06-15,20240615-*-*-contrail.nc,1.0
2024-06-16,20240616-*-*-contrail.nc,1.0
2024-06-17,20240617-*-*-contrail.nc,1.0
2024-06-18,20240618-*-*-contrail.nc,1.0
2024-06-19,20240619-*-*-contrail.nc,1.0
2024-06-20,20240620-*-*-contrail.nc,1.0
2024-06-21,20240621-*-*-contrail.nc,1.0
2024-06-22,20240622-*-*-contrail.nc,1.0
2024-06-23,20240623-*-*-contrail.nc,1.0
2024-06-24,20240624-*-*-contrail.nc,1.0
2024-06-25,20240625-*-*-contrail.nc,1.0
2024-06-26,20240626-*-*-contrail.nc,1.0
2024-06-27,20240627-*-*-contrail.nc,1.0
2024-06-28,20240628-*-*-contrail.nc,1.0
2024-06-29,20240629-*-*-contrail.nc,1.0
2024-06-30,20240630-*-*-contrail.nc,1.0
2024-07-01,20240701-*-*-contrail.nc,1.0
2024-07-02,20240702-*-*-contrail.nc,1.0
2024-07-03,20240703-*-*-contrail.nc,1.0
2024-07-04,20240704-*-*-contrail.nc,1.0
2024-07-05,20240705-*-*-contrail.nc,1.0
2024-07-06,20240706-*-*-contrail.nc,1.0
2024-07-07,20240707-*-*-contrail.nc,1.0
2024-07-08,20240708-*-*-contrail.nc,1.0
2024-07-09,20240709-*-*-contrail.nc,1.0
