Thickness,Ice Super-Saturated Regions (ISSRs),Persistent Contrail Regions (PCRs),80th-percentile contrail regions (+5e8 J/m)
0.0,0.0,0.0,
10.0,0.0,0.0,
20.0,0.0,0.0,
30.0,0.0,0.0,
40.0,0.0,0.0,
50.0,0.0,0.0,
60.0,0.0,0.0,
70.0,0.0,0.0,
80.0,0.0,0.0,
90.0,0.0,0.0,
100.0,0.0,0.0,
110.0,2.205542314,1.937585734,
120.0,4.312902423,3.759178569,
130.0,6.344135748,5.504115226,
140.0,8.35473658,7.34083757,
150.0,10.25932909,9.085774227,
160.0,12.11198463,10.80045187,
170.0,13.90345416,12.38501573,
180.0,15.63587208,13.94940692,
190.0,17.24947529,15.47244412,
200.0,18.79833517,16.92386831,
210.0,20.25683896,18.32990398,
220.0,21.69471026,19.70870653,
230.0,23.06641528,21.00883563,
240.0,24.38974067,22.27265392,
250.0,25.64191953,23.45578149,
260.0,26.85425634,24.59049463,
270.0,28.00540714,25.67780198,
280.0,29.13592544,26.79536835,
290.0,30.19956601,27.84031308,
300.0,31.29451105,28.89231824,
310.0,32.30977198,29.86262406,
320.0,33.30653481,30.84200758,
330.0,34.2755505,31.77801985,
340.0,35.16772794,32.67368676,
350.0,36.07413468,33.51488744,
360.0,36.9421223,34.35507948,
370.0,37.83572267,35.25881546,
380.0,38.68378926,36.10606794,
390.0,39.51122336,36.90692326,
400.0,40.29170076,37.72391673,
410.0,41.05866031,38.49451303,
420.0,41.82206254,39.2580489,
430.0,42.53779659,39.9721617,
440.0,43.24143574,40.69938675,
450.0,43.94934367,41.39130961,
460.0,44.66934652,42.09432744,
470.0,45.33385507,42.75498265,
480.0,45.99836363,43.42471557,
490.0,46.69417666,44.1307593,
500.0,47.332361,44.75712096,
510.0,47.96841094,45.41979343,
520.0,48.56604176,45.99471476,
530.0,49.15371207,46.5998951,
540.0,49.72003842,47.18994594,
550.0,50.29347942,47.78403131,
560.0,50.88470705,48.35996127,
570.0,51.4673971,48.92378762,
580.0,51.99245847,49.4170096,
590.0,52.4997332,49.93948197,
600.0,53.00345061,50.45085936,
610.0,53.53278076,50.97131445,
620.0,54.03720963,51.48975228,
630.0,54.51816015,51.96179295,
640.0,54.98772722,52.42576454,
650.0,55.48006119,52.94319374,
660.0,55.95247412,53.40413943,
670.0,56.41350361,53.89231824,
680.0,56.88307068,54.37041072,
