region,threshold,flight_level,probability
Africa_Middle_East,Warming,270,0.00010640687624880292
Africa_Middle_East,Very warming,270,0.0
Africa_Middle_East,Extremely warming,270,0.0
Africa_Middle_East,Warming,280,0.0048947163074449344
Africa_Middle_East,Very warming,280,0.0005556803537437486
Africa_Middle_East,Extremely warming,280,0.0
Africa_Middle_East,Warming,290,0.011338243813622445
Africa_Middle_East,Very warming,290,0.004161691159953181
Africa_Middle_East,Extremely warming,290,0.0
Africa_Middle_East,Warming,300,0.013797424953594779
Africa_Middle_East,Very warming,300,0.0048119554036958655
Africa_Middle_East,Extremely warming,300,3.546895874960098e-05
Africa_Middle_East,Warming,310,0.03085799411215285
Africa_Middle_East,Very warming,310,0.013702841063595842
Africa_Middle_East,Extremely warming,310,0.0006502642437426846
Africa_Middle_East,Warming,320,0.041687849517031014
Africa_Middle_East,Very warming,320,0.02247549686099715
Africa_Middle_East,Extremely warming,320,0.0014896962674832408
Africa_Middle_East,Warming,330,0.042030716118277155
Africa_Middle_East,Very warming,330,0.027618495879689293
Africa_Middle_East,Extremely warming,330,0.00436268192620092
Africa_Middle_East,Warming,340,0.03338811316962438
Africa_Middle_East,Very warming,340,0.011953039098615528
Africa_Middle_East,Extremely warming,340,0.001371466404984571
Africa_Middle_East,Warming,350,0.03801090079332238
Africa_Middle_East,Very warming,350,0.016646764639812725
Africa_Middle_East,Extremely warming,350,0.002991215521216349
Africa_Middle_East,Warming,360,0.04279921022451851
Africa_Middle_East,Very warming,360,0.015925562478570836
Africa_Middle_East,Extremely warming,360,0.004350858939951053
Africa_Middle_East,Warming,370,0.08974828862274033
Africa_Middle_East,Very warming,370,0.04055284283704378
Africa_Middle_East,Extremely warming,370,0.007318428488667668
Africa_Middle_East,Warming,380,0.1155105756612005
Africa_Middle_East,Very warming,380,0.05289604048190492
Africa_Middle_East,Extremely warming,380,0.014329459334838793
Africa_Middle_East,Warming,390,0.10672609687754933
Africa_Middle_East,Very warming,390,0.04334306759201239
Africa_Middle_East,Extremely warming,390,0.011243659923623509
Africa_Middle_East,Warming,400,0.1268961114198224
Africa_Middle_East,Very warming,400,0.059978009245575246
Africa_Middle_East,Extremely warming,400,0.01784088625104929
Africa_Middle_East,Warming,410,0.12129201593738546
Africa_Middle_East,Very warming,410,0.04264551140327024
Africa_Middle_East,Extremely warming,410,0.012934346957354488
Africa_Middle_East,Warming,420,0.11098237192750145
Africa_Middle_East,Very warming,420,0.037892670930823706
Africa_Middle_East,Extremely warming,420,0.008276090374906894
Africa_Middle_East,Warming,430,0.12547735306983837
Africa_Middle_East,Very warming,430,0.05001123183693738
Africa_Middle_East,Extremely warming,430,0.015097953441080149
Africa_Middle_East,Warming,440,0.11968408980740355
Africa_Middle_East,Very warming,440,0.03736063654957969
Africa_Middle_East,Extremely warming,440,0.008583488017403437
Arctic,Warming,270,0.2860858585858586
Arctic,Very warming,270,0.1260227272727273
Arctic,Extremely warming,270,0.007335858585858586
Arctic,Warming,280,0.2805681818181818
Arctic,Very warming,280,0.13771464646464646
Arctic,Extremely warming,280,0.013838383838383839
Arctic,Warming,290,0.2753787878787879
Arctic,Very warming,290,0.13934343434343435
Arctic,Extremely warming,290,0.024431818181818183
Arctic,Warming,300,0.2336868686868687
Arctic,Very warming,300,0.10414141414141415
Arctic,Extremely warming,300,0.026287878787878787
Arctic,Warming,310,0.19248737373737373
Arctic,Very warming,310,0.07785353535353536
Arctic,Extremely warming,310,0.025315656565656566
Arctic,Warming,320,0.1766919191919192
Arctic,Very warming,320,0.06512626262626263
Arctic,Extremely warming,320,0.0273989898989899
Arctic,Warming,330,0.16476010101010102
Arctic,Very warming,330,0.05580808080808081
Arctic,Extremely warming,330,0.022891414141414143
Arctic,Warming,340,0.1418560606060606
Arctic,Very warming,340,0.0335479797979798
Arctic,Extremely warming,340,0.014797979797979798
Arctic,Warming,350,0.12243686868686869
Arctic,Very warming,350,0.03722222222222222
Arctic,Extremely warming,350,0.01967171717171717
Arctic,Warming,360,0.1211489898989899
Arctic,Very warming,360,0.040113636363636365
Arctic,Extremely warming,360,0.028636363636363637
Arctic,Warming,370,0.0910479797979798
Arctic,Very warming,370,0.028409090909090908
Arctic,Extremely warming,370,0.018674242424242423
Arctic,Warming,380,0.07761363636363636
Arctic,Very warming,380,0.018787878787878787
Arctic,Extremely warming,380,0.010997474747474747
Arctic,Warming,390,0.06833333333333333
Arctic,Very warming,390,0.011868686868686869
Arctic,Extremely warming,390,0.006982323232323232
Arctic,Warming,400,0.04619949494949495
Arctic,Very warming,400,0.01871212121212121
Arctic,Extremely warming,400,0.009785353535353536
Arctic,Warming,410,0.03857323232323232
