,time,file,region_id,area_km2,pt in mask,vol_km3,thickness_m,std_thickness,mean_FL,mean_lat,mean_lon,mean_forcing,max_forcing,std_forcing,min_lat,max_lat,min_lon,max_lon,min_FL,max_FL,area_by_FL
2184102,2024-11-17 14:00:00,20241117T14.nc,126,600.5547,1,183.04906875,304.8,0.0,280.0,39.0,68.25,500006460.0,500006460.0,0.0,39.0,39.0,68.25,68.25,280,280,{280: 600.5546875}
200877,2024-02-08 12:00:00,20240208T12.nc,172,429.32773,1,130.85909157714843,304.8,0.0,290.0,56.250004,-23.499996,609468400.0,609468400.0,0.0,56.25,56.25,-23.5,-23.5,290,290,{290: 429.3277282714844}
2511770,2024-12-15 15:00:00,20241215T15.nc,121,623.19574,1,189.95006147460936,304.8,0.0,340.0,36.25,-72.99999,560187840.0,560187840.0,0.0,36.25,36.25,-73.0,-73.0,340,340,{340: 623.1957397460938}
1261324,2024-08-23 22:00:00,20240823T22.nc,209,193.48601,1,58.974535144042974,304.8,0.0,310.0,75.5,-89.49999,548116600.0,548116600.0,0.0,75.5,75.5,-89.5,-89.5,310,310,{310: 193.4860076904297}
1663890,2024-10-03 03:00:00,20241003T03.nc,201,2917.9082,6,889.3784203125,304.8,0.0,300.0,50.99955,-43.041443,674712100.0,990202000.0,145963460.0,50.75,51.25,-43.5,-42.75,300,300,{300: 2917.908203125}
1794031,2024-10-13 22:00:00,20241013T22.nc,171,1121.0942,2,341.70952382812504,304.8,0.0,330.0,43.5,-74.375,568967100.0,606178800.0,37211710.0,43.5,43.5,-74.5,-74.25,330,330,{330: 1121.09423828125}
2662917,2024-12-29 01:00:00,20241229T01.nc,180,1181.7786,2,360.2061064453125,304.8,0.0,290.0,40.12477,-29.499998,669771840.0,817615740.0,147843920.0,40.0,40.25,-29.5,-29.5,290,290,{290: 1181.778564453125}
487850,2024-03-31 13:00:00,20240331T13.nc,70,4623.442,8,1409.225089453125,304.8,0.0,320.0,41.59352,-82.68704,543580160.0,560195200.0,12534461.0,41.5,41.75,-83.25,-82.0,320,320,{320: 4623.44189453125}
758331,2024-05-18 02:00:00,20240518T02.nc,133,3268.1138,9,1992.2421539062475,609.5999999999992,152.39999999999964,325.0,61.97202,-6.9444957,528739460.0,551091800.0,14304910.0,61.75,62.0,-7.5,-6.25,320,330,"{320: 1813.9666748046875, 330: 1454.1470947265625}"
767814,2024-05-19 16:00:00,20240519T16.nc,358,3101.755,14,945.41488828125,304.8,0.0,270.0,73.33583,83.826485,521455600.0,533139900.0,9288422.0,73.0,73.75,83.0,84.5,270,270,{270: 3101.7548828125}
2556912,2024-12-19 10:00:00,20241219T10.nc,422,988.91785,3,301.42215966796874,304.8,0.0,290.0,64.75,31.75,510415330.0,515767700.0,7242123.0,64.75,64.75,31.5,32.0,290,290,{290: 988.9178466796875}
1802177,2024-10-14 13:00:00,20241014T13.nc,468,1132.7748,3,345.26975302734377,304.8,0.0,290.0,60.750004,-42.999996,640048450.0,761885400.0,86384410.0,60.75,60.75,-43.25,-42.75,290,290,{290: 1132.7747802734375}
1287286,2024-08-29 05:00:00,20240829T05.nc,86,544.0411,1,165.82372016601565,304.8,0.0,380.0,45.25,-38.749996,527703520.0,527703520.0,0.0,45.25,45.25,-38.75,-38.75,380,380,{380: 544.0410766601562}
763389,2024-05-18 23:00:00,20240518T23.nc,140,517.0837,1,157.60710541992188,304.8,0.0,390.0,48.0,88.49999,557872700.0,557872700.0,0.0,48.0,48.0,88.5,88.5,390,390,{390: 517.0836791992188}
74120,2024-01-15,20240115T00.nc,64,3910.4827,6,1191.9151166015629,304.8,0.0,400.0,32.5,54.124996,534447200.0,557562000.0,18107802.0,32.5,32.5,53.5,54.75,400,400,{400: 3910.482666015625}
1703308,2024-10-06 16:00:00,20241006T16.nc,45,696.0321,1,212.15058544921877,304.8,0.0,410.0,25.75,-82.75,842953540.0,842953540.0,0.0,25.75,25.75,-82.75,-82.75,410,410,{410: 696.0321044921875}
969810,2024-06-23 23:00:00,20240623T23.nc,141,462.36697,1,140.92945363769533,304.8,0.0,330.0,53.25,-19.5,540381500.0,540381500.0,0.0,53.25,53.25,-19.5,-19.5,330,330,{330: 462.3669738769531}
423222,2024-03-19 18:00:00,20240319T18.nc,164,1960.9543,4,597.6988845703125,304.8,0.0,300.0,50.624664,-4.1249995,601278850.0,663815200.0,41707660.0,50.5,50.75,-4.25,-4.0,300,300,{300: 1960.954345703125}
1451097,2024-09-16 17:00:00,20240916T17.nc,462,761.0598,2,231.9710314453125,304.8,0.0,300.0,60.499996,-82.875,528074720.0,543247940.0,15173216.0,60.5,60.5,-83.0,-82.75,300,300,{300: 761.059814453125}
1491186,2024-09-19 18:00:00,20240919T18.nc,618,386.97202,2,117.94907028808596,304.8,0.0,290.0,75.5,39.625,507059200.0,507825280.0,766064.0,75.5,75.5,39.5,39.75,290,290,{290: 386.9720153808594}
59585,2024-01-12 10:00:00,20240112T10.nc,230,8544.002,46,5208.423590624993,609.5999999999992,152.39999999999964,365.0,76.08907,3.6166894,874384800.0,1268535000.0,230010610.0,75.75,76.5,1.25,5.75,360,370,"{360: 1308.64892578125, 370: 7235.35302734375}"
2498569,2024-12-14 10:00:00,20241214T10.nc,445,446.00015,1,135.9408465087891,304.8,0.0,360.0,54.75,-39.249996,513844740.0,513844740.0,0.0,54.75,54.75,-39.25,-39.25,360,360,{360: 446.0001525878906}
2458423,2024-12-10 16:00:00,20241210T16.nc,110,683.8914,1,208.45010434570312,304.8,0.0,380.0,27.75,-86.24999,530809730.0,530809730.0,0.0,27.75,27.75,-86.25,-86.25,380,380,{380: 683.8914184570312}
771840,2024-05-20 12:00:00,20240520T12.nc,67,621.1961,1,189.34057309570312,304.8,0.0,360.0,36.5,-33.499996,512736700.0,512736700.0,0.0,36.5,36.5,-33.5,-33.5,360,360,{360: 621.1961059570312}
1750494,2024-10-10 14:00:00,20241010T14.nc,438,695.6448,2,212.03252753906253,304.8,0.0,340.0,63.25,-83.37499,630005760.0,694053300.0,64047584.0,63.25,63.25,-83.5,-83.25,340,340,{340: 695.644775390625}
2218379,2024-11-20 10:00:00,20241120T10.nc,208,587.6185,1,179.10612802734374,304.8,0.0,420.0,40.5,-33.499996,504745440.0,504745440.0,0.0,40.5,40.5,-33.5,-33.5,420,420,{420: 587.6185302734375}
792384,2024-05-23 22:00:00,20240523T22.nc,192,326.5865,1,99.54356118164064,304.8,0.0,300.0,65.0,36.75,505161380.0,505161380.0,0.0,65.0,65.0,36.75,36.75,300,300,{300: 326.58648681640625}
639942,2024-04-27 17:00:00,20240427T17.nc,170,1976.5557,4,1204.9083328124989,609.5999999999992,152.39999999999964,325.0,50.25,-83.49999,597022900.0,614049540.0,25974010.0,50.25,50.25,-83.75,-83.25,320,330,"{320: 988.27783203125, 330: 988.27783203125}"
960764,2024-06-22 06:00:00,20240622T06.nc,170,109836.555,368,100434.54560625005,914.4000000000004,248.86815786677104,330.0,67.19116,-0.679791,618203840.0,982667400.0,96012240.0,64.0,69.0,-5.0,3.0,320,340,"{320: 7285.2099609375, 330: 24267.5859375, 340: 78283.765625}"
2448867,2024-12-09 22:00:00,20241209T22.nc,219,1681.6414,3,512.5642857421875,304.8,0.0,350.0,43.5,-53.0,648836300.0,785546900.0,115800760.0,43.5,43.5,-53.25,-52.75,350,350,{350: 1681.641357421875}
401373,2024-03-16 05:00:00,20240316T05.nc,9,693.07587,1,211.24952416992187,304.8,0.0,360.0,26.250002,-80.5,616811000.0,616811000.0,0.0,26.25,26.25,-80.5,-80.5,360,360,{360: 693.0758666992188}
2377615,2024-12-03 09:00:00,20241203T09.nc,360,434.9185,1,132.56315500488282,304.8,0.0,290.0,55.75,28.249998,718326000.0,718326000.0,0.0,55.75,55.75,28.25,28.25,290,290,{290: 434.9184875488281}
1663475,2024-10-03 02:00:00,20241003T02.nc,221,2207.8962,5,672.9667740234376,304.8,0.0,330.0,55.14837,-68.45013,548804300.0,565715300.0,11685993.0,54.75,55.5,-68.5,-68.25,330,330,{330: 2207.896240234375}
2076762,2024-11-08 03:00:00,20241108T03.nc,226,558.2208,1,170.14570751953124,304.8,0.0,330.0,43.75,-8.749999,501947070.0,501947070.0,0.0,43.75,43.75,-8.75,-8.75,330,330,{330: 558.2208251953125}
1882061,2024-10-20 22:00:00,20241020T22.nc,52,8285.309,12,5050.724118749994,609.5999999999992,152.39999999999964,365.0,26.687216,-53.87506,772528830.0,1214062300.0,197962100.0,26.5,27.0,-54.25,-53.5,360,370,"{360: 5522.01953125, 370: 2763.28955078125}"
